tau,Ncfg,mean_ReW,err_naive,err_gamma,dd_err_gamma,tauint,dtauint,Wopt,Neff,window_note
1,30,0.5394457164965005,4.7578038992600047e-05,2.4871070299419202e-05,1.0649156082545672e-05,0.1413413175764411,0.11947211489205208,5,106.12608016681042,auto_window
2,30,0.3264117161966074,6.213965647625744e-05,3.491638965382489e-05,1.4950304863689248e-05,0.1633105449134963,0.13775886693691336,5,91.84954962917628,auto_window
3,30,0.20080413957876214,7.164887242972349e-05,3.1403563841511394e-05,1.2162547976973505e-05,0.09936476613840925,0.07611311020614372,4,150.95894231870767,auto_window_reduced_for_positive_C
4,30,0.1241022366413989,6.996541226599028e-05,5.950901344454547e-05,2.5480237274069885e-05,0.3741898190694474,0.3093446397344626,5,40.08660641089246,auto_window
5,30,0.0767916356476069,6.123889207399238e-05,7.494910006314316e-05,3.20912873957573e-05,0.774767610181537,0.614967848555815,5,19.36064415042509,auto_window
6,30,0.04750814255444016,4.742118737506194e-05,5.894975117678365e-05,2.5240775477340812e-05,0.7993046981750941,0.6327946293976832,5,18.76631031225858,auto_window
7,30,0.02941187636205216,3.945847289102253e-05,3.907391147379149e-05,1.673044935463412e-05,0.5072084625824802,0.4138353409159001,5,29.57363905883325,auto_window
8,30,0.01818335323836072,3.77476496416905e-05,2.6550928561136136e-05,1.1368428418243878e-05,0.2559015159494727,0.2139821991235272,5,58.61629988531105,auto_window
9,30,0.011256232378491415,4.120768450848111e-05,2.552443857320316e-05,1.092891166375487e-05,0.19844914583753198,0.16684763999945346,5,75.58611520696756,auto_window
10,30,0.006951920550246384,3.644768373328101e-05,2.022284278919055e-05,7.832273333550574e-06,0.15923473325807924,0.12114076829374334,4,94.20055344137006,auto_window_reduced_for_positive_C
11,30,0.00427750001605803,3.367267534661684e-05,4.906464965038123e-06,2.100822787166225e-06,0.010981847765255938,0.00939489911430301,5,1365.8903602230382,auto_window
12,30,0.0026584971080082205,3.5181571114652675e-05,1.7572159456447446e-05,6.805668093172214e-06,0.1290366478550841,0.09850789146923648,4,116.24604520760568,auto_window_reduced_for_positive_C
