tau,Ncfg,mean_ReW,err_ReW_naive,err_ReW_jackknife
1,100,0.5394554545602818,2.894077811570996e-05,2.894077811570377e-05
2,100,0.32643481402977415,4.2581140690653624e-05,4.2581140690654505e-05
3,100,0.2008436007834644,4.2441945499031156e-05,4.244194549903443e-05
4,100,0.12413786852312876,3.8609605207141945e-05,3.86096052071528e-05
5,100,0.0768322743383881,3.3243110000351764e-05,3.324311000035059e-05
6,100,0.047580137802969345,2.8991671998315864e-05,2.8991671998321725e-05
7,100,0.029492224630293166,2.3922479341521214e-05,2.3922479341516833e-05
8,100,0.01825340769836345,2.0911622642444965e-05,2.091162264244589e-05
9,100,0.011298596694046124,2.0418373184881624e-05,2.0418373184880533e-05
10,100,0.007007333406452203,1.9519756017104586e-05,1.951975601710514e-05
11,100,0.004335131972867569,1.8761864113426482e-05,1.8761864113426855e-05
12,100,0.002690038837096907,2.003260052862083e-05,2.003260052862044e-05
