tau,Ncfg,mean_ReW,err_pyerrors,dd_err_pyerrors
1,100,0.5394554545602818,4.812471360439474e-05,1.2269442687743648e-05
2,100,0.32643481402977415,8.004109102086618e-05,2.1920155539726305e-05
3,100,0.2008436007834644,7.016807810687402e-05,1.7889419974912666e-05
4,100,0.12413786852312876,6.360230591812279e-05,1.62154699493003e-05
5,100,0.0768322743383881,5.1226587765831036e-05,1.20136997289416e-05
6,100,0.047580137802969345,4.236425187429288e-05,9.93529773221563e-06
7,100,0.029492224630293166,3.14065630389987e-05,7.365491912000377e-06
8,100,0.01825340769836345,2.4213128548983195e-05,4.529861564610499e-06
9,100,0.011298596694046124,2.0618513278080454e-05,2.5252418393048415e-06
10,100,0.007007333406452203,1.971108790006646e-05,2.41410538151552e-06
11,100,0.004335131972867569,1.8945767169671203e-05,2.3203731175633947e-06
12,100,0.002690038837096907,2.0228959293372067e-05,2.477531414814666e-06
