tau,tau_next,Ncfg,Veff,err_jackknife,err_gamma,dd_err_gamma,tauint,dtauint,Wopt,Neff,window_note
1,2,30,0.5023826438084589,0.0001162806650361,8.157695028569752e-05,3.492916331593291e-05,0.25457540426413483,0.2129002319346492,5,58.921638731590676,auto_window
2,3,30,0.48582951461876717,0.000195198395995,4.6421877146493224e-05,1.9876660289497497e-05,0.029253399122170797,0.024984404608961796,5,512.7609252297686,auto_window
3,4,30,0.48122428809296763,0.0002718490275171,0.0003756250407919642,0.0001608330337114452,0.9874792146818095,0.7659614964649564,5,15.190193147339688,auto_window
4,5,30,0.4800099915602352,0.000337127338504,0.00048595432708458926,0.00020807321180034186,1.0747324434058871,0.8255426107654159,5,13.956962118370747,auto_window
5,6,30,0.4801946048357292,0.0004718427394834,0.00040487902459423965,0.00017335884123786954,0.38087198708980363,0.3146635188559624,5,39.3833112133375,auto_window
6,7,30,0.47950256787968637,0.0007019492724096,0.0004362603944540117,0.0001867955410540657,0.19981958311393916,0.167978130473029,5,75.06771741910225,auto_window
7,8,30,0.48089203237288974,0.0011265959582219,0.00015854874260490986,6.140566396709422e-05,0.010244483165993908,0.007926304782590623,4,1464.2027086141165,auto_window_reduced_for_positive_C
8,9,30,0.4795845538413535,0.002188425609321,0.002653142247149601,0.001136007640963962,0.76018460343915,0.6043230387398434,5,19.73204920507272,auto_window
9,10,30,0.4819040048870099,0.0025119726379727,0.0006992871602110169,0.0002994168737394925,0.04011163859121953,0.03422406982498163,5,373.9563011340931,auto_window
10,11,30,0.48564922902900953,0.0050390735001727,0.0010930706747313056,0.00046802490139473467,0.024336455823203477,0.02079433694337439,5,616.3592640181535,auto_window
11,12,30,0.4756077644050077,0.0081950517205005,0.0022697429406530905,0.0008790676609321269,0.03965044421758439,0.030577492850550756,4,378.3059760361454,auto_window_reduced_for_positive_C
