tau,tau_next,Ncfg,Veff,err_Veff_jackknife
1,2,100,0.5023299352498249,8.357306804766998e-05
2,3,100,0.48570377840962786,9.5011907990495e-05
3,4,100,0.4811337087290035,0.00013497689290426293
4,5,100,0.4797680002347803,0.00020001576403191426
5,6,100,0.479209389551247,0.0002811162296761771
6,7,100,0.478288744357749,0.0004163264296854069
7,8,100,0.4797748709542481,0.0006434527330384946
8,9,100,0.4796732541569613,0.001094818491292399
9,10,100,0.47772130147125563,0.0016297858544527513
10,11,100,0.48020517683049824,0.002470672845678931
11,12,100,0.4771964222451558,0.004718936604128869
