tau,tau_next,Ncfg,Veff,err_pyerrors,dd_err_pyerrors,err_Veff_jackknife,ratio_pyerrors_over_jackknife
1,2,100,0.5023299352498249,0.00015464589669178804,4.235152302185292e-05,8.357306804766998e-05,1.8504274200341455
2,3,100,0.4857037784096278,0.00012618923948026146,2.6768780084779825e-05,9.5011907990495e-05,1.3281413051181485
3,4,100,0.48113370872900346,0.0002023426561172874,4.7453559156852874e-05,0.0001349768929042,1.4990910796924355
4,5,100,0.4797680002347803,0.0002495925834238865,5.294658248186976e-05,0.0002000157640319,1.2478645602357603
5,6,100,0.4792093895512469,0.0002866120562720591,4.531734513420275e-05,0.0002811162296761,1.0195500153167654
6,7,100,0.47828874435774893,0.0004204078133205049,5.1489231325724094e-05,0.0004163264296854,1.0098033258138068
7,8,100,0.4797748709542481,0.0006560534535653535,0.00010373115900430153,0.0006434527330384,1.0195829777075507
8,9,100,0.47967325415696127,0.0011399872153870366,0.00018024780520479924,0.0010948184912923,1.0412568151287072
9,10,100,0.4777213014712556,0.0016457220432810648,0.00020155896322445707,0.0016297858544527,1.0097780875842222
10,11,100,0.48020517683049824,0.0024951244338660026,0.00030558908538612286,0.0024706728456789,1.0098967324750694
11,12,100,0.47719642224515574,0.004765240213054747,0.0005836203511887764,0.0047189366041288,1.009812297305591
