tau,Ncfg,mean_ReW,err_ReW,mean_ImW,err_ImW,mean_AbsW,err_AbsW,tau_next,Veff_to_next,filename
1,100,0.5394554545602818,2.8940778115709955e-05,-9.992399750146925e-08,5.5543601014649446e-06,0.5394554573911309,2.8940781033696824e-05,2,0.5023299352498248,dat/Em1p4_wilson_mu0_tau01.wilson_tau.bdio
2,100,0.3264348140297742,4.2581140690653624e-05,9.525483659183929e-06,9.909021904376485e-06,0.3264348290608706,4.2580911899853164e-05,3,0.48570377840962814,dat/Em1p4_wilson_mu0_tau02.wilson_tau.bdio
3,100,0.20084360078346436,4.2441945499031156e-05,3.1319987982879525e-05,1.3251690628998864e-05,0.20084364650739395,4.2441867600842896e-05,4,0.48113370872900335,dat/Em1p4_wilson_mu0_tau03.wilson_tau.bdio
4,100,0.12413786852312876,3.860960520714194e-05,3.28493730913923e-05,1.7430884929412027e-05,0.124137993997298,3.861047022956535e-05,5,0.4797680002347798,dat/Em1p4_wilson_mu0_tau04.wilson_tau.bdio
5,100,0.07683227433838814,3.3243110000351804e-05,4.211778261549764e-05,1.82176438119557e-05,0.07683249954473942,3.324675552056174e-05,6,0.4792093895512467,dat/Em1p4_wilson_mu0_tau05.wilson_tau.bdio
6,100,0.04758013780296939,2.8991671998316243e-05,2.1555603634787032e-05,1.857291224533402e-05,0.0475805014047134,2.8994184545696237e-05,7,0.4782887443577486,dat/Em1p4_wilson_mu0_tau06.wilson_tau.bdio
7,100,0.029492224630293204,2.392247934152094e-05,2.7162643605858294e-05,1.9636505413965772e-05,0.02949288500757086,2.391382719746744e-05,8,0.47977487095424715,dat/Em1p4_wilson_mu0_tau07.wilson_tau.bdio
8,100,0.01825340769836349,2.0911622642444853e-05,3.775306828265799e-05,2.139169143721725e-05,0.018254692242075602,2.0870980754922494e-05,9,0.4796732541569597,dat/Em1p4_wilson_mu0_tau08.wilson_tau.bdio
9,100,0.011298596694046169,2.0418373184881855e-05,4.0794532126091525e-05,2.0496116414273354e-05,0.011300514313704105,2.039775406975163e-05,10,0.4777213014712527,dat/Em1p4_wilson_mu0_tau09.wilson_tau.bdio
10,100,0.007007333406452251,1.9519756017105175e-05,3.321704990053304e-05,1.961316582462069e-05,0.007010128547976668,1.9521187697464408e-05,11,0.4802051768304922,dat/Em1p4_wilson_mu0_tau10.wilson_tau.bdio
11,100,0.004335131972867626,1.8761864113426418e-05,1.9505912846192784e-05,2.0089459075837983e-05,0.00433977636254875,1.87742094385825e-05,12,0.4771964222451504,dat/Em1p4_wilson_mu0_tau11.wilson_tau.bdio
12,100,0.0026900388370969565,2.0032600528621375e-05,2.0607010626056593e-06,2.2152105031886638e-05,0.0026990794810169737,1.9998285284822937e-05,,,dat/Em1p4_wilson_mu0_tau12.wilson_tau.bdio
