cfg, E2_avg                , B2_avg                , S_avg                 , eps_avg                , plaquette
  1, 1.0399038639322256e+00, 1.0392118090404239e+00, 1.0395578364862124e+00, 3.4602744591865416e-04 , 5.3940714115410238e-01
  2, 1.0391200626397472e+00, 1.0395439173567829e+00, 1.0393319899982922e+00, -2.1192735851664039e-04, 5.3940213356051281e-01
  3, 1.0392568399229187e+00, 1.0391492169493859e+00, 1.0392030284361662e+00, 5.3811486791750691e-05 , 5.3941036699502609e-01
  4, 1.0396816748616329e+00, 1.0394519933629884e+00, 1.0395668341123163e+00, 1.1484074932281017e-04 , 5.3967058965094117e-01
  5, 1.0400380652632504e+00, 1.0396180277633322e+00, 1.0398280465133241e+00, 2.1001874998038955e-04 , 5.3924251346309948e-01
  6, 1.0402011728791005e+00, 1.0397956037707616e+00, 1.0399983883249366e+00, 2.0278455419038734e-04 , 5.3938543373077430e-01
  7, 1.0393287052229536e+00, 1.0395465111652298e+00, 1.0394376081940326e+00, -1.0890297116124048e-04, 5.3961646555894860e-01
  8, 1.0398437569771075e+00, 1.0400677362249366e+00, 1.0399557466010350e+00, -1.1198962394244678e-04, 5.3938689114865923e-01
  9, 1.0388163340934189e+00, 1.0388054667736861e+00, 1.0388109004335830e+00, 5.4336598817988467e-06 , 5.3964824849616277e-01
 10, 1.0387056998545015e+00, 1.0387592515490363e+00, 1.0387324757017524e+00, -2.6775847263717176e-05, 5.3976652383497525e-01
