R,T,max_abs_delta_Re,max_abs_delta_Im
0,1,2.6469779601696886e-23,0.0
0,2,2.6469779601696886e-23,0.0
0,3,2.6469779601696886e-23,0.0
0,4,2.6469779601696886e-23,0.0
0,5,2.6469779601696886e-23,0.0
0,6,2.6469779601696886e-23,0.0
0,7,2.6469779601696886e-23,0.0
0,8,2.6469779601696886e-23,0.0
1,1,0.0,1.0339757656912846e-25
1,2,1.3234889800848443e-23,5.169878828456423e-26
1,3,6.617444900424222e-24,5.169878828456423e-26
1,4,6.617444900424222e-24,5.169878828456423e-26
1,5,3.308722450212111e-24,1.0339757656912846e-25
1,6,3.308722450212111e-24,5.169878828456423e-26
1,7,1.6543612251060553e-24,5.169878828456423e-26
1,8,1.2407709188295415e-24,5.169878828456423e-26
2,1,2.6469779601696886e-23,2.0679515313825692e-25
2,2,1.3234889800848443e-23,1.0339757656912846e-25
2,3,6.617444900424222e-24,5.169878828456423e-26
2,4,4.963083675318166e-24,5.169878828456423e-26
2,5,1.6543612251060553e-24,5.169878828456423e-26
2,6,8.271806125530277e-25,5.169878828456423e-26
2,7,4.1359030627651384e-25,5.169878828456423e-26
2,8,2.0679515313825692e-25,5.169878828456423e-26
3,1,1.3234889800848443e-23,2.0679515313825692e-25
3,2,6.617444900424222e-24,1.0339757656912846e-25
3,3,3.308722450212111e-24,5.169878828456423e-26
3,4,1.6543612251060553e-24,5.169878828456423e-26
3,5,8.271806125530277e-25,5.169878828456423e-26
3,6,2.0679515313825692e-25,5.169878828456423e-26
3,7,2.0679515313825692e-25,1.0339757656912846e-25
3,8,1.0339757656912846e-25,5.169878828456423e-26
4,1,1.3234889800848443e-23,2.0679515313825692e-25
4,2,3.308722450212111e-24,1.0339757656912846e-25
4,3,1.6543612251060553e-24,1.0339757656912846e-25
4,4,8.271806125530277e-25,5.169878828456423e-26
4,5,3.101927297073854e-25,5.169878828456423e-26
4,6,1.0339757656912846e-25,5.169878828456423e-26
4,7,5.169878828456423e-26,5.169878828456423e-26
4,8,5.169878828456423e-26,2.5849394142282115e-26
5,1,1.3234889800848443e-23,2.0679515313825692e-25
5,2,3.308722450212111e-24,1.0339757656912846e-25
5,3,1.6543612251060553e-24,5.169878828456423e-26
5,4,4.1359030627651384e-25,5.169878828456423e-26
5,5,2.0679515313825692e-25,5.169878828456423e-26
5,6,5.169878828456423e-26,2.5849394142282115e-26
5,7,5.169878828456423e-26,5.169878828456423e-26
5,8,5.169878828456423e-26,5.169878828456423e-26
6,1,6.617444900424222e-24,2.0679515313825692e-25
6,2,3.308722450212111e-24,1.0339757656912846e-25
6,3,8.271806125530277e-25,5.169878828456423e-26
6,4,2.0679515313825692e-25,5.169878828456423e-26
6,5,1.0339757656912846e-25,2.5849394142282115e-26
6,6,5.169878828456423e-26,2.5849394142282115e-26
6,7,2.5849394142282115e-26,5.169878828456423e-26
6,8,1.2924697071141057e-26,5.169878828456423e-26
