T,R,Ncfg,Veff,err_pyerrors,dd_err_pyerrors,S,err_Veff_jackknife,err_custom_gamma,tauint_custom_gamma,Wopt_custom_gamma,ratio_custom_gamma_over_jackknife,ratio_pyerrors_over_jackknife,ratio_pyerrors_over_custom_gamma
1,0,100,0.008963510041060095,0.0010436921800236853,0.00019525692774519104,2.0,0.0009124882346411005,0.0010234130051026,0.6352944779577115,5,1.1215629596639438,1.1437869995487557,1.0198152405919958
1,1,100,0.49632700400367646,0.0014533795573865352,0.0003083083621997766,2.0,0.0011757316508869942,0.0013540303221211,0.6698520199849556,5,1.1516491208683495,1.2361490449713404,1.0733729766921347
1,2,100,0.724628348230342,0.0021919283294708526,0.0004100722412621841,2.0,0.001936884532347848,0.0020785712804324,0.5816649669985939,5,1.073151881652337,1.1316773369106554,1.054536041224851
1,3,100,0.8676018053489459,0.003470026704563487,0.0005486593964014408,2.0,0.003403620606012407,0.0033949428936452,0.5025260921924863,5,0.997450446635598,1.0195104291100412,1.022116369338298
2,0,100,0.004602271139171327,0.000791266024064857,9.690990048798472e-05,2.0,0.000783587989826192,0.0007458098522981,0.4575287878772723,5,0.9517882637067069,1.0097985603893291,1.060948741326882
2,1,100,0.48731887892953973,0.0013303656614881121,0.00016293585209830442,2.0,0.0013174413767541135,0.0012430793824866,0.4496378914217418,5,0.9435557470870353,1.0098101402931805,1.0702177835392208
2,2,100,0.7121329412232265,0.0028780180465890464,0.0003524837842332374,2.0,0.002850186437528328,0.0014046943865053,0.122682861508951,5,0.49284298318514425,1.0097648380801552,2.048857085382955
2,3,100,0.8494263401121179,0.00499088590606568,0.0007891283502600361,2.0,0.004895704300690064,0.0041700808171417,0.3665160212185109,5,0.8517836374541483,1.0194418615851044,1.1968319380166317
3,0,100,0.0010985348190006442,0.0009835619917123854,0.00012046125050454405,2.0,0.0009740136795747184,0.000475468752703,0.1203504491121316,5,0.4881540810706098,1.0098030575318369,2.068615416093945
3,1,100,0.4799924694828356,0.002002119633385224,0.0002452085752900962,2.0,0.001982691163132049,0.002055735921715,0.5429524905769895,5,1.0368412186129696,1.0097990401200376,0.9739186887948885
3,2,100,0.6968158740619944,0.005197220297349072,0.0006365268904670546,2.0,0.0051468852383460256,0.0027513803076,0.1443331953497725,5,0.5345719168364765,1.0097797127140185,1.8889501691180426
3,3,100,0.8272637869806592,0.00927883543359481,0.0011364206109781795,2.0,0.00919044507811772,0.0050010892084006,0.1496061639755249,5,0.5441618078223546,1.0096176360041087,1.8553629113451222
