T,R,Ncfg,Veff,err_jackknife,err_gamma,dd_err_gamma,tauint,dtauint,Wopt,Neff,window_note,ratio_gamma_over_jackknife
1,0,100,0.008963510041060095,0.0009124882346411005,0.0010234130051026628,0.00024001162439708928,0.6352944779577115,0.28024208410830526,5,78.70365906647824,auto_window,1.1215629596640126
1,1,100,0.4963270040036765,0.0011757316508869942,0.00135403032212114,0.00031754825810778955,0.6698520199849556,0.29443476346402714,5,74.6433518273528,auto_window,1.1516491208683834
1,2,100,0.724628348230342,0.001936884532347848,0.0020785712804324676,0.0004874681745828406,0.5816649669985939,0.2579953971134654,5,85.96013656796502,auto_window,1.073151881652372
1,3,100,0.8676018053489459,0.003403620606012407,0.003394942893645252,0.0007961846826027124,0.5025260921924863,0.22467972283782242,5,99.49732118754964,auto_window,0.9974504466356133
2,0,100,0.004602271139171327,0.000783587989826192,0.0007458098522981717,0.00017490791425254644,0.4575287878772723,0.20548027327118962,5,109.28274094396879,auto_window,0.9517882637067984
2,1,100,0.48731887892953973,0.0013174413767541135,0.0012430793824866513,0.0002915279563163483,0.4496378914217418,0.20209434308810106,5,111.20059264111721,auto_window,0.9435557470870743
2,2,100,0.7121329412232265,0.002850186437528328,0.0014046943865053502,0.00032943003441000997,0.12268286150895102,0.05689796294345766,5,407.5548889634594,auto_window,0.4928429831851619
2,3,100,0.8494263401121179,0.004895704300690064,0.004170080817141714,0.0009779706392229431,0.36651602121851096,0.16608448513074137,5,136.4196845577749,auto_window,0.8517836374541512
3,0,100,0.0010985348190006442,0.0009740136795747184,0.00047546875270305613,0.00011150730654910017,0.12035044911213161,0.055828338556783715,5,415.4533727864575,auto_window,0.4881540810706674
3,1,100,0.47999246948283564,0.001982691163132049,0.0020557359217150146,0.00048211280826236246,0.5429524905769895,0.24177053189100364,5,92.0890885809651,auto_window,1.036841218612977
3,2,100,0.6968158740619944,0.0051468852383460256,0.002751380307600013,0.0006452558778017468,0.14433319534977254,0.06680408149978177,5,346.42065450592685,auto_window,0.534571916836479
3,3,100,0.8272637869806592,0.00919044507811772,0.005001089208400672,0.0011728593819682696,0.14960616397552495,0.06921055926425287,5,334.21082842669387,auto_window,0.5441618078223625
