T,R,Ncfg,Veff_log_ratio_of_means,err_Veff_jackknife
1,0,100,8.9635100410592142e-03,9.1248823464110031e-04
1,1,100,4.9632700400367613e-01,1.1757316508869942e-03
1,2,100,7.2462834823034150e-01,1.9368845323478479e-03
1,3,100,8.6760180534894593e-01,3.4036206060124069e-03
2,0,100,4.6022711391715473e-03,7.8358798982619202e-04
2,1,100,4.8731887892954012e-01,1.3174413767541135e-03
2,2,100,7.1213294122322690e-01,2.8501864375283280e-03
2,3,100,8.4942634011211871e-01,4.8957043006900638e-03
3,0,100,1.0985348190008660e-03,9.7401367957471836e-04
3,1,100,4.7999246948283564e-01,1.9826911631320495e-03
3,2,100,6.9681587406199441e-01,5.1468852383460256e-03
3,3,100,8.2726378698065817e-01,9.1904450781177191e-03
