T,R,Ncfg,mean_Veff,err_Veff_naiveSEM
1,0,100,8.9691684169453563e-03,9.1331056467147751e-04
1,1,100,4.9636104343829213e-01,1.1754547637213093e-03
1,2,100,7.2472445852063316e-01,1.9342695296166025e-03
1,3,100,8.6793031032961609e-01,3.3928375002167865e-03
2,0,100,4.6003058611273498e-03,7.8339125748368697e-04
2,1,100,4.8733681531438289e-01,1.3187706359697334e-03
2,2,100,7.1240095605510811e-01,2.8431016809425200e-03
2,3,100,8.5032430169648787e-01,4.8573277713070562e-03
3,0,100,1.0901721580815981e-03,9.7417399265077901e-04
3,1,100,4.8008338708012777e-01,1.9828506278467780e-03
3,2,100,6.9782553540651193e-01,5.1553483800106268e-03
3,3,100,8.3039609521357205e-01,9.1416284176745622e-03
