cfg,R,T,Veff_log_Re_ratio
1,0,1,2.0012354459772740e-02
1,0,2,6.8080680816835284e-03
1,0,3,4.7621659976115971e-03
1,1,1,5.0429570128470458e-01
1,1,2,4.9254699464377433e-01
1,1,3,4.8774345509042338e-01
1,2,1,7.3370702352313788e-01
1,2,2,7.0869584134088970e-01
1,2,3,6.8318491836774409e-01
1,3,1,9.0912390018822775e-01
1,3,2,8.3881261081105474e-01
1,3,3,8.8665622490341101e-01
2,0,1,1.8298008650232591e-02
2,0,2,8.0105432939386531e-03
2,0,3,3.2647586178519207e-03
2,1,1,5.0774096513021671e-01
2,1,2,4.9164319244965243e-01
2,1,3,4.8107546956121061e-01
2,2,1,7.4412860561982086e-01
2,2,2,7.3389756455276378e-01
2,2,3,7.1709915417883818e-01
2,3,1,8.8026515143750728e-01
2,3,2,8.7123666907746944e-01
2,3,3,9.2928087080979760e-01
3,0,1,1.5269524873878490e-02
3,0,2,-3.5978280470421627e-03
3,0,3,5.3313125646783392e-03
3,1,1,5.0135249947888338e-01
3,1,2,4.7954280067835064e-01
3,1,3,4.6638517672037449e-01
3,2,1,7.2725860251650842e-01
3,2,2,6.9778430859969298e-01
3,2,3,6.8679751031057046e-01
3,3,1,8.7179051892355330e-01
3,3,2,9.0312403438920297e-01
3,3,3,7.8030906522537691e-01
4,0,1,1.3691139745686306e-02
4,0,2,5.7103021372626132e-03
4,0,3,-1.3344752872149987e-02
4,1,1,4.9007191001536998e-01
4,1,2,4.8749175766755171e-01
4,1,3,4.5430983818421350e-01
4,2,1,7.2732838533977651e-01
4,2,2,7.2277840728804366e-01
4,2,3,7.1199981350228136e-01
4,3,1,8.8325610659925924e-01
4,3,2,8.6788292943036427e-01
4,3,3,8.9397490408993729e-01
5,0,1,-5.1116539348879620e-03
5,0,2,1.1212417782526338e-02
5,0,3,2.6744515135819900e-02
5,1,1,4.7467895610257554e-01
5,1,2,4.8722586469256318e-01
5,1,3,5.1970627464096697e-01
5,2,1,6.8560866842422319e-01
5,2,2,6.8643270863845840e-01
5,2,3,7.5811688044838399e-01
5,3,1,8.0627800735311150e-01
5,3,2,8.1059785235580906e-01
5,3,3,9.1275538914164545e-01
6,0,1,1.0820205915262338e-02
6,0,2,1.8012474343781698e-02
6,0,3,-1.5529969251287211e-02
6,1,1,4.9840684412922681e-01
6,1,2,5.0989543797664361e-01
6,1,3,4.6254978219807175e-01
6,2,1,7.1872158802567865e-01
6,2,2,7.6018361468592999e-01
6,2,3,7.1837097720421372e-01
6,3,1,8.6634379146212048e-01
6,3,2,9.2870383177268079e-01
6,3,3,6.4545463753874743e-01
7,0,1,-5.0697750685718222e-03
7,0,2,8.2465313183737662e-03
7,0,3,-1.4934942086993125e-03
7,1,1,4.9236524191126485e-01
7,1,2,4.8744391854240188e-01
7,1,3,4.6563939113979863e-01
7,2,1,7.1412133575534098e-01
7,2,2,7.0052035133912327e-01
7,2,3,6.8041734120002995e-01
7,3,1,8.8623552343706047e-01
7,3,2,8.7787396046240118e-01
7,3,3,7.4421929515224972e-01
8,0,1,1.9316808162028874e-02
8,0,2,1.7120584511770211e-02
8,0,3,-1.1284206335272448e-02
8,1,1,5.1038411773111481e-01
8,1,2,5.0688728170675790e-01
8,1,3,4.3319157328765112e-01
8,2,1,7.3452321639140650e-01
8,2,2,6.9919153672365109e-01
8,2,3,6.5117636516468003e-01
8,3,1,8.8683478554197437e-01
8,3,2,8.5019641126318235e-01
8,3,3,1.0174540870616791e+00
9,0,1,-1.4162662106734592e-03
9,0,2,6.9526048273395426e-03
9,0,3,1.1229364466769193e-02
9,1,1,4.8332721744968726e-01
9,1,2,4.8904460954079082e-01
9,1,3,4.8869123432575140e-01
9,2,1,7.2692332826523343e-01
9,2,2,7.2085785658766732e-01
9,2,3,7.5200367923736378e-01
9,3,1,8.5245440264409311e-01
9,3,2,8.6060476714419709e-01
9,3,3,8.8549974660138087e-01
10,0,1,1.0874500769186980e-02
10,0,2,1.0798249457563974e-02
10,0,3,-3.4914425239173019e-03
10,1,1,4.9187624618110598e-01
10,1,2,5.1244199713831462e-01
10,1,3,4.3754652420374762e-01
10,2,1,7.1591612073077737e-01
10,2,2,7.9414549593629435e-01
10,2,3,6.3223759213995900e-01
10,3,1,8.7901371931402505e-01
10,3,2,9.5552191414720344e-01
10,3,3,8.6546271118801921e-01
11,0,1,-6.6704304185092791e-03
11,0,2,-4.3955994694444762e-04
11,0,3,4.9331747597018511e-03
11,1,1,4.9464579104122136e-01
11,1,2,4.8118058023083649e-01
11,1,3,4.7861265212908671e-01
11,2,1,7.4391945236353063e-01
11,2,2,6.9884285546510139e-01
11,2,3,6.7895429405473784e-01
11,3,1,8.9182607648977785e-01
11,3,2,7.6827667206485106e-01
11,3,3,8.7359049908393005e-01
12,0,1,8.1091080913958027e-03
12,0,2,2.3218749724981218e-03
12,0,3,1.3292537488746824e-03
12,1,1,4.9744817812831804e-01
12,1,2,4.8985029841725064e-01
12,1,3,4.8068690686150184e-01
12,2,1,7.2232695684187753e-01
12,2,2,6.9181418940034756e-01
12,2,3,6.4373963631305642e-01
12,3,1,8.6547723235259111e-01
12,3,2,7.6677348250594279e-01
12,3,3,8.4742954708687612e-01
13,0,1,2.2579304409336406e-02
13,0,2,-1.6509281465892784e-04
13,0,3,-9.5861198160865965e-03
13,1,1,5.0991032523898550e-01
13,1,2,4.7099536615725152e-01
13,1,3,4.7365663777451877e-01
13,2,1,7.3264243529606921e-01
13,2,2,6.8976353657904699e-01
13,2,3,7.2060158607193903e-01
13,3,1,8.6863673228144322e-01
13,3,2,8.2399987587228840e-01
