T,R,Ncfg,Veff,err_pyerrors,dd_err_pyerrors,S
1,0,100,0.008963510041060095,0.0010436921800236853,0.00019525692774519104,2.0
1,1,100,0.49632700400367646,0.0014533795573865352,0.0003083083621997766,2.0
1,2,100,0.724628348230342,0.0021919283294708526,0.0004100722412621841,2.0
1,3,100,0.8676018053489459,0.003470026704563487,0.0005486593964014408,2.0
2,0,100,0.004602271139171327,0.000791266024064857,9.690990048798472e-05,2.0
2,1,100,0.48731887892953973,0.0013303656614881121,0.00016293585209830442,2.0
2,2,100,0.7121329412232265,0.0028780180465890464,0.0003524837842332374,2.0
2,3,100,0.8494263401121179,0.00499088590606568,0.0007891283502600361,2.0
3,0,100,0.0010985348190006442,0.0009835619917123854,0.00012046125050454405,2.0
3,1,100,0.4799924694828356,0.002002119633385224,0.0002452085752900962,2.0
3,2,100,0.6968158740619944,0.005197220297349072,0.0006365268904670546,2.0
3,3,100,0.8272637869806592,0.00927883543359481,0.0011364206109781795,2.0
