T,R,Ncfg,Veff,err_pyerrors,dd_err_pyerrors,relative_err_percent,S,status,Veff_jackknife_central,err_Veff_jackknife,relative_err_jackknife_percent,n_valid_jackknife,status_jackknife,ratio_pyerrors_over_jackknife
1,0,100,0.008963510041060095,0.0010436921800236845,0.00019525692774519088,11.643788819812034,2.0,ok,0.00896351004106,0.0009124882346409,10.18003249241698,100,ok,1.1437869995490062
1,1,100,0.49632700400367646,0.001453379557386536,0.0003083083621997768,0.29282701639497544,2.0,ok,0.4963270040036764,0.0011757316508868,0.2368864964837006,100,ok,1.2361490449715453
1,2,100,0.7246283482303422,0.0021919283294708535,0.00041007224126218426,0.3024900053694962,2.0,ok,0.7246283482303422,0.0019368845323478,0.2672935080552776,100,ok,1.1316773369106838
1,3,100,0.867601805348946,0.0034700267045634867,0.0005486593964014408,0.3999561415352122,2.0,ok,0.867601805348946,0.0034036206060123,0.3923021580900723,100,ok,1.0195104291100732
1,4,100,0.974409865242096,0.004848515845996244,0.0007666176672383156,0.4975848479111622,2.0,ok,0.974409865242096,0.0047557282737472,0.4880624102225844,100,ok,1.0195106967656782
2,0,100,0.004602271139171327,0.0007912660240648581,9.690990048798485e-05,17.192946702556323,2.0,ok,0.0046022711391713,0.0007835879898263,17.02611528375658,100,ok,1.0097985603891915
2,1,100,0.48731887892953973,0.0013303656614881121,0.00016293585209830442,0.2729969469704182,2.0,ok,0.4873188789295397,0.0013174413767539,0.270344826296883,100,ok,1.0098101402933441
2,2,100,0.7121329412232265,0.002878018046589047,0.00035248378423323744,0.4041405585936655,2.0,ok,0.7121329412232265,0.0028501864375283,0.4002323544579488,100,ok,1.0097648380801654
2,3,100,0.8494263401121179,0.004990885906065678,0.0007891283502600357,0.587559588204778,2.0,ok,0.8494263401121179,0.00489570430069,0.5763541898222616,100,ok,1.0194418615851173
2,4,100,0.9539428283456381,0.008087672967538092,0.0012787733773996705,0.8478152701838563,2.0,ok,0.953942828345638,0.007598155092107,0.7965000486752524,100,ok,1.064425886218038
3,0,100,0.0010985348190006442,0.0009835619917123865,0.00012046125050454419,89.5339842397667,2.0,ok,0.0010985348190006,0.0009740136795747,88.66479812272277,100,ok,1.0098030575318568
3,1,100,0.4799924694828356,0.0020021196333852255,0.00024520857529009634,0.4171148008931046,2.0,ok,0.4799924694828356,0.0019826911631319,0.4130671394216255,100,ok,1.0097990401201142
3,2,100,0.6968158740619944,0.0051972202973490705,0.0006365268904670544,0.745852741134121,2.0,ok,0.6968158740619944,0.0051468852383461,0.7386291601457133,100,ok,1.0097797127140036
3,3,100,0.8272637869806589,0.009278835433594805,0.0011364206109781788,1.1216295913859142,2.0,ok,0.8272637869806589,0.0091904450781177,1.110944927453062,100,ok,1.0096176360041105
3,4,100,0.920558068342564,0.013459476733830735,0.00212813012964745,1.462099697639292,2.0,ok,0.920558068342564,0.0132008923994839,1.4340097440296962,100,ok,1.019588398005346
4,0,100,0.0007879795262784599,0.0008763038476006307,0.00013855580403935352,111.2089614484423,2.0,ok,0.0007879795262784,0.0008594747000525,109.07322733519968,100,ok,1.0195807364045768
