T,R,Ncfg,mean_Re_T,mean_Re_Tp1,Veff_log_ratio_of_means,err_Veff_jackknife,relative_err_Veff_percent,n_valid_jackknife,status
1,0,100,1.770838120895325e-07,1.755036122105182e-07,0.008963510041060095,0.0009124882346409763,10.180032492416979,100,ok
1,1,100,1.0268488085891266e-07,6.251070896656365e-08,0.49632700400367646,0.001175731650886826,0.23688649648370066,100,ok
1,2,100,7.524935290765591e-08,3.645865781825306e-08,0.7246283482303422,0.001936884532347895,0.26729350805527763,100,ok
1,3,100,5.886078993256935e-08,2.471902914872294e-08,0.867601805348946,0.0034036206060123436,0.3923021580900723,100,ok
1,4,100,4.627384159111621e-08,1.746444255226252e-08,0.974409865242096,0.0047557282737472105,0.4880624102225844,100,ok
2,0,100,1.755036122105182e-07,1.746977528153415e-07,0.004602271139171327,0.0007835879898263674,17.02611528375658,100,ok
2,1,100,6.251070896656365e-08,3.839852343344046e-08,0.48731887892953973,0.0013174413767539819,0.27034482629688306,100,ok
2,2,100,3.645865781825306e-08,1.788649600319711e-08,0.7121329412232265,0.0028501864375283605,0.40023235445794886,100,ok
2,3,100,2.471902914872294e-08,1.0571344778794116e-08,0.8494263401121179,0.0048957043006900855,0.5763541898222616,100,ok
2,4,100,1.746444255226252e-08,6.727638102141041e-09,0.9539428283456381,0.007598155092107087,0.7965000486752524,100,ok
3,0,100,1.746977528153415e-07,1.745059466232519e-07,0.0010985348190006442,0.0009740136795747392,88.66479812272277,100,ok
3,1,100,3.839852343344046e-08,2.3760547499028933e-08,0.4799924694828356,0.001982691163131968,0.41306713942162554,100,ok
3,2,100,1.788649600319711e-08,8.910498077217873e-09,0.6968158740619944,0.005146885238346121,0.7386291601457133,100,ok
3,3,100,1.0571344778794116e-08,4.622257540181683e-09,0.8272637869806589,0.009190445078117736,1.110944927453062,100,ok
3,4,100,6.727638102141041e-09,2.67959607014658e-09,0.920558068342564,0.013200892399483919,1.4340097440296962,100,ok
4,0,100,1.745059466232519e-07,1.743684936722667e-07,0.0007879795262784599,0.000859474700052534,109.07322733519968,100,ok
4,1,100,2.3760547499028933e-08,1.4649287351074353e-08,0.48363484781537286,0.0027655142620553103,0.5718186508990027,100,ok
4,2,100,8.910498077217873e-09,4.440895272776571e-09,0.696374146711977,0.008592843097163188,1.2339405673997863,100,ok
4,3,100,4.622257540181683e-09,1.969429321222574e-09,0.8531394146818982,0.0156877707883742,1.8388285101355382,100,ok
4,4,100,2.67959607014658e-09,1.0431964695336102e-09,0.9433765351503604,0.02955107457114986,3.132479287969554,100,ok
5,0,100,1.743684936722667e-07,1.7437238037543658e-07,-2.2289920449648202e-05,0.000887081674330224,3979.743563168368,100,ok
5,1,100,1.4649287351074353e-08,9.038517282010047e-09,0.48289654582702807,0.0035139565478116645,0.7276830986217806,100,ok
5,2,100,4.440895272776571e-09,2.2041116078464474e-09,0.7005314653532884,0.016603911470310876,2.3701878204624656,100,ok
5,3,100,1.969429321222574e-09,8.563265772918383e-10,0.8328472761956899,0.0397323463907371,4.77066414531941,100,ok
5,4,100,1.0431964695336102e-09,4.243391659189081e-10,0.8995117518137298,0.07044507471712003,7.831479085746034,100,ok
6,0,100,1.7437238037543658e-07,1.742167146238744e-07,0.000893118942288689,0.0008729891656570523,97.74612588777342,100,ok
6,1,100,9.038517282010047e-09,5.619567310140224e-09,0.4752404736116005,0.006784782921812596,1.4276525882258067,100,ok
6,2,100,2.2041116078464474e-09,1.0336362420789007e-09,0.7572416114150743,0.028535464619290015,3.768343444038311,100,ok
6,3,100,8.563265772918383e-10,4.170914216363998e-10,0.7193463846029341,0.0769791833559543,10.701267845871692,100,ok
6,4,100,4.243391659189081e-10,1.951680280320038e-10,0.7766721853426792,0.14805198105612163,19.06235138197963,100,ok
7,0,100,1.742167146238744e-07,1.741801969524671e-07,0.0002096325789790106,0.0008147460195458031,388.65429386688,100,ok
7,1,100,5.619567310140224e-09,3.5161162100711135e-09,0.46889763880305696,0.010193925036744347,2.1740192726852112,100,ok
7,2,100,1.0336362420789007e-09,5.513666609091507e-10,0.6284381622066347,0.06168375881547077,9.81540627623259,100,ok
7,3,100,4.170914216363998e-10,9.231792141757675e-11,1.5080671467760443,0.3480025466402516,23.076064443431033,100,ok
7,4,100,1.951680280320038e-10,6.158452999104692e-11,1.1534501672537165,0.5332129395467592,46.22765288736327,100,ok
