T,R,Ncfg,Veff,err_pyerrors,dd_err_pyerrors,relative_err_percent,S,status,Veff_jackknife_central,err_Veff_jackknife,relative_err_jackknife_percent,n_valid_jackknife,status_jackknife,ratio_pyerrors_over_jackknife
1,0,100,0.009785879737605354,0.0003693608906528378,5.8401084652568225e-05,3.7744270372897706,2.0,ok,0.0097858797376053,0.0003552067108239,3.629788229043263,100,ok,1.0398477264016415
1,1,100,0.4977756748511606,0.0005129740351916663,6.282623187580419e-05,0.10305325493156132,2.0,ok,0.4977756748511606,0.0005079932904768,0.1020526546679424,100,ok,1.009804745078801
1,2,100,0.7264195953849683,0.0009300855853362937,0.00017400308003527544,0.12803696255514582,2.0,ok,0.7264195953849683,0.0009036905934244,0.124403388780498,100,ok,1.029207996745738
1,3,100,0.869986150468662,0.001423992649461502,0.00026640463077847126,0.16367992165098216,2.0,ok,0.869986150468662,0.0013835603562619,0.1590324576450634,100,ok,1.0292233678253415
1,4,100,0.9790821427536076,0.0020190797102418,0.000377735225615581,0.2062216868304087,2.0,ok,0.9790821427536076,0.0019617447022909,0.2003656911537241,100,ok,1.029226538949714
1,5,100,1.0753149089134202,0.002924834346356588,0.000547186401856763,0.27199793494094326,2.0,ok,1.0753149089134202,0.0028271609849121,0.2629147016820374,100,ok,1.0345482135491215
1,6,100,1.1688818575386262,0.00392580798478888,0.0007344514222670717,0.33586011789554615,2.0,ok,1.1688818575386262,0.00366394164397,0.313456969182955,100,ok,1.0714712094964316
2,0,100,0.0033969215934051885,0.00037307885570836354,5.898894654438702e-05,10.9828515451361,2.0,ok,0.0033969215934051,0.0003572163822405,10.515885410310045,100,ok,1.0444057838791503
2,1,100,0.4857195602262138,0.000531728522969894,8.407366147310125e-05,0.10947233064327336,2.0,ok,0.4857195602262138,0.0005215266255745,0.1073719628115482,100,ok,1.019561604135083
2,2,100,0.7101035120195777,0.0010805661779392686,0.00017085251424154394,0.15217023428965623,2.0,ok,0.7101035120195777,0.0010598186165443,0.1492484685127373,100,ok,1.0195765209924499
2,3,100,0.8502666785234455,0.0019896384982374983,0.00024367995466396394,0.2340017018769524,2.0,ok,0.8502666785234455,0.0019701772813343,0.2317128650455498,100,ok,1.0098779013886598
2,4,100,0.9571813869680814,0.002876080453873989,0.0003522464785591762,0.3004739219787917,2.0,ok,0.9571813869680814,0.0028478209567581,0.2975215560531042,100,ok,1.0099232000694522
2,5,100,1.0513096836051299,0.003970506901802196,0.0004862857964807147,0.3776724369347207,2.0,ok,1.05130968360513,0.0039317280509493,0.3739838139288124,100,ok,1.0098630552139873
2,6,100,1.1355561901887086,0.005897191421424255,0.000722255494900383,0.5193218505941348,2.0,ok,1.1355561901887086,0.0058394933316575,0.5142408083467167,100,ok,1.0098806671212308
3,0,100,0.001054882346640364,0.0004170620244253953,5.107945754671965e-05,39.53635452841475,2.0,ok,0.0010548823466403,0.000413013873758,39.15260076855071,100,ok,1.0098014883387847
3,1,100,0.48015726140143833,0.0007999958679097637,9.797908363569461e-05,0.16661121932735332,2.0,ok,0.4801572614014383,0.0007922304393802,0.1649939515791011,100,ok,1.0098019820289144
3,2,100,0.7008143055123909,0.001744664445102284,0.00021367688314382748,0.24894817805220115,2.0,ok,0.7008143055123909,0.0017277840085513,0.2465394891287306,100,ok,1.0097699923528853
3,3,100,0.8341414682634378,0.0037342044103076703,0.0006986056757775763,0.4476703955363525,2.0,ok,0.8341414682634378,0.0034676029435777,0.4157092142651494,100,ok,1.0768835045614837
3,4,100,0.9401848115350065,0.00653512312936546,0.0012226095865233754,0.6950892047166551,2.0,ok,0.9401848115350064,0.0057404308308457,0.6105640891468489,100,ok,1.1384377448203975
3,5,100,1.0515687086878749,0.008996163792314662,0.001422418389382615,0.8554993808763941,2.0,ok,1.0515687086878749,0.008507105974152,0.808991928332201,100,ok,1.0574881539795808
3,6,100,1.1383745277659616,0.015709754474723885,0.0033325421759558905,1.3800163383446378,2.0,ok,1.1383745277659616,0.0114906458721686,1.0093906347956385,100,ok,1.367177672124972
4,0,100,0.0006176796721808058,0.0003629996637205968,5.739528636161387e-05,58.76827100995163,2.0,ok,0.0006176796721808,0.0003501888966186,56.69425632581428,100,ok,1.0365824480036252
4,1,100,0.4808566399825244,0.0011208483936303649,0.00020969153357403806,0.23309408676796048,2.0,ok,0.4808566399825244,0.0010192786163899,0.2119714134397754,100,ok,1.099648688402987
4,2,100,0.7081735484677993,0.0035430296876706635,0.00043393074391627885,0.5003052846772298,2.0,ok,0.7081735484677993,0.0035080969525646,0.4953724916942711,100,ok,1.009957745061899
4,3,100,0.838952803429067,0.006659871898729752,0.0008156643952094227,0.7938315327761867,2.0,ok,0.838952803429067,0.0065950002242784,0.7860990746228614,100,ok,1.0098364931380195
4,4,100,0.9297531174003407,0.01216535828421768,0.0014899460167236785,1.3084503893068873,2.0,ok,0.9297531174003408,0.0120475326024496,1.2957775969749328,100,ok,1.0097800674757353
4,5,100,1.0236203975518217,0.023130540453044565,0.002832901079238201,2.259679516778441,2.0,ok,1.0236203975518217,0.0229036311158801,2.2375121842685424,100,ok,1.0099071337647914
4,6,100,1.116332409251029,0.04424129935527574,0.008276789226657234,3.9630936975983846,2.0,ok,1.116332409251029,0.0368781143093854,3.3035065544793887,100,ok,1.199662731779548
5,0,100,0.00028292778712412514,0.00035220262706952947,5.568812497172939e-05,124.48498984478054,2.0,ok,0.0002829277871241,0.0003454452559957,122.09661677529768,100,ok,1.0195613370180818
5,1,100,0.4806330846601883,0.0015525941387057693,0.00019015317087325324,0.32303105804783844,2.0,ok,0.4806330846601883,0.001537589272601,0.3199091618272882,100,ok,1.0097586958833207
5,2,100,0.6977573138796535,0.0070236377615781895,0.0008602164327005188,1.0066018115274962,2.0,ok,0.6977573138796535,0.0069553579642005,0.99681620326236,100,ok,1.0098168631620583
5,3,100,0.861728246370484,0.01781251818107383,0.0028164064157676434,2.0670690854220495,2.0,ok,0.861728246370484,0.0166898524492545,1.9367883691350047,100,ok,1.0672663665081998
5,4,100,0.9432678404638611,0.03231673092151984,0.005109723812139744,3.426039724372218,2.0,ok,0.9432678404638613,0.0316918759176885,3.359796078927462,100,ok,1.0197165672822346
5,5,100,0.9731082139987263,0.052582351359967354,0.008313999751237458,5.403546142509098,2.0,ok,0.9731082139987264,0.0494466652636265,5.081312083518312,100,ok,1.0634155221514503
5,6,100,1.1782821038087254,0.11607579256956865,0.021715792334678317,9.85127349336468,2.0,ok,1.1782821038087254,0.0983292156263109,8.34513358969535,100,ok,1.1804812214784832
6,0,100,-2.918338894355886e-05,0.0003682101255168335,4.509634628211951e-05,1261.7113325287812,2.0,ok,-2.918338894355886e-05,0.0003646338004511,1249.4566726173264,100,ok,1.0098079910894413
6,1,100,0.4778486030405269,0.003542291354787793,0.0008307409598191476,0.7412999289415871,2.0,ok,0.4778486030405269,0.0024142989308137,0.5052434841185348,100,ok,1.4672132392461945
6,2,100,0.7118811787292124,0.014159602697783857,0.0017341900785053286,1.989040182669295,2.0,ok,0.7118811787292124,0.0140221432638771,1.9697308599882168,100,ok,1.0098030259226398
6,3,100,0.8658732340826367,0.0665406220271463,0.016964596508151047,7.684799507360201,2.0,ok,0.8658732340826367,0.0379535313168276,4.383266490162165,100,ok,1.7532129348302288
6,4,100,0.9105443971576467,0.08197400110009848,0.015335931336979934,9.002746198426825,2.0,ok,0.9105443971576468,0.0722091908756787,7.930331689600942,100,ok,1.135229464642966
6,5,100,0.9069538375172863,0.13414940977658157,0.016429880162407696,14.791205927724487,2.0,ok,0.9069538375172864,0.1329463379973439,14.6585562018541,100,ok,1.0090493036315278
6,6,100,0.7831426543166065,0.23744506873596838,0.02908096301716006,30.319516811808697,2.0,ok,0.7831426543166065,0.235223363484853,30.035825808787795,100,ok,1.0094450875040668
7,0,100,0.0005932154212305981,0.0003189723928848176,5.9674270500721884e-05,53.77007769338229,2.0,ok,0.0005932154212305,0.0003099146482923,52.24318808998683,100,ok,1.0292265778414407
7,1,100,0.477117883990498,0.003491613719275254,0.0004276335995562879,0.7318136327383593,2.0,ok,0.477117883990498,0.0034576930411833,0.7247041364838516,100,ok,1.0098102051535338
7,2,100,0.6802980675958655,0.026205040207902604,0.004902514113230346,3.851993920916124,2.0,ok,0.6802980675958655,0.0251795023354331,3.701245606123225,100,ok,1.0407290763259585
7,3,100,0.8555746785159373,0.09754357192935413,0.011946598945769304,11.400941890724402,2.0,ok,0.8555746785159373,0.0966217397582853,11.293197681572746,100,ok,1.0095406289865505
7,4,100,0.6888783904416297,0.20543382071718513,0.04357909431425492,29.82149296125904,2.0,ok,0.6888783904416297,0.1513545537549707,21.97115715270726,100,ok,1.3573018823719296
7,5,100,1.2499538860871489,0.49933099636273126,0.09341627554929029,39.9479534341731,2.0,ok,1.2499538860871489,0.4365057378301392,34.92174732914149,100,ok,1.1439276808705772
7,6,100,,,,,2.0,nonpositive_central_mean,,,,0,nonpositive_central_mean,
