R,Tmin,Tmax,Npoints,plateau_value,err_plateau_jackknife,err_plateau_GLS,chi2,dof,chi2_per_dof,p_value,covariance_rank,covariance_condition_number,max_weight_magnitude,selected_common_window
1,1,3,3,0.4896007875121847,0.0005913187665441771,0.0005913187665441608,56.515452301288406,2,28.257726150644203,5.343495668002661e-13,3,4.547422637079127,0.40694856900558823,False
1,1,4,4,0.48903353153973267,0.0005709240247183619,0.0005709240247183655,70.09055366365564,3,23.363517887885212,4.081954775479765e-15,4,8.927896307206593,0.37379080358549205,False
1,1,5,5,0.48856416117458784,0.0005464457347543649,0.0005464457347543967,78.14532736246537,4,19.53633184061634,4.303343182033278e-16,5,13.680439041643973,0.3740495084778518,False
1,1,6,6,0.48839009087872737,0.0005380585677910349,0.0005380585677910211,81.4765431571973,5,16.29530863143946,4.119568230684879e-16,6,51.030315983739996,0.37045600189252936,False
1,1,7,7,0.4881786120105106,0.0005350236007397185,0.000535023600739626,95.20896058069451,6,15.868160096782418,2.5011705441872574e-18,7,117.60749372801241,0.3637624315362715,False
1,2,4,3,0.48434670800366186,0.0008257952769289683,0.000825795276928968,8.38457895343722,2,4.19228947671861,0.015111647472347868,3,5.7453404466730635,0.5292431361227684,False
1,2,5,4,0.4843222619844149,0.0007460262304353929,0.000746026230435394,8.389345223769492,3,2.796448407923164,0.03861449143393068,4,9.364312811153019,0.5010298767634154,False
1,2,6,5,0.4841648787411062,0.0007337715698687197,0.0007337715698687722,9.75522765154444,4,2.43880691288611,0.04475899010804185,5,34.8860873571059,0.4933474752262829,False
1,2,7,6,0.483853627857157,0.0007197492144063366,0.0007197492144062961,14.508349727954771,5,2.901669945590954,0.012683218157856098,6,80.2057061534346,0.470755125777575,False
1,3,5,3,0.4815517118587157,0.001265547350437947,0.0012655473504379186,1.0443267367076154,2,0.5221633683538077,0.5932357712547514,3,3.6838038942881832,0.5438142568644647,True
