R,Tmin,Tmax,fit_window,n_points,plateau_value,err_plateau_jackknife,gls_error,chi2,dof,chi2_per_dof,p_value,covariance_rank,status
1,1,3,1-3,3,0.48804842414836314,0.0001301373207608708,0.00013013732076088994,5417.165866758142,2,2708.582933379071,0.0,3,ok
1,1,4,1-4,4,0.48786207827500594,0.00012975019740811352,0.00012975019740805825,5762.313394677924,3,1920.771131559308,0.0,4,ok
1,1,5,1-5,5,0.4881882043684411,0.00012874869455910495,0.00012874869455916372,6173.141570844942,4,1543.2853927112355,0.0,5,ok
1,1,6,1-6,6,0.48819377070846665,0.00012852093777775687,0.00012852093777768512,6173.670356446854,5,1234.7340712893708,0.0,6,ok
1,1,7,1-7,7,0.48827160767295763,0.00012762879331431798,0.00012762879331430855,6200.182368760972,6,1033.3637281268286,0.0,7,ok
1,2,4,2-4,3,0.48326214570630954,0.00014386471120643422,0.00014386471120643197,283.36448580040576,2,141.68224290020288,2.938892663776143e-62,3,ok
1,2,5,2-5,4,0.48329391743290834,0.00014378697465342857,0.00014378697465343781,328.5073832722914,3,109.5024610907638,6.71516608501599e-71,4,ok
1,2,6,2-6,5,0.48328197820598806,0.00014369767161006954,0.0001436976716101126,334.05966505343525,4,83.51491626335881,4.8445318440653096e-71,5,ok
1,2,7,2-7,6,0.4832741754434802,0.00014334198388627812,0.000143341983886309,334.65599415055243,5,66.93119883011049,3.515428528217044e-70,6,ok
1,3,5,3-5,3,0.480741253617353,0.00020416428504062923,0.00020416428504062528,18.340755266352055,2,9.170377633176027,0.00010407719930566512,3,ok
1,3,6,3-6,4,0.48072457136798696,0.00020397727568055056,0.00020397727568055655,21.986909642409984,3,7.328969880803328,6.564150655314686e-05,4,ok
1,3,7,3-7,5,0.48072446170199895,0.00020331995936484132,0.00020331995936481392,21.98695456430187,4,5.496738641075467,0.0002016223146860093,5,ok
1,4,6,4-6,3,0.4797708250774732,0.00032435927664749585,0.0003243592766475088,7.685017187491719,2,3.8425085937458596,0.021439750204737203,3,ok
1,4,7,4-7,4,0.47976977723760555,0.0003242276295429888,0.0003242276295429408,7.6978762808115775,3,2.565958760270526,0.052686317775387216,4,ok
1,5,7,5-7,3,0.47882486141075215,0.00047624525386026476,0.0004762452538602262,0.36041739414622964,2,0.18020869707311482,0.8350959111515002,3,ok
2,1,3,1-3,3,0.7192024519917364,0.00029130530591768783,0.00029130530591773424,2804.0164683949647,2,1402.0082341974824,0.0,3,ok
2,1,4,1-4,4,0.7192302185061262,0.0002912513599360934,0.00029125135993606334,2828.5491743444927,3,942.8497247814976,0.0,4,ok
2,1,5,1-5,5,0.719225684424809,0.0002912504696665291,0.00029125046966646203,2868.1915589942055,4,717.0478897485514,0.0,5,ok
2,1,6,1-6,6,0.7191671421034724,0.000291078271904947,0.0002910782719049142,2902.369362687592,5,580.4738725375184,0.0,6,ok
2,1,7,1-7,7,0.7191705243403438,0.00029107727066894726,0.00029107727066885386,2921.995395517823,6,486.99923258630383,0.0,7,ok
2,2,4,2-4,3,0.7089279728481381,0.00035190244735286717,0.00035190244735287254,107.66304757705439,2,53.83152378852719,4.180866172326696e-24,3,ok
2,2,5,2-5,4,0.7088895187508578,0.0003516090806694162,0.0003516090806694571,114.8278337183642,3,38.27594457278807,1.0026521675379598e-24,4,ok
2,2,6,2-6,5,0.7088784645964293,0.00035029038991107246,0.00035029038991107354,114.95985172698535,4,28.739962931746337,6.364908879768202e-24,5,ok
2,2,7,2-7,6,0.708862041466583,0.0003502013742727691,0.0003502013742727851,119.28541340752169,5,23.857082681504338,4.447104193471876e-24,6,ok
2,3,5,3-5,3,0.7036191863494135,0.0006106685514222083,0.0006106685514221002,3.4044996442904596,2,1.7022498221452298,0.18227298061278419,3,ok
2,3,6,3-6,4,0.7037085557686921,0.0006035777174827693,0.0006035777174827068,4.33212749538214,3,1.4440424984607132,0.227761859547645,4,ok
2,3,7,3-7,5,0.7036499526963477,0.0006013466885255103,0.0006013466885255334,5.609671187030709,4,1.4024177967576772,0.23025616910176952,5,ok
2,4,6,4-6,3,0.7022104869009719,0.0011190289360617168,0.001119028936061714,1.804635047908185,2,0.9023175239540925,0.40562851579819215,3,ok
2,4,7,4-7,4,0.70202899467851,0.001097393564228715,0.001097393564228799,2.491543916942711,3,0.8305146389809037,0.4768212254760896,4,ok
2,5,7,5-7,3,0.6995211420228422,0.00211895423094244,0.002118954230942477,0.5773899571788463,2,0.28869497858942317,0.7492407050089651,3,ok
3,1,3,1-3,3,0.8649140503725179,0.0004675303172512025,0.00046753031725119056,1333.2103927132482,2,666.6051963566241,3.140809633191147e-290,3,ok
3,1,4,1-4,4,0.8649589916861002,0.00046616599695353047,0.00046616599695349404,1334.7959047359632,3,444.93196824532106,4.146909392802365e-289,4,ok
3,1,5,1-5,5,0.8650913001289714,0.00046052047110734255,0.000460520471107421,1338.1419968720725,4,334.5354992180181,1.787632325029749e-288,5,ok
3,1,6,1-6,6,0.8650721529498916,0.0004603200851284643,0.0004603200851283977,1340.128813697146,5,268.0257627394292,1.2919212876718369e-287,6,ok
3,1,7,1-7,7,0.8650329276337371,0.0004596820515499552,0.000459682051549982,1342.7500159591425,6,223.79166932652376,6.021890255941429e-287,7,ok
3,2,4,2-4,3,0.8493233154582756,0.0006356064154477842,0.0006356064154477739,25.23883811914363,2,12.619419059571815,3.3071655670914757e-06,3,ok
3,2,5,2-5,4,0.8493299327229755,0.0006334794689857801,0.0006334794689858201,25.25506030761774,3,8.41835343587258,1.3655966119757074e-05,4,ok
3,2,6,2-6,5,0.8493666109858622,0.000632141798675067,0.0006321417986749935,26.04968977414774,4,6.512422443536935,3.09228707081343e-05,5,ok
3,2,7,2-7,6,0.8493553892022805,0.0006308614504182081,0.0006308614504181852,26.127563543291508,5,5.225512708658302,8.429344300496714e-05,6,ok
3,3,5,3-5,3,0.844747776887196,0.0011467689636507628,0.0011467689636507775,2.2778805211687865,2,1.1389402605843932,0.3201581262890355,3,ok
3,3,6,3-6,4,0.844801323408857,0.001145421953630256,0.001145421953630181,3.2065066846673997,3,1.0688355615557998,0.3608685703736067,4,ok
3,3,7,3-7,5,0.8448136085301328,0.0011394603760170553,0.0011394603760171008,3.21758653400074,4,0.804396633500185,0.5220951111698287,5,ok
3,4,6,4-6,3,0.8426219181158384,0.002383354121942842,0.0023833541219428584,2.11919249968735,2,1.059596249843675,0.3465957201600453,3,ok
3,4,7,4-7,4,0.842652481895576,0.0023745337070150982,0.002374533707015162,2.1414517691984187,3,0.7138172563994729,0.5435724120133592,4,ok
3,5,7,5-7,3,0.8478507790928888,0.005912029664518737,0.0059120296645187274,1.2196197211801239,2,0.6098098605900619,0.5434541913106383,3,ok
4,1,3,1-3,3,0.9727650204522159,0.0006439685799886642,0.0006439685799886077,799.1326539740585,2,399.56632698702924,2.954942505350758e-174,3,ok
4,1,4,1-4,4,0.972754483702343,0.0006430906223040585,0.0006430906223039828,799.2309059363181,3,266.4103019787727,6.353784242161167e-173,4,ok
4,1,5,1-5,5,0.972977960278161,0.0006390465590679009,0.0006390465590678789,808.8627974866646,4,202.21569937166615,9.238311398904174e-174,5,ok
4,1,6,1-6,6,0.9724315856247787,0.0006293754987820803,0.000629375498782037,833.1984621110911,5,166.63969242221822,7.599010704890948e-178,6,ok
4,1,7,1-7,7,0.9727166449565388,0.0006280185304056541,0.000628018530405657,880.8228498060187,6,146.8038083010031,5.253004466536167e-187,7,ok
4,2,4,2-4,3,0.9545981144835942,0.0009161683790545952,0.0009161683790545642,25.030445865808513,2,12.515222932904257,3.670352201085149e-06,3,ok
4,2,5,2-5,4,0.9546691397139009,0.0009152416833841132,0.0009152416833840624,28.002813825570414,3,9.334271275190138,3.6271006299341795e-06,4,ok
4,2,6,2-6,5,0.9543682737692666,0.00089590211119043,0.0008959021111904152,30.587133710894463,4,7.646783427723616,3.7162461561038562e-06,5,ok
4,2,7,2-7,6,0.9542715866181677,0.0008955679346642322,0.0008955679346643345,46.20249499463601,5,9.240498998927203,8.259531725009998e-09,6,ok
4,3,5,3-5,3,0.9490429313897765,0.0014343482296991844,0.0014343482296992074,2.0500841503804104,2,1.0250420751902052,0.35878136929401294,3,ok
4,3,6,3-6,4,0.9487147445806074,0.0014073305057306343,0.0014073305057306276,3.45295762965544,3,1.1509858765518133,0.3269148060263186,4,ok
4,3,7,3-7,5,0.9488923519057895,0.0014067132592327381,0.001406713259232785,21.61364429909521,4,5.4034110747738024,0.00023921576356384053,5,ok
4,4,6,4-6,3,0.9455344101408749,0.004423934642496562,0.004423934642496495,2.8779620938796824,2,1.4389810469398412,0.23716929998559402,3,ok
4,4,7,4-7,4,0.9458621659484231,0.004423267989810316,0.004423267989810297,21.091536482448277,3,7.030512160816092,0.00010076707637351616,4,ok
4,5,7,5-7,3,0.9218171005604372,0.011059953761843589,0.011059953761843593,15.465023367719716,2,7.732511683859858,0.0004383417573747034,3,ok
5,1,3,1-3,3,1.0722869539210194,0.0009144308325777862,0.0009144308325777154,350.20444261659907,2,175.10222130829953,8.996457171647774e-77,3,ok
5,1,4,1-4,4,1.072341572153336,0.0009143948893525942,0.0009143948893527291,395.5866815573822,3,131.86222718579407,2.0003138922237438e-85,4,ok
5,1,5,1-5,5,1.0721603162123252,0.0009120112496267734,0.0009120112496267023,403.13319808535465,4,100.78329952133866,5.85202450992531e-86,5,ok
5,1,6,1-6,6,1.0719695309213255,0.0009061267456847478,0.0009061267456849227,406.5353451014656,5,81.30706902029313,1.1578135284692187e-85,6,ok
5,1,7,1-7,7,1.0719486067869852,0.0009055441070615654,0.0009055441070618107,406.95012378716245,6,67.82502063119374,8.957039777226977e-85,7,ok
5,2,4,2-4,3,1.050513828618901,0.0014525050553074272,0.0014525050553074851,21.504873579712395,2,10.752436789856198,2.139321398228074e-05,3,ok
5,2,5,2-5,4,1.050494011690005,0.0014359174206256986,0.0014359174206257546,21.51307006237124,3,7.171023354123747,8.236166608615064e-05,4,ok
5,2,6,2-6,5,1.0504369494340304,0.0014232244274734623,0.0014232244274733979,21.60279189326265,4,5.400697973315663,0.00024040678747934852,5,ok
5,2,7,2-7,6,1.0504715781683225,0.0014203787617050286,0.0014203787617050232,21.750982389969458,5,4.350196477993892,0.0005838484969471538,6,ok
5,3,5,3-5,3,1.0437378274042204,0.00226109514335547,0.0022610951433554133,6.5505566417899095,2,3.2752783208949547,0.03780634546899591,3,ok
5,3,6,3-6,4,1.0437255890963555,0.0022610230845964393,0.002261023084596321,7.010192663047,3,2.3367308876823336,0.07157360626338366,4,ok
5,3,7,3-7,5,1.0437472691417187,0.002260077227307429,0.0022600772273074247,7.120106056189525,4,1.7800265140473812,0.12967567211721795,5,ok
5,4,6,4-6,3,1.027212612427763,0.006792282930307423,0.006792282930307386,0.36320968536776194,2,0.18160484268388097,0.8339308091758355,3,ok
5,4,7,4-7,4,1.0273168346974666,0.006787475873037917,0.006787475873037935,0.5296082980469571,3,0.1765360993489857,0.9123400764937579,4,ok
5,5,7,5-7,3,1.028863154966554,0.018011454880760894,0.018011454880760787,0.5210177851220271,2,0.26050889256101356,0.7706593032107056,3,ok
6,1,3,1-3,3,1.1641443850492719,0.0011422949192960471,0.0011422949192960515,224.24880416199525,2,112.12440208099763,2.0183240235373336e-49,3,ok
6,1,4,1-4,4,1.1638722873073832,0.001124537333972834,0.0011245373339727382,226.08807879796643,3,75.36269293265548,9.695823335475175e-49,4,ok
6,1,5,1-5,5,1.1638564129173314,0.0011244201199525085,0.0011244201199522791,227.0440246484767,4,56.76100616211917,5.71354225584026e-48,5,ok
6,1,6,1-6,6,1.1639078545949932,0.0011240899240073674,0.0011240899240073498,230.6082378968529,5,46.12164757937058,7.921836041484314e-48,6,ok
6,1,7,1-7,7,1.1636819045915128,0.0011048804898488498,0.0011048804898490057,231.8005935846659,6,38.633432264110986,3.1606300348118954e-47,7,ok
6,2,4,2-4,3,1.1382343942101505,0.0021200977805987562,0.0021200977805985914,22.60365683182241,2,11.301828415911205,1.2350322079591427e-05,3,ok
6,2,5,2-5,4,1.1383279667481843,0.0021108136628462328,0.0021108136628463668,22.82656308058536,3,7.60885436019512,4.3887819750860795e-05,4,ok
6,2,6,2-6,5,1.138242472229509,0.002108827930392399,0.002108827930392433,23.69889194877655,4,5.924722987194137,9.177732650474562e-05,5,ok
6,2,7,2-7,6,1.1380115304760734,0.0021037606343052265,0.0021037606343052052,26.19739331915032,5,5.239478663830064,8.170371070636903e-05,6,ok
6,3,5,3-5,3,1.1211991308445088,0.00422604469595198,0.00422604469595216,0.9376655498716437,2,0.46883277493582187,0.6257322125171376,3,ok
6,3,6,3-6,4,1.1209930857747277,0.004213471852687583,0.004213471852687632,1.3377700018281156,3,0.44592333394270517,0.720184349385651,4,ok
6,3,7,3-7,5,1.1205071314094954,0.004109498389611059,0.0041094983896111685,1.6106615744288322,4,0.40266539360720804,0.806874650442408,5,ok
6,4,6,4-6,3,1.119279790113945,0.011549751562380715,0.011549751562380596,1.3123869569452438,2,0.6561934784726219,0.5188224894647109,3,ok
6,4,7,4-7,4,1.117611300084972,0.010981448172352547,0.010981448172352321,1.5297985343493845,3,0.5099328447831282,0.675410117113902,4,ok
6,5,7,5-7,3,1.152814754271978,0.037320523478960435,0.037320523478960414,0.5556948746501662,2,0.2778474373250831,0.757412365556762,3,ok
