R,T,Veff_central,status
0,1,0.009785879737605134,ok
0,2,0.0033969215934051885,ok
0,3,0.001054882346640364,ok
0,4,0.0006176796721808058,ok
0,5,0.00028292778712412514,ok
0,6,-2.9183388943336812e-05,ok
0,7,0.0005932154212305981,ok
0,8,-0.00056072287002238,ok
0,9,-0.0006036828623987042,ok
1,1,0.4977756748511609,ok
1,2,0.4857195602262136,ok
1,3,0.4801572614014384,ok
1,4,0.4808566399825245,ok
1,5,0.4806330846601882,ok
1,6,0.4778486030405266,ok
1,7,0.47711788399049826,ok
1,8,0.4845781599938293,ok
1,9,0.47132191626641684,ok
2,1,0.7264195953849683,ok
2,2,0.7101035120195776,ok
2,3,0.700814305512391,ok
2,4,0.7081735484677996,ok
2,5,0.6977573138796533,ok
2,6,0.7118811787292125,ok
2,7,0.6802980675958654,ok
2,8,0.6690478844185328,ok
2,9,0.5170568302419809,ok
3,1,0.8699861504686622,ok
3,2,0.8502666785234455,ok
3,3,0.8341414682634378,ok
3,4,0.8389528034290668,ok
3,5,0.8617282463704838,ok
3,6,0.8658732340826368,ok
3,7,0.8555746785159376,ok
3,8,1.0053445232432805,ok
3,9,0.38651610217110915,ok
4,1,0.9790821427536076,ok
4,2,0.9571813869680816,ok
4,3,0.9401848115350065,ok
4,4,0.9297531174003407,ok
4,5,0.9432678404638606,ok
4,6,0.9105443971576469,ok
4,7,0.6888783904416297,ok
4,8,0.7556988664118653,ok
4,9,0.8234962746402181,ok
5,1,1.0753149089134202,ok
5,2,1.0513096836051299,ok
5,3,1.051568708687875,ok
5,4,1.0236203975518217,ok
5,5,0.9731082139987263,ok
5,6,0.9069538375172863,ok
5,7,1.2499538860871486,ok
5,8,,nonpositive_central_mean
5,9,,nonpositive_central_mean
6,1,1.1688818575386264,ok
6,2,1.1355561901887086,ok
6,3,1.1383745277659616,ok
6,4,1.1163324092510292,ok
6,5,1.1782821038087252,ok
6,6,0.7831426543166065,ok
6,7,,nonpositive_central_mean
6,8,,nonpositive_central_mean
6,9,,nonpositive_central_mean
7,1,1.2578175582031903,ok
7,2,1.220778623745155,ok
7,3,1.2186490359660063,ok
7,4,1.2771233250349965,ok
7,5,1.0829530835995778,ok
7,6,1.3322027321146432,ok
7,7,0.9857042578875804,ok
7,8,-0.6551526443477265,ok
7,9,-0.6112339185381667,ok
8,1,1.3489525837064484,ok
8,2,1.3041139751672046,ok
8,3,1.2845218183907408,ok
8,4,1.5533736825779445,ok
8,5,1.10351047128049,ok
8,6,,nonpositive_central_mean
8,7,,nonpositive_central_mean
8,8,0.3257363702058429,ok
8,9,-0.9173863187544289,ok
9,1,1.4478698731379978,ok
9,2,1.3900677194158957,ok
9,3,1.4071318758073235,ok
9,4,1.565100863659469,ok
9,5,1.7353507396385803,ok
9,6,,nonpositive_central_mean
9,7,,nonpositive_central_mean
9,8,2.3066282383427077,ok
9,9,-1.6548180890875592,ok
10,1,1.5492397944331633,ok
10,2,1.4771093033008396,ok
10,3,1.539201691493551,ok
10,4,1.8082603070657342,ok
10,5,1.9735376434637235,ok
10,6,,nonpositive_central_mean
10,7,,nonpositive_central_mean
10,8,,nonpositive_central_mean
10,9,,nonpositive_central_mean
11,1,1.6404641387879484,ok
11,2,1.5201143798239412,ok
11,3,1.6542587277012086,ok
11,4,2.1772695359571332,ok
11,5,0.1598139265515908,ok
11,6,,nonpositive_central_mean
11,7,,nonpositive_central_mean
11,8,,nonpositive_central_mean
11,9,,nonpositive_central_mean
12,1,1.6790580953741754,ok
12,2,1.543046588264606,ok
12,3,2.0193682984388346,ok
12,4,,nonpositive_central_mean
12,5,,nonpositive_central_mean
12,6,,nonpositive_central_mean
12,7,,nonpositive_central_mean
12,8,,nonpositive_central_mean
12,9,5.105185436587853,ok
