R,tau,dx,x_mid,dy,profile_label,rho_S_mean,rho_S_err,minus_rho_S
4,4,1,-1.0,-6,left_dip,-0.0005524060569038,0.0002120218266684,0.0005524060569038
4,4,1,-1.0,-5,left_dip,-0.0007539489977499,0.0002273113323451,0.0007539489977499
4,4,1,-1.0,-4,left_dip,-0.0010885928015199,0.0002135888230572,0.0010885928015199
4,4,1,-1.0,-3,left_dip,-0.0014573748727104,0.0002100742303964,0.0014573748727104
4,4,1,-1.0,-2,left_dip,-0.003341717124482,0.0002061793361809,0.003341717124482
4,4,1,-1.0,-1,left_dip,-0.0073417344970173,0.0001794535638166,0.0073417344970173
4,4,1,-1.0,0,left_dip,-0.0173527760945215,0.0002420833195753,0.0173527760945215
4,4,1,-1.0,1,left_dip,-0.0078800839766657,0.0002138490084748,0.0078800839766657
4,4,1,-1.0,2,left_dip,-0.0037584588006928,0.0002271044018354,0.0037584588006928
4,4,1,-1.0,3,left_dip,-0.0021266184940058,0.0002122209356487,0.0021266184940058
4,4,1,-1.0,4,left_dip,-0.0007169125344489,0.0002104090032899,0.0007169125344489
4,4,1,-1.0,5,left_dip,-0.0007806553459063,0.0002267321952765,0.0007806553459063
4,4,1,-1.0,6,left_dip,-0.0004161404704674,0.0002015843307532,0.0004161404704674
4,4,2,0.0,-6,midpoint_region,-0.0004671024401988,0.0001967770358476,0.0004671024401988
4,4,2,0.0,-5,midpoint_region,-0.000479944861361,0.0002192924501037,0.000479944861361
4,4,2,0.0,-4,midpoint_region,-0.0008595950560291,0.000209008948486,0.0008595950560291
4,4,2,0.0,-3,midpoint_region,-0.001638860936559,0.0002217389754016,0.001638860936559
4,4,2,0.0,-2,midpoint_region,-0.0037907241438115,0.0002342823172457,0.0037907241438115
4,4,2,0.0,-1,midpoint_region,-0.0063482809486054,0.0002012023215244,0.0063482809486054
4,4,2,0.0,0,midpoint_region,-0.010960638443532,0.0002177627669637,0.010960638443532
4,4,2,0.0,1,midpoint_region,-0.0067809331319191,0.0002147660398433,0.0067809331319191
4,4,2,0.0,2,midpoint_region,-0.0034376114143721,0.0002091312756923,0.0034376114143721
4,4,2,0.0,3,midpoint_region,-0.0017009315258524,0.0002102007931064,0.0017009315258524
4,4,2,0.0,4,midpoint_region,-0.0009689413919566,0.0002106406002143,0.0009689413919566
4,4,2,0.0,5,midpoint_region,-0.0005139524048598,0.0002305292473906,0.0005139524048598
4,4,2,0.0,6,midpoint_region,-0.0002950896749296,0.0002385998729449,0.0002950896749296
4,4,3,1.0,-6,right_dip,-0.0004290514155122,0.000216115024999,0.0004290514155122
4,4,3,1.0,-5,right_dip,-0.0004016413111726,0.0002336254971196,0.0004016413111726
4,4,3,1.0,-4,right_dip,-0.0007233616961094,0.0002277405317039,0.0007233616961094
4,4,3,1.0,-3,right_dip,-0.0018536786246423,0.0002123618352982,0.0018536786246423
4,4,3,1.0,-2,right_dip,-0.003277621483134,0.0002307089164746,0.003277621483134
4,4,3,1.0,-1,right_dip,-0.0073995438879972,0.0002196869381152,0.0073995438879972
4,4,3,1.0,0,right_dip,-0.0169574302788793,0.0002200790215178,0.0169574302788793
4,4,3,1.0,1,right_dip,-0.0075283569380096,0.0002473029218241,0.0075283569380096
4,4,3,1.0,2,right_dip,-0.0032853465784064,0.0002070823615766,0.0032853465784064
4,4,3,1.0,3,right_dip,-0.0013635008931155,0.0002275238613143,0.0013635008931155
4,4,3,1.0,4,right_dip,-0.0006683030992184,0.0002135944149023,0.0006683030992184
4,4,3,1.0,5,right_dip,-0.0006351426621339,0.0001963790744787,0.0006351426621339
4,4,3,1.0,6,right_dip,-0.0003688163640739,0.0002145313334411,0.0003688163640739
5,4,1,-1.5,-6,left_dip,-0.0003007082905937,0.0003133800680643,0.0003007082905937
5,4,1,-1.5,-5,left_dip,-0.0005589691452407,0.0003410078258245,0.0005589691452407
5,4,1,-1.5,-4,left_dip,-0.0017093118144754,0.0003011537727685,0.0017093118144754
5,4,1,-1.5,-3,left_dip,-0.0018933885487362,0.000308422974634,0.0018933885487362
5,4,1,-1.5,-2,left_dip,-0.0036691357733942,0.000309836484579,0.0036691357733942
5,4,1,-1.5,-1,left_dip,-0.0076350923297189,0.0003026292601119,0.0076350923297189
5,4,1,-1.5,0,left_dip,-0.0158123655556924,0.0003538203978132,0.0158123655556924
5,4,1,-1.5,1,left_dip,-0.0073115979748139,0.000354445649494,0.0073115979748139
5,4,1,-1.5,2,left_dip,-0.0036796941132251,0.0002881867022646,0.0036796941132251
5,4,1,-1.5,3,left_dip,-0.0016347458343411,0.0003256897899667,0.0016347458343411
5,4,1,-1.5,4,left_dip,-0.0013655659376334,0.0002820104337878,0.0013655659376334
5,4,1,-1.5,5,left_dip,-0.0003341456344257,0.0003165339832288,0.0003341456344257
5,4,1,-1.5,6,left_dip,-0.0003828389773107,0.0003751538607049,0.0003828389773107
5,4,2,-0.5,-6,midpoint_region,-0.0002798781650077,0.0003331514130173,0.0002798781650077
5,4,2,-0.5,-5,midpoint_region,-0.0002212470765798,0.0003491265329236,0.0002212470765798
5,4,2,-0.5,-4,midpoint_region,-0.0004337452934918,0.0003015317714243,0.0004337452934918
5,4,2,-0.5,-3,midpoint_region,-0.0021048469692066,0.0003140340581311,0.0021048469692066
5,4,2,-0.5,-2,midpoint_region,-0.0040542204147023,0.0003181654460182,0.0040542204147023
5,4,2,-0.5,-1,midpoint_region,-0.0062885766965611,0.000330957543767,0.0062885766965611
5,4,2,-0.5,0,midpoint_region,-0.008713408303045,0.0003102509653657,0.008713408303045
5,4,2,-0.5,1,midpoint_region,-0.0065347685026356,0.0003239643753429,0.0065347685026356
5,4,2,-0.5,2,midpoint_region,-0.0031010901183807,0.0003073455828435,0.0031010901183807
5,4,2,-0.5,3,midpoint_region,-0.0010916054842393,0.0003109098485268,0.0010916054842393
5,4,2,-0.5,4,midpoint_region,-0.0012360842237274,0.0002796768858395,0.0012360842237274
5,4,2,-0.5,5,midpoint_region,-0.0009745073773544,0.0002887655433387,0.0009745073773544
5,4,2,-0.5,6,midpoint_region,-0.0003639365856088,0.0002988801967813,0.0003639365856088
5,4,3,0.5,-6,midpoint_region,-0.0003454944066964,0.0003315815235402,0.0003454944066964
5,4,3,0.5,-5,midpoint_region,-0.0007797450829515,0.0003111437806661,0.0007797450829515
5,4,3,0.5,-4,midpoint_region,-0.0012164290491222,0.0003017110640697,0.0012164290491222
