R,tau,dx,x_mid,width_rms_dy,integrated_depletion_minus_rho,rho_axis_dy0
4,4,-2,-4.0,2.2524452696250474,0.008070632807920657,-0.0019675911217908
4,4,-1,-3.0,2.1049848466500105,0.020729205107792484,-0.0065705601309046
4,4,0,-2.0,1.8436570783198043,0.041733403893885,-0.0105484694007781
4,4,1,-1.0,1.9344360942868177,0.047567420067091706,-0.0173527760945215
4,4,2,0.0,2.0043959799429305,0.038242606373986396,-0.010960638443532
4,4,3,1.0,1.8098391056444398,0.044891795232404705,-0.0169574302788793
4,4,4,2.0,1.8849553738687972,0.0401007029579524,-0.0102045761771409
4,4,5,3.0,1.7044800874733526,0.0183210809840067,-0.0065047771752421
4,4,6,4.0,2.2379441002042078,0.00681053837038962,-0.0010410812012038
5,4,-2,-4.5,2.6159532843927407,0.00869579413590689,-0.0018999774486893
5,4,-1,-3.5,1.6994359081871668,0.018503424245763397,-0.0067540061272117
5,4,0,-2.5,1.6009552359679795,0.041353382524701804,-0.0107267037010784
5,4,1,-1.5,1.928949187643379,0.04628755992960141,-0.0158123655556924
5,4,2,-0.5,2.058535753664815,0.0353979152105405,-0.008713408303045
5,4,3,0.5,2.19061505398928,0.0390094453958037,-0.0091146065956555
5,4,4,1.5,1.944943582084037,0.046399287571516915,-0.0159945522811123
5,4,5,2.5,1.7658590552180111,0.04052879372269895,-0.0104402734217791
5,4,6,3.5,2.0627236222326286,0.019255466456344635,-0.0059886396236137
5,4,7,4.5,2.973378745946872,0.0078577597133271,-0.0012570861046025
6,4,-2,-5.0,2.929382427638305,0.007405916880387592,-0.0011459986363382
6,4,-1,-4.0,2.352547318395401,0.0218414578869016,-0.0060875848035537
6,4,0,-3.0,1.8292068239024022,0.04451786860373729,-0.0107944006546166
6,4,1,-2.0,1.7631670412652403,0.041420856425165395,-0.0147617613197844
6,4,2,-1.0,2.357224942549717,0.0357329224874223,-0.0076364939850956
6,4,3,0.0,2.3062543589153597,0.0357900025927466,-0.0068665281951805
6,4,4,1.0,2.2811534878983664,0.0398431609413129,-0.0082294196941069
6,4,5,2.0,2.033891386530391,0.04655732852372378,-0.0156361591553206
6,4,6,3.0,1.8465914798260443,0.0416653091459083,-0.0101697090137151
6,4,7,4.0,1.8303514066568152,0.0188042226282842,-0.0066471897245023
6,4,8,5.0,2.429770792341756,0.0078075013840667,-0.0009706220644023
