r,tau,dx,dy,dz,ncfg,naxis,L_Re_mean,L_Re_err,rho_E2_mean,rho_E2_err,rho_B2_mean,rho_B2_err,rho_S_mean,rho_S_err,x_mid,R
4,4,-2,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0023019829517137,0.0003495453942708,-0.0016331992918634,0.0002784811641208,-0.0019675911217908,0.000228621131562,-4.0,4
4,4,-1,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0098787063131843,0.000314354938276,-0.0032624139486195,0.0002992117477974,-0.0065705601309046,0.0002346128338087,-3.0,4
4,4,0,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0152929998545488,0.0003001119992226,-0.0058039389470053,0.0002862663984457,-0.0105484694007781,0.0002127140919591,-2.0,4
4,4,1,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0270766387834988,0.0003357324429221,-0.0076289134055393,0.0003134864893603,-0.0173527760945215,0.0002420833195753,-1.0,4
4,4,2,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0145423497233381,0.0002790079025317,-0.0073789271637188,0.0003043273451762,-0.010960638443532,0.0002177627669637,0.0,4
4,4,3,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0262856929293921,0.0003101025789909,-0.0076291676283595,0.000301521823238,-0.0169574302788793,0.0002200790215178,1.0,4
4,4,4,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0149655242618387,0.000282679566968,-0.0054436280924364,0.0002887179018477,-0.0102045761771409,0.0001943217015586,2.0,4
4,4,5,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.009356307731036,0.0002951105243518,-0.0036532466194418,0.0002554477316916,-0.0065047771752421,0.0002128554210747,3.0,4
4,4,6,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0014305911374681,0.0002885989984654,-0.0006515712649282,0.0002707943118,-0.0010410812012038,0.0001844583954653,4.0,4
5,4,-2,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.0023865445031617,0.0004073327377928,-0.0014134103942083,0.0003842401527287,-0.0018999774486893,0.000291307650542,-4.5,5
5,4,-1,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.0102783685921957,0.0004436851452366,-0.0032296436622263,0.0004658263376643,-0.0067540061272117,0.0003394996406339,-3.5,5
5,4,0,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.0159090215008304,0.0004785984947107,-0.0055443859013169,0.0004712761640418,-0.0107267037010784,0.000362522855324,-2.5,5
5,4,1,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.0246768054912653,0.0004903762447167,-0.0069479256201159,0.0004781569490462,-0.0158123655556924,0.0003538203978132,-1.5,5
5,4,2,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.0105821639903077,0.0004293586623658,-0.0068446526157756,0.0004554691371263,-0.008713408303045,0.0003102509653657,-0.5,5
5,4,3,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.0110634338476721,0.0005251154957225,-0.0071657793436332,0.0004287956606628,-0.0091146065956555,0.0003469870664901,0.5,5
5,4,4,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.0246035982763101,0.0004355547603106,-0.0073855062859136,0.0004837675671315,-0.0159945522811123,0.000343092171475,1.5,5
5,4,5,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.0150542779024414,0.0004024771770597,-0.0058262689411008,0.0004251399259072,-0.0104402734217791,0.0003121756998325,2.5,5
