tau,dx,dy,rho_S_pyerrors,err_pyerrors
4,-2,0,-0.0019675922572550686,0.0002308664526649105
4,-1,0,-0.006570560713170748,0.00023692951724784583
4,0,0,-0.010548470037939461,0.00021686745774247731
4,1,0,-0.017352776196025488,0.0003026333553991397
4,2,0,-0.010960638448567206,0.0002199051722382665
4,3,0,-0.016957430158879738,0.00023683869324288718
4,4,0,-0.010204576350511863,0.0002289053730050197
4,5,0,-0.006504777772933457,0.00021703004532766824
4,6,0,-0.0010410820812873922,0.0001898565899212697
6,-2,0,0.000713840439502178,0.001213140372349417
6,-1,0,-0.005698031933015768,0.001385881944861013
6,0,0,-0.010766151558697645,0.0013916317546656652
6,1,0,-0.018024165004665527,0.001377803020297039
6,2,0,-0.010055853132547421,0.0012963900393809802
6,3,0,-0.017570367706881473,0.0013403516960148376
6,4,0,-0.010495432824354722,0.0015873765064142312
6,5,0,-0.006522990504762571,0.001382937894691654
6,6,0,-0.001169575681299495,0.0014807586087601074
