dx,rho_S_tau4,err_tau4,rho_S_tau6,err_tau6,delta_tau6_minus_tau4,pull
-2,-0.0018999774486893,0.000291307650542,-0.0054136998830244,0.0022563246160125,-0.0035137224343351004,-1.5444581776758628
-1,-0.0067540061272117,0.0003394996406339,-0.0041184206633566,0.0027556908577869,0.0026355854638551003,0.949238810057002
0,-0.0107267037010784,0.000362522855324,-0.0084840729761539,0.0023497879994867,0.0022426307249245013,0.9432375898328461
1,-0.0158123655556924,0.0003538203978132,-0.0180423731189592,0.0021313693156373,-0.0022300075632668004,-1.0321538721418415
2,-0.008713408303045,0.0003102509653657,-0.0104614125260549,0.0023975309768311,-0.0017480042230099014,-0.7230563147458031
3,-0.0091146065956555,0.0003469870664901,-0.0115498366306233,0.0025298682699858,-0.0024352300349677995,-0.953663358330023
4,-0.0159945522811123,0.000343092171475,-0.0146525058038551,0.0023672912556341,0.0013420464772571986,0.561050526065682
5,-0.0104402734217791,0.0003121756998325,-0.010809116408557,0.0022934843588951,-0.00036884298677790014,-0.15935271255027375
6,-0.0059886396236137,0.0003374008322305,-0.0059495536593106,0.0022494315347851,3.908596430310038e-05,0.01718370415919032
7,-0.0012570861046025,0.0003303260599005,0.0005945113743207,0.0026262844756544,0.0018515974789232,0.6995140928178734
