R,tau,dx,dy,rho_S_pyerrors,err_pyerrors
7,4,-2,0,-0.0007351565697097939,0.0006551980440201555
7,4,-1,0,-0.006911351238622299,0.0006187596799376622
7,4,0,0,-0.01045574814539263,0.0006148964086116406
7,4,1,0,-0.015643479788373327,0.0006942226796971292
7,4,2,0,-0.008090331964483166,0.0006896946578338382
7,4,3,0,-0.006841711232039804,0.0006772887644700919
7,4,4,0,-0.006039285573131048,0.0006226793876817367
7,4,5,0,-0.007511518579358167,0.0006366489146105798
7,4,6,0,-0.014241827721422906,0.0006725361971554001
7,4,7,0,-0.008887356829214266,0.0007005078565938606
7,4,8,0,-0.005398397076609163,0.0007554826035937715
7,4,9,0,-0.0023978442504544173,0.0007503546767878715
7,6,-2,0,0.004066069762919122,0.007356221824612721
7,6,-1,0,-0.0006904758530186239,0.007657832590067603
7,6,0,0,-0.0031016376399202183,0.007985098830618171
7,6,1,0,-0.013095460475555987,0.00950424979243994
7,6,2,0,-0.014247843333090815,0.009455557648873724
7,6,3,0,-0.01324645291889981,0.007896908913630618
7,6,4,0,0.0010530183064327847,0.007888865867048993
7,6,5,0,-0.01592185179997485,0.008191563883613343
7,6,6,0,-0.018213162048796194,0.008025601471826254
7,6,7,0,-0.0004089060319765192,0.00657366276789426
7,6,8,0,-0.0042110783166871,0.008271692374725035
7,6,9,0,-0.012625032771380384,0.006751869947828076
