# R/a=7, Ncfg=100, axis-averaged rho_S = <LS>/<L> - <S>
# Errors from pyerrors/Gamma method with correlated ensemble labels
# dx  rhoS_tau4  err4  rhoS_tau6  err6  delta  pull
 -2 -0.00073516 0.00065520 +0.00406607 0.00735622 +0.00480123 +0.650
 -1 -0.00691135 0.00061876 -0.00069048 0.00765783 +0.00622088 +0.810
  0 -0.01045575 0.00061490 -0.00310164 0.00798510 +0.00735411 +0.918
  1 -0.01564348 0.00069422 -0.01309546 0.00950425 +0.00254802 +0.267
  2 -0.00809033 0.00068969 -0.01424784 0.00945556 -0.00615751 -0.649
  3 -0.00684171 0.00067729 -0.01324645 0.00789691 -0.00640474 -0.808
  4 -0.00603929 0.00062268 +0.00105302 0.00788887 +0.00709230 +0.896
  5 -0.00751152 0.00063665 -0.01592185 0.00819156 -0.00841033 -1.024
  6 -0.01424183 0.00067254 -0.01821316 0.00802560 -0.00397133 -0.493
  7 -0.00888736 0.00070051 -0.00040891 0.00657366 +0.00847845 +1.282
  8 -0.00539840 0.00075548 -0.00421108 0.00827169 +0.00118732 +0.143
  9 -0.00239784 0.00075035 -0.01262503 0.00675187 -0.01022719 -1.505
