R,T,Ncfg,mean_Re,sem_Re,relative_err_Re_percent,nonpositive_configs
0,1,100,1.770782651891042e-07,5.882757406195544e-11,0.033221227912489826,0
0,2,100,1.7535384980391588e-07,5.3302242565576473e-11,0.030396961700686974,0
0,3,100,1.747591970911623e-07,5.1246923208909354e-11,0.029324306853033114,0
0,4,100,1.7457494389904367e-07,5.339111058087877e-11,0.030583490040675444,0
0,5,100,1.7446714580069947e-07,4.947634744098928e-11,0.028358546942418607,0
0,6,100,1.7441779117943835e-07,4.890759029405138e-11,0.02804048254672369,0
0,7,100,1.7442288135595095e-07,4.881114307280258e-11,0.02798436919132872,0
0,8,100,1.7431944169694898e-07,4.629665319651887e-11,0.026558513924685875,0
0,9,100,1.7441721400362046e-07,4.5185549615840254e-11,0.025906588334166557,0
0,10,100,1.7452253847471226e-07,5.4021132495954275e-11,0.030953671066262744,0
1,1,100,1.0270740311016853e-07,4.185184159950874e-11,0.04074861240003955,0
1,2,100,6.243390794210993e-08,2.949431250627409e-11,0.047240855936203544,0
1,3,100,3.841273188214736e-08,2.4080589164869122e-11,0.06268908246034118,0
1,4,100,2.3765422844984144e-08,2.1159330882608404e-11,0.08903410227802544,0
1,5,100,1.4693056903059916e-08,2.0046016728904288e-11,0.13643190019041979,0
1,6,100,9.086065516561531e-09,1.690036450310447e-11,0.18600311072267206,0
1,7,100,5.634415272271378e-09,1.531162283164394e-11,0.27175176290247827,0
1,8,100,3.496545534635435e-09,1.4261545586103199e-11,0.4078752999162692,0
1,9,100,2.1537216183751493e-09,1.4961949842934907e-11,0.6947021246981204,0
1,10,100,1.3443026660956044e-09,1.493182997315416e-11,1.1107491154891629,0
2,1,100,7.531216935052157e-08,4.889884959536341e-11,0.0649282181313567,0
2,2,100,3.642379019440747e-08,3.5544528096960383e-11,0.09758602250684474,0
2,3,100,1.790569154839121e-08,2.430111134660056e-11,0.13571724544078814,0
2,4,100,8.88446566137514e-09,1.9841783437217746e-11,0.22333119619651534,0
2,5,100,4.37598121301639e-09,1.7983746986922527e-11,0.4109649039038315,0
2,6,100,2.1779268934632813e-09,1.620907535979434e-11,0.7442433172777027,0
2,7,100,1.068752712540514e-09,1.605438930237042e-11,1.5021612683637362,0
2,8,100,5.412869206712072e-10,1.3750245673457497e-11,2.540287811943969,0
2,9,100,2.7724500401456343e-10,1.669025392943797e-11,6.0200377600172175,4
2,10,100,1.653136826479303e-10,1.5369007863797177e-11,9.296875865096212,17
3,1,100,5.88996800907079e-08,6.057313827690955e-11,0.10284120080724454,0
3,2,100,2.467645397914851e-08,3.841454907651996e-11,0.1556728900715641,0
3,3,100,1.0544272592213806e-08,2.744253704176981e-11,0.2602601251226582,0
3,4,100,4.578820178485987e-09,1.8040868386396918e-11,0.39400692062910925,0
3,5,100,1.978795959669731e-09,1.518650950249669e-11,0.7674621240398823,0
3,6,100,8.359055190208632e-10,1.455942677225184e-11,1.741755071710258,0
3,7,100,3.516521079145787e-10,1.512559391665919e-11,4.301294824125842,2
3,8,100,1.494658111285236e-10,1.533182615382485e-11,10.257747934503378,18
3,9,100,5.469231223117455e-11,1.2573985471321747e-11,22.990407533281417,36
3,10,100,3.7159039025621065e-11,1.355016869498421e-11,36.46533669948085,39
4,1,100,4.630734191415227e-08,6.7880114967011e-11,0.14658607503935728,0
4,2,100,1.7395618748079514e-08,4.0024897332890395e-11,0.2300860803661219,0
4,3,100,6.679458968033212e-09,2.4854315477182717e-11,0.37210072845916664,0
4,4,100,2.608700435563784e-09,1.6070382707880673e-11,0.6160302075622414,0
4,5,100,1.029526576924668e-09,1.3687096389580184e-11,1.3294553726301415,0
4,6,100,4.00849682748607e-10,1.2795793116337375e-11,3.19216745504131,0
4,7,100,1.61263891996991e-10,1.2635308208113288e-11,7.835175036175518,12
4,8,100,8.097688255988442e-11,1.3280881232974608e-11,16.400830475479303,31
4,9,100,3.80334047916034e-11,1.440627982252499e-11,37.877965176826486,43
4,10,100,1.669265116196753e-11,1.2882274770599212e-11,77.1733300217172,42
5,1,100,3.596831502257407e-08,7.14484520964587e-11,0.19864275557978447,0
5,2,100,1.2272039995824606e-08,4.054641391578048e-11,0.33039668978894987,0
5,3,100,4.288829363779056e-09,2.0349281865212604e-11,0.4744717063604987,0
5,4,100,1.4984707850255644e-09,1.4110130852863424e-11,0.9416353654584397,0
5,5,100,5.383882708353217e-10,1.2909198525967841e-11,2.3977488413592156,0
5,6,100,2.0346047884463905e-10,1.1114053077787213e-11,5.462512002772697,2
5,7,100,8.214762564216616e-11,1.1216176663791586e-11,13.653683324517601,21
5,8,100,2.3536774144882464e-11,1.0760306426287074e-11,45.716997410312736,40
5,9,100,-1.2257294695803059e-11,1.2441233394172864e-11,101.50064678164902,50
5,10,100,-1.851401130807063e-11,1.0979656363096932e-11,59.30457846436919,60
6,1,100,2.7445492886197253e-08,7.16199043463724e-11,0.26095324519528346,0
6,2,100,8.52770353717295e-09,3.612967498382497e-11,0.4236741442327679,0
6,3,100,2.739468471740199e-09,1.8065027298543187e-11,0.6594354884861185,0
6,4,100,8.775594166958219e-10,1.1574031342837352e-11,1.318888627098981,0
6,5,100,2.873819752643328e-10,1.0760376911581068e-11,3.744276898954333,0
6,6,100,8.84582024121704e-11,8.95999206783305e-12,10.129068671420686,19
6,7,100,4.042253785058718e-11,9.751526578748922e-12,24.123984037799026,31
6,8,100,-9.669723036152685e-12,1.0937639030389582e-11,113.11222658080769,52
6,9,100,-1.1756073004684185e-11,9.983024774356144e-12,84.91802296888108,55
6,10,100,-8.790284594050679e-12,9.632508485659438e-12,109.58130402488655,58
7,1,100,2.0606158031747566e-08,7.021530004234895e-11,0.34074910972811817,0
7,2,100,5.857790041883429e-09,3.205787691124507e-11,0.5472691353228776,0
7,3,100,1.7280503069137932e-09,1.5061775354283312e-11,0.8716051433237988,0
7,4,100,5.108622711394089e-10,9.546879405714245e-12,1.8687775443704673,0
7,5,100,1.4244795440315002e-10,9.266037475224063e-12,6.5048582228142955,6
7,6,100,4.8232044178114884e-11,8.868485864600871e-12,18.38712419455138,29
7,7,100,1.2728211210017105e-11,9.921801186831214e-12,77.95126136045538,48
7,8,100,4.7498670450297784e-12,7.576475733528523e-12,159.50921703074795,46
7,9,100,9.145566912825859e-12,9.338932653151204e-12,102.11431114296661,48
7,10,100,1.6852570380824735e-11,8.029653432212792e-12,47.64646134544038,36
8,1,100,1.5295804213453534e-08,6.745305428041983e-11,0.44099057061080194,0
8,2,100,3.9694437545085966e-09,2.858156790391567e-11,0.7200396244801803,0
8,3,100,1.0773582690514147e-09,1.3760646891465e-11,1.2772582052561665,0
8,4,100,2.981943508816066e-10,8.84928721384319e-12,2.967624030328013,0
8,5,100,6.30779823187663e-11,8.554918123798895e-12,13.562447322056661,19
8,6,100,2.0923256766050637e-11,7.0428602845434815e-12,33.66043997496119,42
8,7,100,-4.113610604154376e-12,7.763201405479082e-12,188.71988995844546,47
8,8,100,4.941895076641982e-12,6.929492074945219e-12,140.21932816213913,44
8,9,100,3.5680260160483942e-12,7.475844258541767e-12,209.52325529344938,46
8,10,100,8.929843101730084e-12,7.089705247672569e-12,79.39339098017295,47
9,1,100,1.1379164913280934e-08,6.358862576517849e-11,0.5588162773786894,0
9,2,100,2.674905816401742e-09,2.412683813854277e-11,0.9019696316260571,0
9,3,100,6.66207864346224e-10,1.2547803613150902e-11,1.8834667503459384,0
9,4,100,1.6311734579804947e-10,7.502806561317226e-12,4.5996374724035896,3
9,5,100,3.410244187645297e-11,6.3555123704203125e-12,18.6365316403007,32
9,6,100,6.013568010656247e-12,6.432637105300013e-12,106.96872628531283,48
9,7,100,-3.492750519246557e-12,5.8389138378275575e-12,167.17237047572198,55
9,8,100,1.3943730898210698e-11,6.3244258198041655e-12,45.35676904533302,37
9,9,100,1.3887468183297635e-12,5.513249793355321e-12,396.9945940172212,47
9,10,100,7.266101188662369e-12,6.044737961311011e-12,83.19094111630173,48
10,1,100,8.699088350692919e-09,6.163254154416741e-11,0.7084942589329848,0
10,2,100,1.8477680263253798e-09,2.3001855287726988e-11,1.2448454005057294,0
10,3,100,4.2183929085347643e-10,1.0900404680735225e-11,2.584018349424312,0
10,4,100,9.050659515104836e-11,6.309239062229274e-12,6.971026864616498,7
10,5,100,1.483756907831359e-11,5.3687706136357e-12,36.18362674707025,41
10,6,100,2.061893575758253e-12,5.055548664296167e-12,245.1896025931896,48
10,7,100,-3.638082660089783e-12,5.651864339434034e-12,155.35282915464472,51
10,8,100,2.9965446141970906e-12,5.305774248670586e-12,177.06308204232232,50
10,9,100,-4.842849210491498e-12,4.640085054380477e-12,95.81312266192897,54
10,10,100,-1.5854948114305083e-12,5.79737839228012e-12,365.6510478927049,57
11,1,100,7.138297564204931e-09,6.134700222847814e-11,0.8594066256932653,0
11,2,100,1.384044725446252e-09,2.2613475460481226e-11,1.6338688370919556,0
11,3,100,3.0267241193145286e-10,1.11553762285615e-11,3.6856270306815713,0
11,4,100,5.788118322057382e-11,6.656871343233543e-12,11.500924778723878,20
11,5,100,6.560867324040521e-12,5.522721864169961e-12,84.17670395396418,42
11,6,100,5.591842737075449e-12,5.1833993469143864e-12,92.6957282354711,44
11,7,100,-2.4405775091107473e-12,4.887873614646746e-12,200.27528715642796,55
11,8,100,-8.067936427971315e-13,4.760940874335603e-12,590.1063942236271,53
11,9,100,4.085880854709811e-12,4.915361143757825e-12,120.30113746689085,45
11,10,100,-6.988023892223522e-12,4.3801120442176274e-12,62.680267150945845,56
12,1,100,6.630632394381673e-09,6.054090221050989e-11,0.9130486899229695,0
12,2,100,1.2369418557269317e-09,2.3265794561717257e-11,1.8809125468589067,0
12,3,100,2.6437030182299743e-10,1.2069268487285704e-11,4.5652890676678135,0
12,4,100,3.5092326218691914e-11,7.657089645952532e-12,21.81984060627473,30
12,5,100,-3.642551603602181e-12,6.451097304559092e-12,177.10379993462527,54
12,6,100,-5.577294893068792e-12,6.807129261676215e-12,122.05073233864333,56
12,7,100,3.971890742346626e-12,6.675178882890747e-12,168.06048594748094,44
12,8,100,-2.9579346510514996e-12,7.190203577729893e-12,243.0818941579351,53
12,9,100,1.3712233519262612e-11,6.413502974536488e-12,46.77212480028841,43
12,10,100,8.316763205977836e-14,6.896610984314084e-12,8292.421959731895,51
