R,T,Ncfg,Veff,err_pyerrors,relative_err_percent,status,err_jackknife,relative_err_jackknife_percent,n_valid_jackknife,jackknife_status,reliability,mean_Re,sem_Re,relative_err_Re_percent,nonpositive_configs,region
0,1,100,0.0097858797376053,0.0003693608906528,3.774427037289769,ok,0.0003552067108239,3.62978822904326,100,ok,good,1.770782651891042e-07,5.882757406195544e-11,0.0332212279124898,0,R0_normalization
0,2,100,0.0033969215934051,0.0003730788557083,10.982851545136086,ok,0.0003572163822405,10.515885410310045,100,ok,marginal,1.753538498039159e-07,5.3302242565576473e-11,0.0303969617006869,0,R0_normalization
0,3,100,0.0010548823466403,0.0004170620244253,39.53635452841471,ok,0.000413013873758,39.15260076855071,100,ok,diagnostic_only,1.747591970911623e-07,5.124692320890936e-11,0.0293243068530331,0,R0_normalization
0,4,100,0.0006176796721808,0.0003629996637205,58.76827100995187,ok,0.0003501888966186,56.69425632581428,100,ok,diagnostic_only,1.745749438990437e-07,5.339111058087877e-11,0.0305834900406754,0,R0_normalization
0,5,100,0.0002829277871241,0.0003522026270695,124.4849898447806,ok,0.0003454452559957,122.09661677529768,100,ok,diagnostic_only,1.744671458006995e-07,4.947634744098928e-11,0.0283585469424186,0,R0_normalization
0,6,100,-2.918338894355886e-05,0.0003682101255168,1261.7113325287817,ok,0.0003646338004511,1249.4566726173264,100,ok,diagnostic_only,1.7441779117943837e-07,4.890759029405138e-11,0.0280404825467236,0,R0_normalization
0,7,100,0.0005932154212305,0.0003189723928848,53.77007769338224,ok,0.0003099146482923,52.24318808998683,100,ok,diagnostic_only,1.7442288135595098e-07,4.881114307280258e-11,0.0279843691913287,0,R0_normalization
0,8,100,-0.0005607228700222,0.000343372151924,61.23740804622736,ok,0.0003400379442392,60.642781384270336,100,ok,diagnostic_only,1.74319441696949e-07,4.6296653196518867e-11,0.0265585139246858,0,R0_normalization
0,9,100,-0.0006036828623989,0.000539464401762,89.36221903307795,ok,0.0003744116743827,62.02125283049246,100,ok,diagnostic_only,1.7441721400362048e-07,4.5185549615840254e-11,0.0259065883341665,0,R0_normalization
1,1,100,0.4977756748511606,0.0005129740351916,0.1030532549315617,ok,0.0005079932904769,0.1020526546679493,100,ok,good,1.0270740311016853e-07,4.185184159950874e-11,0.0407486124000395,0,validated_R1-6
1,2,100,0.4857195602262138,0.0005317285229698,0.1094723306432729,ok,0.0005215266255745,0.107371962811547,100,ok,good,6.243390794210993e-08,2.9494312506274085e-11,0.0472408559362035,0,validated_R1-6
1,3,100,0.4801572614014383,0.0007999958679097,0.1666112193273531,ok,0.0007922304393802,0.1649939515790957,100,ok,good,3.8412731882147365e-08,2.408058916486912e-11,0.0626890824603411,0,validated_R1-6
1,4,100,0.4808566399825244,0.0011208483936303,0.2330940867679606,ok,0.0010192786163899,0.2119714134397734,100,ok,good,2.3765422844984144e-08,2.1159330882608404e-11,0.0890341022780254,0,validated_R1-6
1,5,100,0.4806330846601883,0.0015525941387057,0.3230310580478384,ok,0.001537589272601,0.3199091618272866,100,ok,good,1.4693056903059916e-08,2.0046016728904288e-11,0.1364319001904197,0,validated_R1-6
1,6,100,0.4778486030405269,0.0035422913547877,0.7412999289415861,ok,0.0024142989308137,0.5052434841185425,100,ok,good,9.086065516561533e-09,1.690036450310447e-11,0.186003110722672,0,validated_R1-6
1,7,100,0.477117883990498,0.0034916137192752,0.7318136327383589,ok,0.0034576930411834,0.7247041364838719,100,ok,good,5.634415272271378e-09,1.531162283164394e-11,0.2717517629024782,0,validated_R1-6
1,8,100,0.4845781599938292,0.0064407119036248,1.3291378843212558,ok,0.0062424085798883,1.2882150074547003,100,ok,good,3.496545534635435e-09,1.4261545586103199e-11,0.4078752999162692,0,validated_R1-6
1,9,100,0.4713219162664168,0.0090516492184727,1.9204812901923876,ok,0.0089646024608101,1.9020126481330135,100,ok,good,2.153721618375149e-09,1.4961949842934907e-11,0.6947021246981204,0,validated_R1-6
2,1,100,0.726419595384968,0.0009300855853362,0.1280369625551459,ok,0.0009036905934245,0.1244033887805086,100,ok,good,7.531216935052158e-08,4.889884959536341e-11,0.0649282181313567,0,validated_R1-6
