model,fit_label,Rmin,Rmax,omitted_cfg,V0,sigma,alpha,a_sqrt_sigma
cornell,R1-6,1,6,1,0.6648914522541701,0.08630363509312654,0.2706677158297725,0.29377480336667156
cornell,R1-6,1,6,2,0.6637542771633743,0.08663393027452526,0.26989645359683717,0.29433642362868595
cornell,R1-6,1,6,3,0.6640521797559296,0.08662218998243247,0.270147906161953,0.2943164792913106
cornell,R1-6,1,6,4,0.6640980577870101,0.08652855931430724,0.2701011295774728,0.29415737168105655
cornell,R1-6,1,6,5,0.6653833762270167,0.08626083065819404,0.27112676433699634,0.2937019418699748
cornell,R1-6,1,6,6,0.6656368716416795,0.08626232941278905,0.2713623843561078,0.2937044933479722
cornell,R1-6,1,6,7,0.6644534175275447,0.08653006027721541,0.2704082352036408,0.29415992296234955
cornell,R1-6,1,6,8,0.6637906061180655,0.08657187430836183,0.2698119872453301,0.2942309880151338
cornell,R1-6,1,6,9,0.6626087431935619,0.08691044813648446,0.2689219817872603,0.29480578036477584
cornell,R1-6,1,6,10,0.6655274754461451,0.0862064177698828,0.2711357017272724,0.29360929442012357
cornell,R1-6,1,6,11,0.6641916146193219,0.08655610904828437,0.27019499756694587,0.2942041961772204
cornell,R1-6,1,6,12,0.6654135234610272,0.08627546093744883,0.27124550309275597,0.29372684749176203
cornell,R1-6,1,6,13,0.6643457265329624,0.08646378104036355,0.2701964782575764,0.2940472428715555
cornell,R1-6,1,6,14,0.6649918581705442,0.08623712033437912,0.27073415020466135,0.29366157449414304
cornell,R1-6,1,6,15,0.663988715190927,0.08650749784310423,0.2700302297768497,0.29412156983652904
cornell,R1-6,1,6,16,0.6651693672751514,0.08628929770935313,0.2709330272308604,0.2937504003560729
cornell,R1-6,1,6,17,0.6652120791039685,0.08624725163015895,0.2709120428855246,0.29367882393894007
cornell,R1-6,1,6,18,0.6650011507081296,0.08635861166913507,0.2708646697435393,0.2938683577201449
cornell,R1-6,1,6,19,0.665068053562485,0.08634246632285036,0.2709783749898231,0.2938408860639553
cornell,R1-6,1,6,20,0.6629593219958523,0.08692278930776132,0.2694018828363046,0.2948267106416264
cornell,R1-6,1,6,21,0.6633146381264949,0.08680283205573128,0.2695462401524363,0.29462320352567495
cornell,R1-6,1,6,22,0.6651020987243957,0.08628019647764686,0.27081189772248887,0.2937349085104575
cornell,R1-6,1,6,23,0.6644036747245278,0.086516481162567,0.27042302166311716,0.294136840879491
cornell,R1-6,1,6,24,0.6642483152836647,0.08649132638622994,0.2701148085390761,0.29409407744160704
cornell,R1-6,1,6,25,0.6646190453310533,0.08643179808837649,0.27056924022783885,0.2939928538049462
cornell,R1-6,1,6,26,0.6648459787786689,0.08636478715918218,0.2706748456997253,0.29387886477115394
cornell,R1-6,1,6,27,0.6657080472945753,0.08611476537447589,0.2713045911464605,0.29345317407463134
cornell,R1-6,1,6,28,0.6646839420866618,0.08644608267537572,0.27064936647630294,0.29401714690707365
