R,T,mean,std,sem,rel_err_percent,nonpositive_configs
0,1,1.7707826518910416e-07,5.882757406195497e-10,5.882757406195498e-11,0.033221227912489576,0
0,2,1.7535384980391588e-07,5.330224256557652e-10,5.3302242565576525e-11,0.03039696170068701,0
0,3,1.747591970911623e-07,5.124692320890932e-10,5.124692320890932e-11,0.029324306853033093,0
0,4,1.7457494389904367e-07,5.339111058087863e-10,5.339111058087863e-11,0.030583490040675367,0
0,5,1.744671458006995e-07,4.947634744098948e-10,4.947634744098947e-11,0.028358546942418718,0
0,6,1.7441779117943837e-07,4.890759029405153e-10,4.890759029405153e-11,0.028040482546723772,0
0,7,1.7442288135595095e-07,4.881114307280285e-10,4.8811143072802846e-11,0.02798436919132887,0
0,8,1.7431944169694898e-07,4.629665319651873e-10,4.629665319651873e-11,0.026558513924685796,0
0,9,1.7441721400362048e-07,4.518554961584063e-10,4.518554961584063e-11,0.025906588334166765,0
0,10,1.7452253847471226e-07,5.402113249595379e-10,5.402113249595379e-11,0.030953671066262466,0
1,1,1.0270740311016853e-07,4.1851841599508896e-10,4.1851841599508893e-11,0.0407486124000397,0
1,2,6.243390794210992e-08,2.949431250627409e-10,2.949431250627409e-11,0.04724085593620355,0
1,3,3.841273188214736e-08,2.408058916486905e-10,2.408058916486905e-11,0.062689082460341,0
1,4,2.3765422844984144e-08,2.1159330882608402e-10,2.11593308826084e-11,0.08903410227802541,0
1,5,1.4693056903059914e-08,2.0046016728904286e-10,2.0046016728904284e-11,0.13643190019041976,0
1,6,9.086065516561531e-09,1.690036450310445e-10,1.690036450310445e-11,0.1860031107226718,0
1,7,5.63441527227138e-09,1.5311622831643963e-10,1.5311622831643962e-11,0.27175176290247854,0
1,8,3.496545534635435e-09,1.4261545586103204e-10,1.4261545586103204e-11,0.40787529991626936,0
1,9,2.1537216183751493e-09,1.4961949842934908e-10,1.4961949842934907e-11,0.6947021246981204,0
1,10,1.3443026660956044e-09,1.493182997315416e-10,1.493182997315416e-11,1.1107491154891629,0
2,1,7.531216935052157e-08,4.889884959536321e-10,4.8898849595363215e-11,0.06492821813135644,0
2,2,3.6423790194407463e-08,3.5544528096960484e-10,3.554452809696049e-11,0.09758602250684505,0
2,3,1.790569154839121e-08,2.430111134660043e-10,2.430111134660043e-11,0.13571724544078742,0
2,4,8.88446566137514e-09,1.9841783437217767e-10,1.9841783437217765e-11,0.2233311961965155,0
2,5,4.375981213016389e-09,1.798374698692252e-10,1.798374698692252e-11,0.41096490390383145,0
2,6,2.1779268934632813e-09,1.6209075359794332e-10,1.620907535979433e-11,0.7442433172777022,0
2,7,1.068752712540514e-09,1.6054389302370417e-10,1.6054389302370418e-11,1.502161268363736,0
2,8,5.412869206712072e-10,1.37502456734575e-10,1.3750245673457499e-11,2.5402878119439696,0
2,9,2.7724500401456343e-10,1.6690253929437968e-10,1.669025392943797e-11,6.0200377600172175,4
2,10,1.653136826479303e-10,1.5369007863797175e-10,1.5369007863797174e-11,9.29687586509621,17
3,1,5.8899680090707907e-08,6.057313827691001e-10,6.057313827691001e-11,0.10284120080724532,0
3,2,2.467645397914851e-08,3.8414549076520005e-10,3.8414549076520005e-11,0.15567289007156426,0
3,3,1.0544272592213804e-08,2.7442537041769814e-10,2.7442537041769815e-11,0.26026012512265834,0
3,4,4.578820178485986e-09,1.8040868386396903e-10,1.8040868386396902e-11,0.3940069206291089,0
3,5,1.978795959669731e-09,1.5186509502496688e-10,1.518650950249669e-11,0.7674621240398823,0
3,6,8.359055190208632e-10,1.455942677225184e-10,1.455942677225184e-11,1.741755071710258,0
3,7,3.516521079145787e-10,1.5125593916659192e-10,1.512559391665919e-11,4.301294824125842,2
3,8,1.4946581112852357e-10,1.533182615382485e-10,1.533182615382485e-11,10.25774793450338,18
3,9,5.4692312231174554e-11,1.2573985471321749e-10,1.2573985471321748e-11,22.990407533281417,36
3,10,3.7159039025621065e-11,1.3550168694984206e-10,1.3550168694984206e-11,36.465336699480844,39
4,1,4.630734191415227e-08,6.788011496701066e-10,6.788011496701066e-11,0.14658607503935656,0
4,2,1.7395618748079514e-08,4.0024897332890406e-10,4.002489733289041e-11,0.23008608036612194,0
4,3,6.679458968033212e-09,2.4854315477182703e-10,2.4854315477182704e-11,0.3721007284591665,0
4,4,2.608700435563784e-09,1.6070382707880675e-10,1.6070382707880676e-11,0.6160302075622415,0
4,5,1.0295265769246677e-09,1.3687096389580184e-10,1.3687096389580184e-11,1.3294553726301417,0
4,6,4.008496827486071e-10,1.2795793116337372e-10,1.2795793116337371e-11,3.1921674550413086,0
4,7,1.61263891996991e-10,1.2635308208113286e-10,1.2635308208113287e-11,7.835175036175518,12
4,8,8.097688255988442e-11,1.328088123297461e-10,1.3280881232974611e-11,16.400830475479307,31
4,9,3.803340479160339e-11,1.4406279822524988e-10,1.4406279822524987e-11,37.877965176826486,43
4,10,1.6692651161967526e-11,1.2882274770599218e-10,1.2882274770599219e-11,77.17333002171725,42
5,1,3.596831502257407e-08,7.144845209645869e-10,7.144845209645869e-11,0.19864275557978442,0
5,2,1.2272039995824606e-08,4.0546413915780513e-10,4.054641391578051e-11,0.33039668978895015,0
5,3,4.288829363779057e-09,2.0349281865212606e-10,2.0349281865212604e-11,0.47447170636049857,0
5,4,1.4984707850255642e-09,1.4110130852863424e-10,1.4110130852863424e-11,0.94163536545844,0
5,5,5.383882708353218e-10,1.2909198525967838e-10,1.2909198525967838e-11,2.3977488413592143,0
5,6,2.0346047884463905e-10,1.1114053077787216e-10,1.1114053077787216e-11,5.462512002772699,2
5,7,8.214762564216616e-11,1.1216176663791585e-10,1.1216176663791585e-11,13.653683324517601,21
5,8,2.353677414488247e-11,1.0760306426287077e-10,1.0760306426287077e-11,45.716997410312736,40
5,9,-1.2257294695803059e-11,1.2441233394172867e-10,1.2441233394172867e-11,101.50064678164904,50
5,10,-1.851401130807063e-11,1.0979656363096931e-10,1.097965636309693e-11,59.30457846436918,60
6,1,2.7445492886197253e-08,7.16199043463724e-10,7.16199043463724e-11,0.26095324519528346,0
6,2,8.52770353717295e-09,3.612967498382499e-10,3.612967498382499e-11,0.4236741442327681,0
6,3,2.739468471740199e-09,1.806502729854319e-10,1.806502729854319e-11,0.6594354884861187,0
6,4,8.775594166958219e-10,1.1574031342837351e-10,1.157403134283735e-11,1.3188886270989808,0
6,5,2.873819752643327e-10,1.0760376911581066e-10,1.0760376911581066e-11,3.7442768989543334,0
6,6,8.84582024121704e-11,8.959992067833052e-11,8.959992067833052e-12,10.129068671420688,19
6,7,4.042253785058718e-11,9.751526578748925e-11,9.751526578748925e-12,24.123984037799037,31
6,8,-9.669723036152685e-12,1.0937639030389582e-10,1.0937639030389582e-11,113.11222658080769,52
6,9,-1.1756073004684188e-11,9.983024774356144e-11,9.983024774356144e-12,84.91802296888106,55
6,10,-8.790284594050675e-12,9.632508485659443e-11,9.632508485659443e-12,109.58130402488663,58
7,1,2.0606158031747566e-08,7.021530004234894e-10,7.021530004234894e-11,0.3407491097281181,0
7,2,5.857790041883428e-09,3.2057876911245065e-10,3.2057876911245064e-11,0.5472691353228776,0
7,3,1.7280503069137932e-09,1.5061775354283307e-10,1.5061775354283306e-11,0.8716051433237985,0
7,4,5.108622711394089e-10,9.546879405714243e-11,9.546879405714243e-12,1.8687775443704668,0
7,5,1.4244795440315e-10,9.266037475224064e-11,9.266037475224064e-12,6.504858222814298,6
7,6,4.8232044178114884e-11,8.868485864600872e-11,8.868485864600873e-12,18.387124194551383,29
7,7,1.272821121001711e-11,9.921801186831211e-11,9.921801186831211e-12,77.95126136045533,48
7,8,4.74986704502978e-12,7.576475733528525e-11,7.576475733528525e-12,159.50921703074792,46
7,9,9.14556691282586e-12,9.338932653151201e-11,9.3389326531512e-12,102.11431114296654,48
7,10,1.6852570380824735e-11,8.029653432212792e-11,8.029653432212792e-12,47.64646134544038,36
8,1,1.529580421345353e-08,6.745305428041984e-10,6.745305428041984e-11,0.4409905706108021,0
8,2,3.9694437545085966e-09,2.8581567903915707e-10,2.858156790391571e-11,0.7200396244801812,0
8,3,1.0773582690514145e-09,1.3760646891464998e-10,1.3760646891464998e-11,1.2772582052561665,0
8,4,2.9819435088160653e-10,8.849287213843188e-11,8.849287213843188e-12,2.967624030328013,0
8,5,6.307798231876629e-11,8.554918123798895e-11,8.554918123798895e-12,13.562447322056665,19
8,6,2.0923256766050637e-11,7.042860284543481e-11,7.0428602845434815e-12,33.66043997496119,42
8,7,-4.113610604154377e-12,7.763201405479085e-11,7.763201405479085e-12,188.7198899584455,47
8,8,4.941895076641982e-12,6.929492074945219e-11,6.929492074945219e-12,140.21932816213913,44
8,9,3.5680260160483962e-12,7.475844258541772e-11,7.475844258541772e-12,209.52325529344935,46
8,10,8.929843101730084e-12,7.08970524767257e-11,7.089705247672569e-12,79.39339098017295,47
9,1,1.1379164913280934e-08,6.358862576517846e-10,6.358862576517846e-11,0.5588162773786892,0
9,2,2.6749058164017414e-09,2.4126838138542765e-10,2.4126838138542764e-11,0.9019696316260571,0
9,3,6.66207864346224e-10,1.25478036131509e-10,1.2547803613150899e-11,1.883466750345938,0
9,4,1.6311734579804944e-10,7.502806561317226e-11,7.502806561317226e-12,4.59963747240359,3
9,5,3.410244187645297e-11,6.355512370420311e-11,6.355512370420311e-12,18.636531640300692,32
9,6,6.013568010656249e-12,6.432637105300013e-11,6.432637105300013e-12,106.9687262853128,48
9,7,-3.4927505192465565e-12,5.838913837827559e-11,5.838913837827558e-12,167.17237047572203,55
9,8,1.39437308982107e-11,6.324425819804164e-11,6.324425819804164e-12,45.356769045333,37
9,9,1.3887468183297633e-12,5.5132497933553204e-11,5.51324979335532e-12,396.9945940172212,47
9,10,7.2661011886623655e-12,6.044737961311011e-11,6.044737961311011e-12,83.19094111630176,48
10,1,8.699088350692919e-09,6.163254154416743e-10,6.163254154416742e-11,0.7084942589329849,0
10,2,1.84776802632538e-09,2.300185528772699e-10,2.300185528772699e-11,1.2448454005057294,0
10,3,4.218392908534764e-10,1.0900404680735223e-10,1.0900404680735224e-11,2.584018349424312,0
10,4,9.050659515104835e-11,6.309239062229273e-11,6.309239062229273e-12,6.971026864616499,7
10,5,1.483756907831359e-11,5.368770613635703e-11,5.3687706136357035e-12,36.18362674707027,41
10,6,2.061893575758251e-12,5.055548664296167e-11,5.055548664296167e-12,245.18960259318982,48
10,7,-3.6380826600897816e-12,5.651864339434035e-11,5.651864339434035e-12,155.35282915464478,51
10,8,2.99654461419709e-12,5.305774248670586e-11,5.305774248670586e-12,177.06308204232235,50
10,9,-4.8428492104914965e-12,4.640085054380477e-11,4.640085054380477e-12,95.813122661929,54
10,10,-1.5854948114305083e-12,5.7973783922801206e-11,5.7973783922801204e-12,365.65104789270504,57
11,1,7.138297564204931e-09,6.134700222847815e-10,6.134700222847814e-11,0.8594066256932653,0
11,2,1.384044725446252e-09,2.2613475460481222e-10,2.2613475460481223e-11,1.6338688370919554,0
11,3,3.0267241193145286e-10,1.1155376228561504e-10,1.1155376228561504e-11,3.6856270306815726,0
11,4,5.7881183220573813e-11,6.656871343233546e-11,6.656871343233546e-12,11.500924778723887,20
11,5,6.5608673240405215e-12,5.5227218641699625e-11,5.5227218641699625e-12,84.17670395396419,42
11,6,5.5918427370754484e-12,5.1833993469143874e-11,5.183399346914387e-12,92.69572823547111,44
11,7,-2.440577509110748e-12,4.8878736146467453e-11,4.887873614646746e-12,200.2752871564279,55
11,8,-8.067936427971324e-13,4.760940874335602e-11,4.760940874335602e-12,590.1063942236265,53
11,9,4.085880854709813e-12,4.9153611437578256e-11,4.915361143757825e-12,120.30113746689081,45
11,10,-6.988023892223521e-12,4.3801120442176286e-11,4.380112044217628e-12,62.68026715094586,56
12,1,6.630632394381674e-09,6.054090221050985e-10,6.054090221050985e-11,0.9130486899229687,0
12,2,1.2369418557269317e-09,2.3265794561717266e-10,2.3265794561717267e-11,1.8809125468589079,0
12,3,2.6437030182299743e-10,1.2069268487285703e-10,1.2069268487285704e-11,4.5652890676678135,0
12,4,3.5092326218691914e-11,7.657089645952529e-11,7.657089645952529e-12,21.81984060627472,30
12,5,-3.642551603602181e-12,6.451097304559092e-11,6.451097304559092e-12,177.10379993462527,54
