T,R,Ncfg,mean_Re,err_naive,err_gamma,dd_err_gamma,tauint,dtauint,Wopt,Neff,window_note
1,0,100,1.770838120895325e-07,1.2163373251631738e-10,1.285280369137811e-10,3.014249649597832e-11,0.5639264833314142,0.25057820617477666,5,88.66403951207144,auto_window
1,1,100,1.0268488085891266e-07,9.164620311936912e-11,1.0328252091470554e-10,2.4221898190631393e-11,0.6414451342330196,0.28277633829974197,5,77.94898944831087,auto_window
1,2,100,7.52493529076559e-08,1.1151113004301439e-10,1.503022872354177e-10,3.5249010839325554e-11,0.9175496099884662,0.392833427813898,5,54.49296632650578,auto_window
1,3,100,5.8860789932569334e-08,1.4071289251646486e-10,1.90678686905281e-10,4.471811590614837e-11,0.9274090587458999,0.39662721015089397,5,53.91364202072072,auto_window
2,0,100,1.755036122105182e-07,1.3442981513320477e-10,1.3770754575758963e-10,3.229528214340022e-11,0.5299795152099165,0.2363024196107323,5,94.34326906049527,auto_window
2,1,100,6.251070896656365e-08,7.61975729484299e-11,1.0138411115108258e-10,2.37766816369364e-11,0.8941128344845718,0.38377702495335575,5,55.92135362739027,auto_window
2,2,100,3.645865781825306e-08,7.422004450561048e-11,1.1097522039099588e-10,2.6025996133590275e-11,1.1291312345848017,0.472126416068847,5,44.281832322516294,auto_window
2,3,100,2.471902914872294e-08,8.711142611963541e-11,1.0887001820873808e-10,2.553228245892644e-11,0.7888622126827104,0.34244754114185627,5,63.38242496108834,auto_window
3,0,100,1.746977528153415e-07,1.2924290534955836e-10,9.15694911656044e-11,2.1474949224108158e-11,0.2535262816953239,0.11614131351822564,5,197.21821211454392,auto_window
3,1,100,3.839852343344046e-08,5.21946602375017e-11,3.670989465417348e-11,8.609233421369659e-12,0.2498325014762605,0.11448946122721605,5,200.13408865760042,auto_window
3,2,100,1.788649600319711e-08,5.551284512128512e-11,3.333077468050495e-11,7.816759542428207e-12,0.1820701092670379,0.08397305477464151,5,274.61948697282423,auto_window
3,3,100,1.0571344778794116e-08,5.886977762293135e-11,4.3472277475201053e-11,1.0195152769255006e-11,0.2754068927401222,0.12590153862158243,5,181.54955928129476,auto_window
4,0,100,1.745059466232519e-07,1.0722975470301465e-10,7.873334365311389e-11,1.846460579470797e-11,0.27228365748786254,0.12451095915076889,5,183.63202720761464,auto_window
4,1,100,2.3760547499028933e-08,4.554525292678337e-11,4.1297350716496096e-11,9.685087231980435e-12,0.41523404804648173,0.18726578551645992,5,120.41401767323991,auto_window
4,2,100,8.910498077217873e-09,4.8721090671730987e-11,2.4891585361359183e-11,5.8375942132954646e-12,0.13182747142841186,0.06108704964520676,5,379.28361560930193,auto_window
4,3,100,4.622257540181682e-09,4.513928059795664e-11,3.88936988256125e-11,9.121380896473944e-12,0.37495921992224923,0.16977068281070634,5,133.34783449348944,auto_window
