T,R,Ncfg,mean_Re,err_Re_jackknife,mean_Im,err_Im_jackknife
1,0,100,1.7708381208953242e-07,1.2163373251632211e-10,0.0000000000000000e+00,0.0000000000000000e+00
1,1,100,1.0268488085891262e-07,9.1646203119362796e-11,-1.8227484407555616e-11,4.6926008395783740e-11
1,2,100,7.5249352907655883e-08,1.1151113004302246e-10,-2.8226568552098047e-11,7.9422261714534383e-11
1,3,100,5.8860789932569354e-08,1.4071289251646302e-10,-1.8740915065949672e-11,1.0190045915901903e-10
2,0,100,1.7550361221051826e-07,1.3442981513318670e-10,0.0000000000000000e+00,0.0000000000000000e+00
2,1,100,6.2510708966563652e-08,7.6197572948439901e-11,-6.4435579980625395e-11,3.6897755190861205e-11
2,2,100,3.6458657818253066e-08,7.4220044505613829e-11,-4.6485846596644399e-11,4.5213839669104140e-11
2,3,100,2.4719029148722945e-08,8.7111426119633962e-11,-9.0213850932349600e-11,5.4637160205874812e-11
3,0,100,1.7469775281534152e-07,1.2924290534956826e-10,0.0000000000000000e+00,0.0000000000000000e+00
3,1,100,3.8398523433440446e-08,5.2194660237505097e-11,-5.3660426203010342e-11,3.2587512196251488e-11
3,2,100,1.7886496003197107e-08,5.5512845121283921e-11,-5.1206086392275832e-11,3.7664229708292374e-11
3,3,100,1.0571344778794110e-08,5.8869777622931230e-11,-1.7500398409991742e-11,4.3996782328684068e-11
4,0,100,1.7450594662325188e-07,1.0722975470300136e-10,0.0000000000000000e+00,0.0000000000000000e+00
4,1,100,2.3760547499028923e-08,4.5545252926785598e-11,-6.6059822597544847e-11,3.7528747952652298e-11
4,2,100,8.9104980772178726e-09,4.8721090671730735e-11,-7.3699384943060120e-11,4.2100474867506906e-11
4,3,100,4.6222575401816839e-09,4.5139280597956861e-11,-1.6882294397317812e-11,3.7760613144159388e-11
