T,R,Ncfg,mean_Re,err_pyerrors,dd_err_pyerrors,S
1,0,100,1.770838120895325e-07,1.228259815922605e-10,1.5043049102875877e-11,2.0
1,1,100,1.0268488085891266e-07,9.254451560820197e-11,1.1334342086656422e-11,2.0
1,2,100,7.52493529076559e-08,1.583532856574179e-10,3.713713733336872e-11,2.0
1,3,100,5.8860789932569334e-08,2.0089246232826565e-10,4.7113458566711595e-11,2.0
2,0,100,1.755036122105182e-07,1.555349585061562e-10,2.909792631980689e-11,2.0
2,1,100,6.251070896656365e-08,1.0681478911285433e-10,2.5050288511857403e-11,2.0
2,2,100,3.645865781825306e-08,1.1691964971860558e-10,2.742008838365913e-11,2.0
2,3,100,2.471902914872294e-08,1.0086049533087851e-10,1.886927086942301e-11,2.0
3,0,100,1.746977528153415e-07,1.3050973923919952e-10,1.5984113379986322e-11,2.0
3,1,100,3.839852343344046e-08,5.3215521404209856e-11,8.414112725537252e-12,2.0
3,2,100,1.788649600319711e-08,5.659860576384769e-11,8.949025330184641e-12,2.0
3,3,100,1.0571344778794116e-08,6.002119559546976e-11,9.490184298407537e-12,2.0
4,0,100,1.745059466232519e-07,1.0828081655332109e-10,1.3261637474377347e-11,2.0
4,1,100,2.3760547499028933e-08,5.213514704339646e-11,9.753592902273498e-12,2.0
4,2,100,8.910498077217873e-09,4.919865289177155e-11,6.0255797808572176e-12,2.0
4,3,100,4.622257540181682e-09,4.5581734056124035e-11,5.582599501437325e-12,2.0
