cfg,T,R,Nsrc,Re,Im
1,1,0,13824,1.789549333231158e-07,0.0
1,1,1,13824,1.0324741812839347e-07,6.569719381847804e-10
1,1,2,13824,7.485858038690723e-08,1.5169181320364704e-09
1,1,3,13824,5.685939029236223e-08,1.8003593601629062e-09
1,1,4,13824,4.325759786259308e-08,2.2621846185660887e-09
1,2,0,13824,1.7540922112546417e-07,0.0
1,2,1,13824,6.235429307606073e-08,2.934357692500952e-10
1,2,2,13824,3.594153948134855e-08,1.0513975215355008e-09
1,2,3,13824,2.2907342286015158e-08,8.419736747858845e-10
1,2,4,13824,1.5913026805983974e-08,7.99437035778004e-10
1,3,0,13824,1.7421907908679933e-07,0.0
1,3,1,13824,3.810271462443268e-08,3.690489409732698e-11
1,3,2,13824,1.7693509437076497e-08,5.492948758302892e-10
1,3,3,13824,9.901090199148362e-09,8.163412110170921e-10
1,3,4,13824,5.591599109252285e-09,4.903916039406189e-10
1,4,0,13824,1.7339139126983323e-07,0.0
1,4,1,13824,2.3395462059813464e-08,-1.977543600100667e-10
1,4,2,13824,8.935328875525818e-09,-1.0562881595083327e-10
1,4,3,13824,4.07955799219208e-09,3.735606095004056e-10
1,4,4,13824,2.074559445726496e-09,2.350136322064299e-10
1,5,0,13824,1.754795779592616e-07,0.0
1,5,1,13824,1.471440019316579e-08,2.0122761366745359e-10
1,5,2,13824,4.13467281462613e-09,3.018009040801532e-10
1,5,3,13824,2.045080878657333e-09,-5.714159376774306e-10
1,5,4,13824,4.17097109779738e-10,-4.252299763143392e-10
1,6,0,13824,1.7392576246511712e-07,0.0
1,6,1,13824,9.407344864848244e-09,9.577161546925787e-11
1,6,2,13824,2.1945730225588034e-09,-4.476472400312493e-11
1,6,3,13824,7.79552848812054e-10,-8.136040681745314e-10
1,6,4,13824,6.4577356306964e-11,1.244166435453337e-10
1,7,0,13824,1.7256756397301252e-07,0.0
1,7,1,13824,5.653860381453542e-09,-4.393491811104949e-10
1,7,2,13824,1.2653485190273117e-09,-8.021539427451994e-10
1,7,3,13824,2.4819145554307376e-10,-7.808198972619067e-11
1,7,4,13824,2.9633210404620194e-10,1.8155144817243815e-10
1,8,0,13824,1.7447633360198565e-07,0.0
1,8,1,13824,4.125985520945773e-09,8.160547056461687e-10
1,8,2,13824,3.675536077045818e-10,-6.370065249546278e-10
1,8,3,13824,-1.9898948306566485e-10,-2.1749106280808838e-10
1,8,4,13824,-6.959535217797286e-10,1.3409286977194818e-10
2,1,0,13824,1.7906749168647608e-07,0.0
2,1,1,13824,1.0433453836272855e-07,-3.6273150880832194e-10
2,1,2,13824,7.588302403517241e-08,-5.217586015027726e-11
2,1,3,13824,5.8574539970462584e-08,2.1102385990610877e-11
2,1,4,13824,4.538889154703478e-08,4.371327156003778e-10
2,2,0,13824,1.7582070859652906e-07,0.0
2,2,1,13824,6.279412301162802e-08,-1.23272557077127e-10
2,2,2,13824,3.6055679323926425e-08,1.6816982519181263e-10
2,2,3,13824,2.4289277048724418e-08,-2.6798598749245674e-11
2,2,4,13824,1.626933422899634e-08,-5.633946629636082e-11
2,3,0,13824,1.7441791526798048e-07,0.0
2,3,1,13824,3.840617653896407e-08,-3.3216630341310304e-10
2,3,2,13824,1.730796546364324e-08,-3.9695223357256186e-10
2,3,3,13824,1.0163453645878395e-08,3.626928634861308e-10
2,3,4,13824,5.7368169088894295e-09,7.612931609406011e-10
2,4,0,13824,1.7384941139491783e-07,0.0
2,4,1,13824,2.373955927776287e-08,-4.0643068734077303e-10
2,4,2,13824,8.449165446664956e-09,-4.299604481037191e-11
2,4,3,13824,4.012913111743613e-09,-1.1477214754446165e-11
2,4,4,13824,2.033314002456677e-09,9.792419982889967e-11
2,5,0,13824,1.696238840233773e-07,0.0
2,5,1,13824,1.372800541854194e-08,8.722501473286373e-11
2,5,2,13824,4.137841802435229e-09,-6.536655619620391e-11
2,5,3,13824,1.892978573735615e-09,3.8292473737894395e-10
2,5,4,13824,7.256031536578349e-10,3.692874121940452e-11
2,6,0,13824,1.743370698867321e-07,0.0
2,6,1,13824,8.546594227134323e-09,-2.20861664254131e-10
2,6,2,13824,1.647818216474131e-09,-1.6028873091175823e-10
2,6,3,13824,1.176886278608731e-09,-3.2346390711006057e-10
2,6,4,13824,3.1523786966316685e-10,2.9543166575411405e-10
2,7,0,13824,1.7461127184017183e-07,0.0
2,7,1,13824,5.05673452254407e-09,-2.327932827771507e-10
2,7,2,13824,9.692701509811154e-10,3.073494448638231e-11
2,7,3,13824,3.1923957118180134e-10,3.0141444237484254e-10
2,7,4,13824,3.5563736337537444e-10,-1.388206712234045e-10
2,8,0,13824,1.7394695101041588e-07,0.0
2,8,1,13824,3.490493163984276e-09,1.4293364826383713e-11
2,8,2,13824,1.2669393244469281e-10,-3.2125494088765567e-10
2,8,3,13824,5.738646956383608e-10,-1.5946868802082793e-10
2,8,4,13824,4.337054819199334e-10,-2.3246008657899802e-10
3,1,0,13824,1.773130977502642e-07,0.0
3,1,1,13824,1.0282469550931366e-07,-2.0943309745020987e-10
3,1,2,13824,7.50224270139204e-08,-2.3317475445996564e-10
3,1,3,13824,5.786537757631587e-08,-3.88201917410588e-10
3,1,4,13824,4.515334324082352e-08,-2.8921614308000596e-10
3,2,0,13824,1.7462617720009247e-07,0.0
3,2,1,13824,6.228203698889425e-08,1.3052158301244857e-10
3,2,2,13824,3.625323044928528e-08,1.7927546798749993e-10
3,2,3,13824,2.4199421247387906e-08,-2.309313375158898e-10
3,2,4,13824,1.6573550204696337e-08,-4.59841837170196e-10
3,3,0,13824,1.7525558372746036e-07,0.0
3,3,1,13824,3.8556714170983084e-08,1.6444532972161537e-11
3,3,2,13824,1.8042754375936515e-08,1.6033046450982552e-10
3,3,3,13824,9.808061828810875e-09,-2.976869027688617e-10
3,3,4,13824,6.031283005574754e-09,-4.25393022596294e-10
3,4,0,13824,1.7432372764708847e-07,0.0
3,4,1,13824,2.4185301581769265e-08,-7.87204143867932e-11
3,4,2,13824,9.078842207194315e-09,-8.439853852968386e-11
3,4,3,13824,4.494685136014418e-09,-4.1881696465132764e-10
3,4,4,13824,2.2728481846715474e-09,-3.9137445535446784e-10
3,5,0,13824,1.7255052400831536e-07,0.0
3,5,1,13824,1.4758577341099694e-08,5.744294433006517e-11
3,5,2,13824,3.448593494648469e-09,8.155585427104176e-10
3,5,3,13824,1.7109219388486255e-09,-3.6587315957492834e-10
3,5,4,13824,6.230356754693352e-10,-2.804076076546723e-10
3,6,0,13824,1.730972637702499e-07,0.0
3,6,1,13824,8.439867669388334e-09,-3.985354143918689e-10
3,6,2,13824,1.4082187734669921e-09,3.8981976586334933e-10
3,6,3,13824,3.7764361218314336e-10,-4.58194278376784e-10
3,6,4,13824,5.533188064868272e-10,1.3296248993663303e-10
3,7,0,13824,1.7156984191215099e-07,0.0
3,7,1,13824,5.8178462728712165e-09,-3.9318780081962213e-10
3,7,2,13824,5.696995704823764e-10,3.364978238559833e-10
3,7,3,13824,6.797272000049644e-10,2.777654301958864e-10
3,7,4,13824,-2.6382871225896827e-10,1.164560184418378e-10
3,8,0,13824,1.7276507918174534e-07,0.0
3,8,1,13824,3.6911293862225294e-09,-5.967345573596031e-10
3,8,2,13824,2.54024217032725e-10,-1.85559780154681e-10
3,8,3,13824,2.168169032016375e-10,3.1092706747666844e-10
3,8,4,13824,1.6556955272412503e-10,-2.5405642967657385e-11
4,1,0,13824,1.7621817998341567e-07,0.0
4,1,1,13824,1.0266929349602462e-07,2.754630309440035e-10
4,1,2,13824,7.581931460737376e-08,1.1177594763387121e-09
4,1,3,13824,6.027086140440505e-08,1.4688690946267824e-09
4,1,4,13824,4.8152571498405006e-08,1.200754441186097e-09
4,2,0,13824,1.738219929510742e-07,0.0
4,2,1,13824,6.289339624022442e-08,-3.4697719584756094e-10
4,2,2,13824,3.663575532483229e-08,2.772212138906957e-11
4,2,3,13824,2.491805530160194e-08,-1.2014828331156145e-10
4,2,4,13824,1.776407614026129e-08,-4.5692718311939264e-10
4,3,0,13824,1.7283224542137495e-07,0.0
4,3,1,13824,3.8626918824781054e-08,4.705850600996416e-13
4,3,2,13824,1.7783059269487344e-08,2.2584833589467473e-10
4,3,3,13824,1.0461582353149619e-08,4.92125341461363e-10
4,3,4,13824,7.024338482434099e-09,5.4920972545084147e-11
4,4,0,13824,1.7515410690190032e-07,0.0
4,4,1,13824,2.4523689631389928e-08,-2.1448258665904033e-10
4,4,2,13824,8.725471128646674e-09,-3.218742093533771e-11
4,4,3,13824,4.279066249115157e-09,-1.1276841222467682e-10
4,4,4,13824,3.1335275846433105e-09,-2.6567797671191173e-10
4,5,0,13824,1.754050938878668e-07,0.0
4,5,1,13824,1.4748262059785815e-08,1.211271215284616e-10
4,5,2,13824,4.085363860201966e-09,3.757892208025483e-10
4,5,3,13824,1.3997925181667668e-09,-3.994213671996916e-10
4,5,4,13824,1.4690206904461663e-09,2.0102291572383965e-10
4,6,0,13824,1.7402492076771607e-07,0.0
4,6,1,13824,9.522316753398493e-09,1.2982105557564971e-11
4,6,2,13824,1.6628976937278656e-09,1.9216971786726507e-10
4,6,3,13824,7.79687010602447e-10,-4.741543605375344e-10
4,6,4,13824,4.944195591111371e-10,-9.932885620150075e-11
4,7,0,13824,1.759211700821914e-07,0.0
4,7,1,13824,5.794612278054407e-09,-5.896204083113373e-10
4,7,2,13824,8.874088360416832e-10,-1.8018310073699812e-10
4,7,3,13824,6.70601731191788e-10,-1.7264866062706346e-10
4,7,4,13824,-8.777094897698897e-11,-4.203067805180555e-10
4,8,0,13824,1.7370571420593055e-07,0.0
4,8,1,13824,3.0948517955172048e-09,-9.920069108777342e-13
4,8,2,13824,8.019038629648132e-10,-3.589184207220088e-10
4,8,3,13824,4.250222850480073e-10,-2.2508095592207886e-10
4,8,4,13824,3.487846246394829e-10,2.702391626061983e-10
5,1,0,13824,1.7753792643401233e-07,0.0
5,1,1,13824,1.0363241999433577e-07,1.459782492404574e-10
5,1,2,13824,7.607227406263471e-08,6.464784735006729e-11
5,1,3,13824,5.972987802157024e-08,-2.9392988229263335e-10
5,1,4,13824,4.697939412945885e-08,6.274763705286015e-11
5,2,0,13824,1.7844776227615058e-07,0.0
5,2,1,13824,6.446814714301856e-08,-8.69127488284359e-11
5,2,2,13824,3.8323956413834615e-08,4.3454935621440375e-11
5,2,3,13824,2.6670400560578903e-08,2.0650998877146536e-10
5,2,4,13824,1.9274502747830502e-08,7.124544663200481e-10
5,3,0,13824,1.7645810668266715e-07,0.0
5,3,1,13824,3.960460480223301e-08,-1.0559583312209766e-10
5,3,2,13824,1.929107369053497e-08,-1.977620693362767e-10
5,3,3,13824,1.1857451693829666e-08,-6.172906418947559e-10
5,3,4,13824,7.911040154140898e-09,1.8433943391938582e-10
5,4,0,13824,1.7180136884058264e-07,0.0
5,4,1,13824,2.355266834923473e-08,-1.4773068777114035e-10
5,4,2,13824,9.038792616783552e-09,2.733869522234334e-10
5,4,3,13824,4.759778415184731e-09,-1.0885208579466268e-11
5,4,4,13824,3.31020767602718e-09,-7.544875653802718e-11
5,5,0,13824,1.746077126864879e-07,0.0
5,5,1,13824,1.5227967779844876e-08,-5.3477030840437795e-11
5,5,2,13824,5.450560452301925e-09,2.0547585885502674e-10
5,5,3,13824,1.6474911611270068e-09,-3.216644779183481e-10
5,5,4,13824,1.4394834683439896e-09,-6.052889538612352e-10
5,6,0,13824,1.7623099661004506e-07,0.0
5,6,1,13824,9.428705487742196e-09,-1.052872028337498e-10
5,6,2,13824,3.372324546490249e-09,3.35747624742477e-10
5,6,3,13824,6.959756431194841e-10,-2.686747842836469e-10
5,6,4,13824,4.083281805884474e-10,3.267825679665295e-10
5,7,0,13824,1.7422681699593486e-07,0.0
5,7,1,13824,5.503782323063873e-09,9.897110343012386e-11
5,7,2,13824,1.6288301576642245e-09,8.075974286136304e-10
5,7,3,13824,5.290886791275778e-10,3.656017889343784e-10
5,7,4,13824,2.79063749847599e-10,3.835583579948452e-11
5,8,0,13824,1.711479031322806e-07,0.0
5,8,1,13824,3.069104913372883e-09,-3.759381651064514e-10
5,8,2,13824,5.906082306905051e-10,3.7486932188589543e-10
5,8,3,13824,-5.879245414581922e-10,-3.073685244524287e-10
5,8,4,13824,-3.4327140055581034e-10,-1.0008598377075641e-10
6,1,0,13824,1.773613261738441e-07,0.0
6,1,1,13824,1.0362962898296658e-07,1.1762282981154442e-10
6,1,2,13824,7.65883991531647e-08,-3.9662347468250305e-10
6,1,3,13824,6.088093575366301e-08,-5.215229657563827e-10
6,1,4,13824,4.932850676813369e-08,-5.932506178717795e-10
6,2,0,13824,1.7545258521078164e-07,0.0
6,2,1,13824,6.295476413311734e-08,-1.7957624517723196e-10
6,2,2,13824,3.732726520129327e-08,-4.678818953095704e-10
6,2,3,13824,2.5599588891585814e-08,-6.657236820084213e-10
6,2,4,13824,1.8424745121717006e-08,-3.715107992828402e-10
6,3,0,13824,1.7232054262145733e-07,0.0
6,3,1,13824,3.780801060251928e-08,-2.5392753047594073e-10
6,3,2,13824,1.7453503732899052e-08,1.0170884799768913e-10
6,3,3,13824,1.0113513103569292e-08,-1.1419930074407988e-09
6,3,4,13824,5.667185933282323e-09,-5.357401383514605e-10
6,4,0,13824,1.7501756346976205e-07,0.0
6,4,1,13824,2.3806799155392576e-08,1.799570169533235e-10
6,4,2,13824,8.50938301068553e-09,-4.8589819888642015e-11
6,4,3,13824,5.3037696535504445e-09,-2.6665128806203635e-10
6,4,4,13824,2.3652582102743326e-09,4.0710114740724763e-10
6,5,0,13824,1.7356722816518745e-07,0.0
6,5,1,13824,1.4256889177473646e-08,5.902844405856818e-10
6,5,2,13824,4.326586799514965e-09,4.3156607440519146e-10
6,5,3,13824,2.1784084814988843e-09,-4.316031353135679e-10
6,5,4,13824,4.1837300292777145e-10,1.4197471715213424e-10
6,6,0,13824,1.7520230018899892e-07,0.0
6,6,1,13824,8.801097933408083e-09,-5.987069443269115e-10
6,6,2,13824,2.194088847214321e-09,5.415531455009847e-10
6,6,3,13824,1.2620217087189486e-09,9.115318491614378e-11
6,6,4,13824,-7.84641902583797e-11,-4.0132352714167545e-10
6,7,0,13824,1.7466922006640245e-07,0.0
6,7,1,13824,5.96403679354041e-09,-4.784478350206036e-10
6,7,2,13824,9.449975765338644e-10,3.477969512970408e-10
6,7,3,13824,5.099443446720338e-10,3.4303749370115014e-10
6,7,4,13824,6.518264429965236e-11,-1.7509677565883178e-10
6,8,0,13824,1.7612772248771477e-07,0.0
6,8,1,13824,3.406362733185721e-09,-6.148504136524474e-11
6,8,2,13824,7.581062074871809e-10,1.8961151744418492e-10
6,8,3,13824,1.7147140744577492e-10,5.792412404370236e-10
6,8,4,13824,-2.476381337995281e-10,3.785211692656829e-11
7,1,0,13824,1.7512793025372916e-07,0.0
7,1,1,13824,1.014144574180996e-07,-6.579011745558325e-10
