T,R,Ncfg,mean_Re,err_Re_jackknife,relative_err_Re_percent,snr_Re,n_nonpositive_Re,mean_Im,err_Im_jackknife
1,0,100,1.770838120895325e-07,1.2163373251631798e-10,0.06868709854451331,1455.8774809099566,0,0.0,0.0
1,1,100,1.0268488085891266e-07,9.16462031193699e-11,0.08924994833980504,1120.4488278163012,0,-1.8227484407555594e-11,4.692600839578369e-11
1,2,100,7.524935290765591e-08,1.115111300430096e-10,0.14818882254024593,674.8147281677838,0,-2.8226568552098047e-11,7.942226171453428e-11
1,3,100,5.886078993256935e-08,1.4071289251646215e-10,0.23906048946618316,418.3041715646856,0,-1.8740915065949682e-11,1.0190045915901916e-10
1,4,100,4.627384159111621e-08,1.6355271236822925e-10,0.3534452873254175,282.92922154010745,0,-8.673721740213281e-12,1.1575885112929423e-10
2,0,100,1.755036122105182e-07,1.344298151332027e-10,0.07659660871934243,1305.540828398943,0,0.0,0.0
2,1,100,6.251070896656365e-08,7.619757294842574e-11,0.12189523076627247,820.3766412464867,0,-6.44355799806254e-11,3.689775519086125e-11
2,2,100,3.645865781825306e-08,7.422004450561108e-11,0.20357316738207717,491.2238743739471,0,-4.64858465966444e-11,4.52138396691042e-11
2,3,100,2.471902914872294e-08,8.711142611963366e-11,0.3524063408620322,283.7633390914217,0,-9.02138509323496e-11,5.463716020587478e-11
2,4,100,1.746444255226252e-08,8.082411543022876e-11,0.46279241486444117,216.07960024429417,0,-1.0881806994973761e-10,6.337806921992835e-11
3,0,100,1.746977528153415e-07,1.2924290534955394e-10,0.07398086310026317,1351.700910335071,0,0.0,0.0
3,1,100,3.839852343344046e-08,5.219466023750153e-11,0.13592882113807092,735.6791529768665,0,-5.366042620301031e-11,3.2587512196251456e-11
3,2,100,1.788649600319711e-08,5.551284512128465e-11,0.3103617673990593,322.20463505551976,0,-5.120608639227581e-11,3.766422970829239e-11
3,3,100,1.0571344778794116e-08,5.88697776229307e-11,0.5568806888317763,179.57167846811114,0,-1.750039840999175e-11,4.399678232868403e-11
3,4,100,6.727638102141041e-09,5.939987005675697e-11,0.882923087641311,113.26014847697037,0,-5.552766736393416e-12,4.27273894534955e-11
4,0,100,1.745059466232519e-07,1.0722975470301192e-10,0.06144762214580267,1627.402273805167,0,0.0,0.0
4,1,100,2.3760547499028933e-08,4.554525292678456e-11,0.19168435798310599,521.6909770426519,0,-6.605982259754486e-11,3.752874795265231e-11
4,2,100,8.910498077217873e-09,4.872109067173121e-11,0.5467830221107395,182.88790243334785,0,-7.369938494306008e-11,4.2100474867506964e-11
4,3,100,4.622257540181683e-09,4.513928059795689e-11,0.9765635126463041,102.39989381644902,0,-1.6882294397317806e-11,3.776061314415939e-11
4,4,100,2.67959607014658e-09,3.871082775702783e-11,1.4446516095580877,69.220841439127,0,-7.525713282534288e-11,3.275338138862704e-11
5,0,100,1.743684936722667e-07,1.2121361775485592e-10,0.06951577960103404,1438.5223121127524,0,0.0,0.0
5,1,100,1.4649287351074353e-08,4.339764100985812e-11,0.29624404225148476,337.559531121672,0,-2.6601378851165872e-11,3.460096501981186e-11
5,2,100,4.440895272776571e-09,4.137401124980437e-11,0.9316592423026492,107.33538128473268,0,-5.2641286385699254e-11,3.916183998826589e-11
5,3,100,1.969429321222574e-09,3.270626970163138e-11,1.6606978148029259,60.21565098034825,0,-1.6424792883785707e-11,3.171003495950985e-11
5,4,100,1.0431964695336102e-09,3.541418797010106e-11,3.3947764399484543,29.457020740228295,0,5.988720384344187e-12,3.244869047863689e-11
6,0,100,1.7437238037543658e-07,1.242236168688085e-10,0.07124042041597753,1403.6974994826446,0,0.0,0.0
6,1,100,9.038517282010047e-09,4.1118515463876036e-11,0.45492545050189714,219.81623558250007,0,2.3701811872889002e-11,3.488292307212805e-11
6,2,100,2.2041116078464474e-09,4.117269455379725e-11,1.867994996588467,53.533333966434995,0,-3.372714480069292e-11,3.9442323073139147e-11
6,3,100,8.563265772918383e-10,3.4660201392462504e-11,4.047544746547113,24.706335880612116,0,-5.902144307629656e-11,3.3838668412727553e-11
6,4,100,4.243391659189081e-10,3.112399398853803e-11,7.33469745153948,13.63382752468011,8,3.924460530968507e-11,3.096647939874271e-11
7,0,100,1.742167146238744e-07,1.275225227176593e-10,0.07319763949915734,1366.1642736600982,0,0.0,0.0
7,1,100,5.619567310140224e-09,4.517617247406768e-11,0.8039083790766163,124.39228474625655,0,1.822636230149698e-11,3.5470330830653606e-11
7,2,100,1.0336362420789007e-09,3.523683777120155e-11,3.4090172477245444,29.333967162163272,0,-2.5805920914386904e-11,3.852213490253286e-11
7,3,100,4.170914216363998e-10,3.654591444370976e-11,8.76208729019815,11.412805726309827,14,1.750034406028444e-11,3.394514430709471e-11
7,4,100,1.951680280320038e-10,2.9386656501689536e-11,15.057105816978737,6.641382561530365,26,1.3971895730717829e-11,2.931307507863244e-11
8,0,100,1.741801969524671e-07,1.210577310628337e-10,0.06950143195432817,1438.8192759210128,0,0.0,0.0
8,1,100,3.5161162100711135e-09,3.978094583172865e-11,1.1313888237762222,88.38694346142758,0,1.7351780347444108e-11,3.6157203994407984e-11
8,2,100,5.513666609091507e-10,3.778316344946356e-11,6.852638385346467,14.592919453306893,6,-1.661750054078032e-11,3.360543266236834e-11
8,3,100,9.231792141757675e-11,3.5004118719069555e-11,37.91692683453875,2.6373445410377885,41,-1.0022933061082328e-11,3.7259643664870745e-11
8,4,100,6.158452999104692e-11,3.4433857061557134e-11,55.91316044234337,1.788487705021042,42,-2.734117175808582e-11,3.133983292941864e-11
