cfg,T,R,Nsrc,Re,Im
1,1,0,82944,1.7733856386768438e-07,0.0
1,1,1,82944,1.0213503443225951e-07,1.6557209083842555e-10
1,1,2,82944,7.42655074751914e-08,3.2353354609349776e-10
1,1,3,82944,5.7495713355440355e-08,4.245197656088901e-10
1,1,4,82944,4.4711177439613874e-08,5.885693754470927e-10
1,1,5,82944,3.42997758907032e-08,5.208625548790572e-10
1,1,6,82944,2.5835931634047173e-08,4.840597749469667e-10
1,2,0,82944,1.7496065774595095e-07,0.0
1,2,1,82944,6.200803244155784e-08,-3.547825086409415e-11
1,2,2,82944,3.5982335637131964e-08,3.075976596001126e-11
1,2,3,82944,2.4133657273276694e-08,8.827534085400908e-11
1,2,4,82944,1.7011344844128454e-08,-6.267467144546813e-11
1,2,5,82944,1.196083487920624e-08,-1.9913467886209093e-10
1,2,6,82944,8.133245862445022e-09,-3.1166665231153026e-10
1,3,0,82944,1.7493946904894089e-07,0.0
1,3,1,82944,3.8212965965778355e-08,7.888210185823582e-11
1,3,2,82944,1.773966700894341e-08,3.777952068922185e-10
1,3,3,82944,1.0402720097582587e-08,3.650461253685659e-10
1,3,4,82944,6.439780595243654e-09,1.3380355049398586e-10
1,3,5,82944,3.95631931522562e-09,-1.1564359745034299e-10
1,3,6,82944,2.541891573856818e-09,9.457619803951246e-12
1,4,0,82944,1.74653567437555e-07,0.0
1,4,1,82944,2.3796914452859704e-08,3.8049800200177425e-11
1,4,2,82944,8.793932647004394e-09,5.906538120591441e-11
1,4,3,82944,4.27144783699721e-09,1.1692618443759162e-10
1,4,4,82944,2.5208770104705568e-09,-7.94801480852777e-11
1,4,5,82944,1.3627250751247399e-09,-1.6677357464108583e-10
1,4,6,82944,6.588476763465547e-10,3.222440192399501e-11
1,5,0,82944,1.7407550577847707e-07,0.0
1,5,1,82944,1.4622657110524202e-08,1.0944446079413821e-10
1,5,2,82944,4.2490877110787115e-09,2.908939173960154e-10
1,5,3,82944,1.900711950403035e-09,-1.4238091821492753e-10
