T,R,Ncfg,mean_Re,err_Re_jackknife,relative_err_Re_percent,snr_Re,n_nonpositive_Re,mean_Im,err_Im_jackknife
1,0,100,1.770782651891042e-07,5.882757406197396e-11,0.03322122791250028,3010.123534969416,0,0.0,0.0
1,1,100,1.0270740311016853e-07,4.185184159949925e-11,0.04074861240003031,2454.0712949510303,0,-4.156214826808248e-11,2.44283832668364e-11
1,2,100,7.531216935052158e-08,4.8898849595364766e-11,0.06492821813135849,1540.162395919854,0,-5.781660482819572e-11,4.0041313504691093e-11
1,3,100,5.8899680090707907e-08,6.057313827691084e-11,0.10284120080724672,972.372932395335,0,-6.346176157827973e-11,5.234566731132052e-11
1,4,100,4.630734191415227e-08,6.788011496700061e-11,0.14658607503933485,682.1930389579368,0,-7.07848141725947e-11,5.781677845893539e-11
1,5,100,3.596831502257407e-08,7.144845209646058e-11,0.19864275557978966,503.4162947857043,0,-8.930394976485197e-11,5.871278857622245e-11
1,6,100,2.7445492886197253e-08,7.161990434637289e-11,0.2609532451952853,383.2104096853237,0,-8.715309240029142e-11,5.674344375313585e-11
2,0,100,1.7535384980391588e-07,5.330224256556004e-11,0.030396961700677606,3289.802480416022,0,0.0,0.0
2,1,100,6.243390794210993e-08,2.9494312506278764e-11,0.04724085593621102,2116.8117727381837,0,-1.5447878979747655e-11,1.6463886426394285e-11
2,2,100,3.642379019440747e-08,3.554452809696201e-11,0.09758602250684921,1024.7369185784917,0,-7.241719609311363e-12,1.948391341499934e-11
2,3,100,2.4676453979148512e-08,3.841454907652211e-11,0.15567289007157278,642.3726054936322,0,1.0102313178575867e-11,2.3751407099999215e-11
2,4,100,1.7395618748079514e-08,4.002489733288902e-11,0.23008608036611394,434.6199467646177,0,-3.4946979533565827e-12,2.343457094673397e-11
2,5,100,1.2272039995824606e-08,4.054641391578104e-11,0.3303966897889544,302.6664706110597,0,-1.1676429421781027e-13,2.389619963570135e-11
2,6,100,8.52770353717295e-09,3.6129674983825325e-11,0.42367414423277205,236.03045255709233,0,-2.115246242343886e-12,2.4067727880593995e-11
3,0,100,1.747591970911623e-07,5.1246923208917884e-11,0.029324306853038,3410.140280592515,0,0.0,0.0
3,1,100,3.841273188214736e-08,2.4080589164867436e-11,0.06268908246033679,1595.174088937571,0,-6.524918482876675e-12,1.329877266799713e-11
3,2,100,1.790569154839121e-08,2.4301111346600378e-11,0.13571724544078712,736.8260361843962,0,5.368594608631252e-12,1.8165706568922763e-11
3,3,100,1.0544272592213806e-08,2.7442537041770917e-11,0.2602601251226687,384.2309687389372,0,3.2015360530687034e-11,1.9757459665663253e-11
3,4,100,6.679458968033213e-09,2.4854315477182452e-11,0.37210072845916264,268.744434911728,0,2.4144134525409155e-11,1.828383979285761e-11
3,5,100,4.288829363779057e-09,2.0349281865212992e-11,0.47447170636050756,210.76072326221947,0,1.6563257487345512e-11,1.629020848723512e-11
3,6,100,2.739468471740199e-09,1.80650272985429e-11,0.6594354884861081,151.6448564659053,0,7.231544046467699e-12,1.5493830394278525e-11
4,0,100,1.7457494389904367e-07,5.3391110580870295e-11,0.03058349004067059,3269.7380144325525,0,0.0,0.0
4,1,100,2.3765422844984144e-08,2.115933088260393e-11,0.08903410227800661,1123.1651405632492,0,-3.055091780260735e-12,1.4372724412118778e-11
4,2,100,8.88446566137514e-09,1.9841783437217675e-11,0.22333119619651448,447.76547881831783,0,4.899935130276041e-12,1.504862895488429e-11
4,3,100,4.578820178485987e-09,1.8040868386396647e-11,0.3940069206291033,253.80264854315737,0,-1.306246159041698e-11,1.6436827309602198e-11
4,4,100,2.6087004355637843e-09,1.6070382707880673e-11,0.6160302075622412,162.32970197309098,0,-3.200208648467908e-11,1.4470222779601473e-11
4,5,100,1.4984707850255644e-09,1.4110130852863315e-11,0.9416353654584325,106.19822031781409,0,-4.415806218073609e-12,1.3088684225195781e-11
4,6,100,8.775594166958219e-10,1.1574031342837257e-11,1.3188886270989701,75.821413533575,0,4.34652835158401e-12,1.1533966588362105e-11
5,0,100,1.7446714580069947e-07,4.947634744100219e-11,0.02835854694242601,3526.2737615936967,0,0.0,0.0
5,1,100,1.4693056903059916e-08,2.0046016728905086e-11,0.13643190019042523,732.966409325273,0,-5.607655767053023e-12,1.6584589574251285e-11
5,2,100,4.37598121301639e-09,1.798374698692246e-11,0.41096490390383,243.32978084036353,0,1.277630517990569e-11,1.3870383447717758e-11
5,3,100,1.978795959669731e-09,1.5186509502496773e-11,0.7674621240398866,130.29958986588738,0,-7.345590006931334e-12,1.4148458621746748e-11
5,4,100,1.029526576924668e-09,1.3687096389580209e-11,1.329455372630144,75.21877158024779,0,8.164326493684189e-12,1.334602036808884e-11
5,5,100,5.383882708353218e-10,1.29091985259679e-11,2.3977488413592263,41.70578597519514,0,3.3013334068578915e-12,1.2104578735116204e-11
5,6,100,2.8738197526433275e-10,1.0760376911581055e-11,3.7442768989543294,26.7074264801108,0,-7.446609245549797e-12,1.0486200760781958e-11
6,0,100,1.7441779117943835e-07,4.890759029403307e-11,0.02804048254671319,3566.272436054124,0,0.0,0.0
6,1,100,9.086065516561531e-09,1.6900364503104785e-11,0.18600311072267553,537.6254171850743,0,1.9064015029480973e-11,1.548345287424666e-11
6,2,100,2.1779268934632813e-09,1.6209075359794438e-11,0.744243317277707,134.3646596193567,0,-3.967306786861461e-12,1.4827655613434614e-11
6,3,100,8.35905519020863e-10,1.455942677225184e-11,1.7417550717102583,57.413353705241875,0,-1.1096604881080635e-11,1.609414813436529e-11
6,4,100,4.00849682748607e-10,1.2795793116337347e-11,3.1921674550413033,31.326677377802568,0,7.887678104943388e-12,1.284761057788973e-11
6,5,100,2.0346047884463905e-10,1.1114053077787218e-11,5.4625120027727,18.306595930451284,2,1.607417700380121e-11,1.254194711877539e-11
6,6,100,8.84582024121704e-11,8.959992067833047e-12,10.129068671420683,9.872575973559295,19,3.705979420150413e-12,1.059575432751853e-11
7,0,100,1.7442288135595095e-07,4.881114307281229e-11,0.02798436919133428,3573.4234106290405,0,0.0,0.0
7,1,100,5.634415272271378e-09,1.5311622831644007e-11,0.27175176290247943,367.9828934021889,0,-2.6342381217955035e-12,1.500547358594143e-11
7,2,100,1.068752712540514e-09,1.605438930237049e-11,1.5021612683637426,66.57074849821343,0,4.210341064622806e-12,1.5451121239316812e-11
7,3,100,3.5165210791457863e-10,1.5125593916659175e-11,4.301294824125837,23.248813226915512,2,2.2063501540097494e-11,1.7497175742119777e-11
7,4,100,1.61263891996991e-10,1.2635308208113301e-11,7.835175036175527,12.762956735273088,12,3.3662791094577638e-12,1.3702472707454297e-11
7,5,100,8.214762564216616e-11,1.1216176663791582e-11,13.653683324517596,7.3240310049107675,21,1.4110915287330936e-11,1.0568649634317251e-11
7,6,100,4.042253785058718e-11,9.751526578748922e-12,24.123984037799026,4.145252286824328,31,-3.71051023855764e-12,1.0557655964614127e-11
8,0,100,1.7431944169694898e-07,4.6296653196528334e-11,0.026558513924691305,3765.270914011139,0,0.0,0.0
8,1,100,3.496545534635435e-09,1.4261545586103366e-11,0.40787529991627397,245.17297326052193,0,4.261205590435944e-12,1.606186462095282e-11
8,2,100,5.412869206712071e-10,1.3750245673457523e-11,2.5402878119439745,39.365618151540964,0,-2.8370944091209524e-12,1.512403798515065e-11
8,3,100,1.494658111285236e-10,1.5331826153824834e-11,10.257747934503367,9.748728535591718,18,1.7514585034220953e-11,1.53224311265199e-11
8,4,100,8.097688255988442e-11,1.3280881232974611e-11,16.400830475479307,6.097252218386676,31,9.102358344641738e-13,1.1000080693676665e-11
8,5,100,2.3536774144882464e-11,1.0760306426287072e-11,45.71699741031273,2.1873702488047093,40,7.02589667173154e-12,1.210271399275508e-11
8,6,100,-9.669723036152682e-12,1.0937639030389584e-11,113.11222658080774,0.8840777254840764,52,-1.2766540886371942e-11,9.968045848128328e-12
