T,R,Ncfg,mean_Re,err_pyerrors,dd_err_pyerrors,relative_err_Re_percent,snr_Re,n_nonpositive_Re,S
1,0,100,1.770782651891042e-07,6.09499986961039e-11,9.63704096319906e-12,0.034419807891733406,2905.3038388403374,0,2.0
1,1,100,1.0270740311016853e-07,4.226207170953877e-11,5.176025558064117e-12,0.04114802870072237,2430.2500789848154,0,2.0
1,2,100,7.531216935052158e-08,4.937815420140221e-11,6.04756411169504e-12,0.06556464197915211,1525.2123245300027,0,2.0
1,3,100,5.8899680090707907e-08,7.7047885473003e-11,1.6344324688213472e-11,0.13081206104064763,764.4555036016649,0,2.0
1,4,100,4.630734191415227e-08,8.927755417172336e-11,1.8938629188772482e-11,0.19279351930247307,518.689634183763,0,2.0
1,5,100,3.596831502257407e-08,9.400414016759825e-11,1.9941289491635833e-11,0.26135263803322545,382.62479672115313,0,2.0
1,6,100,2.7445492886197253e-08,9.085766587590057e-11,1.9273821499089262e-11,0.3310476742124542,302.0712960388409,0,2.0
2,0,100,1.7535384980391588e-07,5.4344766633863387e-11,8.592662073666506e-12,0.030991487608987643,3226.6924796149397,0,2.0
2,1,100,6.243390794210993e-08,3.095501608291292e-11,4.894417791457421e-12,0.04958045572225766,2016.9237765821504,0,2.0
2,2,100,3.642379019440747e-08,4.029514507640908e-11,7.538531361313683e-12,0.11062864370055595,903.9250293140623,0,2.0
2,3,100,2.4676453979148512e-08,4.9921650628600646e-11,1.0589981306252756e-11,0.2023047990233289,494.30364718371527,0,2.0
2,4,100,1.7395618748079514e-08,6.169116080329257e-11,1.4467859643678246e-11,0.3546361971752417,281.9791121056532,0,2.0
2,5,100,1.2272039995824606e-08,7.046891676396623e-11,1.7966119084060478e-11,0.5742233303341768,174.14827074651197,0,2.0
2,6,100,8.52770353717295e-09,6.197905358314817e-11,1.5801620182724266e-11,0.7267965321845027,137.59008962169105,0,2.0
3,0,100,1.747591970911623e-07,5.224924784478586e-11,8.261331461008359e-12,0.02989785299684702,3344.721776862902,0,2.0
3,1,100,3.841273188214736e-08,2.455157486030252e-11,3.881944835134313e-12,0.0639152011776415,1564.5730304762228,0,2.0
3,2,100,1.790569154839121e-08,2.7720112335188308e-11,5.18595815405804e-12,0.15481173826921474,645.9458508637236,0,2.0
3,3,100,1.0544272592213806e-08,3.802512690918227e-11,8.066347527888555e-12,0.360623519324236,277.2974990299792,0,2.0
3,4,100,6.679458968033213e-09,2.9062328382440566e-11,5.437063783450436e-12,0.4351000361186148,229.83220339871104,0,2.0
3,5,100,4.288829363779057e-09,2.5671934316894643e-11,5.445839652495552e-12,0.5985767243086139,167.06296108574054,0,2.0
3,6,100,2.739468471740199e-09,2.6813294644945173e-11,6.288274988772001e-12,0.978777267252596,102.16829032073616,0,2.0
4,0,100,1.7457494389904367e-07,5.391444815292186e-11,6.603144386919879e-12,0.030883268210643376,3237.9992725490356,0,2.0
4,1,100,2.3765422844984144e-08,2.823568873565282e-11,5.989694092935817e-12,0.11880995730573402,841.6802957236126,0,2.0
4,2,100,8.88446566137514e-09,2.1206904562637548e-11,3.96744855537014e-12,0.23869645481138743,418.94212496376514,0,2.0
4,3,100,4.578820178485987e-09,2.1624245585416654e-11,4.045525911404401e-12,0.4722667574284788,211.74473626834563,0,2.0
4,4,100,2.6087004355637843e-09,2.194500125066029e-11,4.655237759246747e-12,0.8412235054469797,118.87447194769663,0,2.0
4,5,100,1.4984707850255644e-09,1.5126841063682812e-11,2.8299728302242093e-12,1.009485217519589,99.06039064713644,0,2.0
4,6,100,8.775594166958219e-10,1.6340982352497425e-11,3.832300057857523e-12,1.8620941262329942,53.702978056377546,0,2.0
5,0,100,1.7446714580069947e-07,5.0922195133343464e-11,9.526670378570932e-12,0.029187268983877256,3426.151314644716,0,2.0
5,1,100,1.4693056903059916e-08,2.0910528369023724e-11,3.306244836184043e-12,0.14231571079445682,702.6631103605112,0,2.0
5,2,100,4.37598121301639e-09,1.8160022969609128e-11,2.224139499638223e-12,0.41499316577484385,240.96782368280105,0,2.0
5,3,100,1.978795959669731e-09,1.5335367073061865e-11,1.878191217363996e-12,0.7749847576817067,129.03479585732822,0,2.0
5,4,100,1.029526576924668e-09,1.3821256771615921e-11,1.6927513347222873e-12,1.342486642054627,74.48863688278762,0,2.0
5,5,100,5.383882708353218e-10,1.6353958755740284e-11,3.4691985406287204e-12,3.0375770873252383,32.920975213193934,0,2.0
5,6,100,2.8738197526433275e-10,1.4581576384326574e-11,3.0932194625240817e-12,5.07393561162439,19.708567008792926,0,2.0
6,0,100,1.7441779117943835e-07,4.986416055356236e-11,7.884216048078978e-12,0.02858891872003062,3497.858767562823,0,2.0
6,1,100,9.086065516561531e-09,1.706602121317233e-11,2.0901521955892876e-12,0.18782630591938193,532.4067867411587,0,2.0
6,2,100,2.1779268934632813e-09,1.652610425715214e-11,2.6130065151002883e-12,0.7587997699441955,131.78707211173023,0,2.0
6,3,100,8.35905519020863e-10,1.4984897015902446e-11,2.803417530479909e-12,1.7926543939385624,55.78320078768467,0,2.0
6,4,100,4.00849682748607e-10,1.2921216978643548e-11,1.5825194226731608e-12,3.2234569552465113,31.022595117096134,0,2.0
6,5,100,2.0346047884463905e-10,1.3279731381372127e-11,2.4844102508742375e-12,6.526934103754092,15.321129095279677,2,2.0
6,6,100,8.84582024121704e-11,1.0521932965305907e-11,1.9684734101388545e-12,11.894807579605825,8.407029649765368,19,2.0
7,0,100,1.7442288135595095e-07,5.6699402126634546e-11,1.0607486839639414e-11,0.03250686015840208,3076.2737315358004,0,2.0
7,1,100,5.634415272271378e-09,1.5611098699040744e-11,2.4683314333330097e-12,0.2770668817378011,360.9236851867189,0,2.0
7,2,100,1.068752712540514e-09,1.6211753796697804e-11,1.9855262318768756e-12,1.5168853942050935,65.92455856060495,0,2.0
7,3,100,3.5165210791457863e-10,2.6430543312786457e-11,6.738492805337872e-12,7.516105468421312,13.304762741841097,2,2.0
7,4,100,1.61263891996991e-10,1.5841381279338068e-11,3.360464437794472e-12,9.823266128063963,10.179913553834329,12,2.0
7,5,100,8.214762564216616e-11,1.1326117187578657e-11,1.3871603938267088e-12,13.787516192999973,7.25293799116412,21,2.0
7,6,100,4.042253785058718e-11,9.847110659842452e-12,1.206019827866749e-12,24.36044638325303,4.105015089901906,31,2.0
8,0,100,1.7431944169694898e-07,4.6750451175507985e-11,5.7257375312446296e-12,0.026818839436614738,3728.7221259646985,0,2.0
8,1,100,3.496545534635435e-09,1.4401336696634744e-11,1.7637963260386892e-12,0.41187327761016246,242.79312457519973,0,2.0
8,2,100,5.412869206712071e-10,1.4152069211461854e-11,2.647609715160116e-12,2.61452266275213,38.247899482629386,0,2.0
8,3,100,1.494658111285236e-10,1.548210811250737e-11,1.8961632509123517e-12,10.35829397747323,9.654099431573933,18,2.0
8,4,100,8.097688255988442e-11,1.594823501414212e-11,2.983641567333584e-12,19.694799935460594,5.07748239777493,31,2.0
8,5,100,2.3536774144882464e-11,1.1459579079127111e-11,1.8119185458428297e-12,48.68797656206739,2.053895172096957,40,2.0
8,6,100,-9.669723036152682e-12,1.104484933921762e-11,1.352712258349956e-12,114.22094818976389,0.8754961465900497,52,2.0
