cfg,R,Nsrc,Re,Im
100,0,13824,+1.7451289033057800e-07,+0.0000000000000000e+00
100,1,13824,+1.0153512176623629e-07,+1.2788968760770188e-10
100,2,13824,+7.3418297972866158e-08,+1.5545270066869089e-10
100,3,13824,+5.6920284362402352e-08,+3.9042266075918734e-10
10,0,13824,+1.7704798348452852e-07,+0.0000000000000000e+00
10,1,13824,+1.0251729959583122e-07,-5.2102935094990765e-10
10,2,13824,+7.5293323834590528e-08,-1.2623755834846422e-09
10,3,13824,+5.9615139187677563e-08,-1.6237783364317300e-09
11,0,13824,+1.7533332919007822e-07,+0.0000000000000000e+00
11,1,13824,+1.0109587382507463e-07,-5.0316320482211125e-10
11,2,13824,+7.4577575515174823e-08,-9.8204824039774168e-10
11,3,13824,+5.8199656564934919e-08,-1.2167560761149196e-09
12,0,13824,+1.7695308433149484e-07,+0.0000000000000000e+00
12,1,13824,+1.0286359900317729e-07,-3.1687042564806199e-10
12,2,13824,+7.6049824579978474e-08,-6.8219641210204907e-10
12,3,13824,+5.9679832166333092e-08,-6.4423299820763515e-10
13,0,13824,+1.7769182941069778e-07,+0.0000000000000000e+00
13,1,13824,+1.0295327844581359e-07,+1.1615367194373329e-09
13,2,13824,+7.6200305953137008e-08,+1.6045702340982382e-09
13,3,13824,+5.9634592611667644e-08,+2.0329363253037323e-09
14,0,13824,+1.7672501578158731e-07,+0.0000000000000000e+00
14,1,13824,+1.0267615642969985e-07,+1.9491397759502191e-11
14,2,13824,+7.5271160383155391e-08,+4.1767357212819291e-11
14,3,13824,+5.8744124141460795e-08,+4.2124876804036934e-10
15,0,13824,+1.7796344562278062e-07,+0.0000000000000000e+00
15,1,13824,+1.0297530624092806e-07,-1.4331409572074626e-10
15,2,13824,+7.5444797401806784e-08,-6.8687256073963953e-10
15,3,13824,+5.9273630416370665e-08,-6.8343766226700095e-10
16,0,13824,+1.7803120231147763e-07,+0.0000000000000000e+00
16,1,13824,+1.0415101421934961e-07,+6.5535270806604903e-10
16,2,13824,+7.7065170993540428e-08,+5.8742938980829684e-10
16,3,13824,+6.0934982329092004e-08,+7.0261291403501004e-10
17,0,13824,+1.7845102836543882e-07,+0.0000000000000000e+00
17,1,13824,+1.0363025944274897e-07,-6.8077075021074944e-10
17,2,13824,+7.5852613760709196e-08,-1.0597649176499235e-09
17,3,13824,+5.9844698244005966e-08,-1.4238587121963055e-09
18,0,13824,+1.7690191171901834e-07,+0.0000000000000000e+00
18,1,13824,+1.0234058297711022e-07,-1.8882012064808817e-10
18,2,13824,+7.4934061359649935e-08,-1.3070229310577722e-10
18,3,13824,+5.8267507927643089e-08,-7.9474191489974523e-11
19,0,13824,+1.7783658377102897e-07,+0.0000000000000000e+00
19,1,13824,+1.0227682492324286e-07,-2.8840278602355914e-10
19,2,13824,+7.3887331356215499e-08,-2.7499861872739683e-10
19,3,13824,+5.7258334589677964e-08,-4.1252659583936721e-10
1,0,13824,+1.7895493332311580e-07,+0.0000000000000000e+00
1,1,13824,+1.0324741812839347e-07,+6.5697193818478039e-10
1,2,13824,+7.4858580386907227e-08,+1.5169181320364696e-09
1,3,13824,+5.6859390292362228e-08,+1.8003593601629064e-09
20,0,13824,+1.7893520991118029e-07,+0.0000000000000000e+00
20,1,13824,+1.0392930930281380e-07,+5.2470698435380315e-10
20,2,13824,+7.6588954971637453e-08,+6.0004208264706977e-10
20,3,13824,+5.9738967194650013e-08,+7.7504500978093872e-10
21,0,13824,+1.7592323491331972e-07,+0.0000000000000000e+00
