GAUSSIAN PROFILE AND GEVP ANALYSIS
Source job: 156696
Configurations: 100
Profiles: sigma=0.01, sigma=0.05, sigma=infinity (rho_i=1)
Scope: fixed Wilson-line source time 0, x-oriented separation, R/a=1..6, tau/a=1..8
GEVP reference times: 1, 2, 3
GEVP metric rcond: 1.000e-10
Note: T0Fixed=0 in the raw scan and tau_ref in the GEVP are different quantities.

Eigenvalue and endpoint-weight ranges
lambda retained: 0.043434392 .. 0.082948075
sigma=0.0100  w=rho^2 range: 1.146668e-15 .. 8.006018e-05
sigma=0.0500  w=rho^2 range: 2.525675e-01 .. 6.857040e-01
constant      w=rho^2 range: 1.000000e+00 .. 1.000000e+00

Direct scalar profiles: correlated tau/a=3..5 fits
profile        R       fit       err chi2/dof      p      z2  dEconst  zconst
sigma=0.0100  1 +0.197282  0.165238    0.697  0.498   +1.12 -0.284269   -1.72
sigma=0.0100  2 +0.530624  0.181796    0.299  0.741   +0.83 -0.166270   -0.91
sigma=0.0100  3 +0.653291  0.185080    0.394  0.674   +0.95 -0.180933   -0.98
sigma=0.0100  4 +1.123866  0.234467    4.256  0.014   +0.17 +0.199533   +0.85
sigma=0.0100  5 +1.194551  0.158059    0.969  0.380   +0.23 +0.167966   +1.04
sigma=0.0100  6      +nan       nan      nan    nan    +nan      +nan   +0.00
sigma=0.0500  1 +0.478814  0.002501    0.110  0.896   +1.64 -0.002738   -1.40
sigma=0.0500  2 +0.694269  0.004773    0.015  0.985   +2.52 -0.002626   -1.05
sigma=0.0500  3 +0.832257  0.007714    0.873  0.418   +1.68 -0.001966   -0.75
sigma=0.0500  4 +0.922736  0.011800    0.418  0.658   +2.06 -0.001596   -0.46
sigma=0.0500  5 +1.031387  0.020422    0.072  0.930   +0.50 +0.004802   +1.08
sigma=0.0500  6 +1.120689  0.026809    0.323  0.724   +0.25 +0.004418   +0.58
constant      1 +0.481552  0.001266    0.522  0.593   +2.78 +0.000000   +0.00
constant      2 +0.696894  0.003998    0.026  0.975   +2.92 +0.000000   +0.00
constant      3 +0.834223  0.007339    0.972  0.378   +1.57 +0.000000   +0.00
constant      4 +0.924332  0.011326    0.253  0.777   +2.16 +0.000000   +0.00
constant      5 +1.026585  0.020660    0.040  0.961   +0.66 +0.000000   +0.00
constant      6 +1.116271  0.027947    0.407  0.666   +0.44 +0.000000   +0.00

Full 3x3 GEVP metric diagnostics
R tref antiherm  b1(unitdiag) b2(unitdiag) b3(unitdiag) condition status JKmetric
1 1 6.73e-04   2.2874e-04   2.6009e-01   2.7397e+00  1.198e+04 ok 99/100
1 2 2.03e-03   4.5686e-05   1.1210e-01   2.8879e+00  6.321e+04 ok 100/100
1 3 2.78e-03  -5.0023e-04   9.6499e-03   2.9909e+00        inf non_positive 0/100
2 1 9.42e-04   2.9466e-04   2.8458e-01   2.7151e+00  9.214e+03 ok 99/100
2 2 2.44e-03   4.6773e-05   1.1294e-01   2.8870e+00  6.172e+04 ok 100/100
2 3 5.77e-03  -4.4768e-04   1.4522e-02   2.9859e+00        inf non_positive 0/100
3 1 8.22e-04   3.6344e-04   3.0418e-01   2.6955e+00  7.417e+03 ok 99/100
3 2 7.04e-03   4.0986e-05   1.1818e-01   2.8818e+00  7.031e+04 ok 100/100
3 3 2.96e-03  -1.4616e-03   2.9193e-03   2.9985e+00        inf non_positive 0/100
4 1 5.70e-04   4.5222e-04   3.2755e-01   2.6720e+00  5.909e+03 ok 99/100
4 2 1.20e-02   9.6645e-06   1.1131e-01   2.8887e+00  2.989e+05 ok 87/100
4 3 1.66e-03  -1.7586e-02   3.0691e-04   3.0173e+00        inf non_positive 0/100
5 1 9.73e-04   5.6928e-04   3.5110e-01   2.6483e+00  4.652e+03 ok 99/100
5 2 1.87e-02   2.2127e-05   1.1142e-01   2.8886e+00  1.305e+05 ok 97/100
5 3 9.08e-03  -1.4583e-02   1.3592e-04   3.0144e+00        inf non_positive 0/100
6 1 5.43e-04   7.1666e-04   3.7353e-01   2.6258e+00  3.664e+03 ok 99/100
6 2 2.08e-02   1.1785e-05   1.0406e-01   2.8959e+00  2.457e+05 ok 73/100
6 3 1.61e-02  -3.4447e-03   1.6972e-03   3.0017e+00        inf non_positive 1/100

Full 3x3 GEVP principal effective energies
R tref tau state Eeff err JKvalid tref_condition
1 1 2 1 +5.09183944e-01 nan 99/100 0
1 1 2 2 +1.56881642e+00 nan 99/100 0
1 1 2 3 +nan nan 0/100 0
1 1 3 1 +4.58403786e-01 nan 99/100 0
1 1 3 2 +4.30518607e-01 nan 99/100 0
1 1 3 3 +nan nan 0/100 0
1 1 4 1 -1.15539164e-01 nan 99/100 0
1 1 4 2 -1.28578018e+00 nan 99/100 0
1 1 4 3 +nan nan 0/100 0
1 1 5 1 -4.49539280e-01 nan 99/100 0
1 1 5 2 +4.06606120e-01 nan 99/100 0
1 1 5 3 +nan nan 0/100 0
1 1 6 1 +1.58729308e+00 nan 99/100 0
1 1 6 2 +1.20881117e+00 nan 97/100 0
1 1 6 3 +nan nan 0/100 0
1 1 7 1 +8.27000032e-01 nan 99/100 0
1 1 7 2 +3.41469360e-01 nan 97/100 0
1 1 7 3 +nan nan 0/100 0
1 2 3 1 +4.78826014e-01 2.93706524e-01 100/100 1
1 2 3 2 +5.70819012e-01 1.15806461e+00 100/100 1
1 2 3 3 +nan nan 0/100 1
1 2 4 1 -9.87039197e-01 1.85122295e+00 100/100 0
1 2 4 2 -2.90424938e-01 2.06939983e+00 100/100 0
1 2 4 3 +nan nan 0/100 0
1 2 5 1 -6.37049308e-01 9.85936131e-01 100/100 0
1 2 5 2 +4.60194794e-01 nan 99/100 0
1 2 5 3 +nan nan 0/100 0
1 2 6 1 +2.11029134e+00 3.21249200e+00 100/100 0
1 2 6 2 +7.71514941e-01 nan 97/100 0
1 2 6 3 +nan nan 0/100 0
1 2 7 1 +9.04033685e-01 1.69137991e+00 100/100 0
1 2 7 2 +1.93550936e-01 nan 98/100 0
1 2 7 3 +nan nan 0/100 0
1 3 4 1 +nan nan 0/100 1
1 3 4 2 +nan nan 0/100 1
1 3 4 3 +nan nan 0/100 1
1 3 5 1 +nan nan 0/100 1
1 3 5 2 +nan nan 0/100 1
1 3 5 3 +nan nan 0/100 1
1 3 6 1 +nan nan 0/100 0
1 3 6 2 +nan nan 0/100 0
1 3 6 3 +nan nan 0/100 0
1 3 7 1 +nan nan 0/100 0
1 3 7 2 +nan nan 0/100 0
1 3 7 3 +nan nan 0/100 0
2 1 2 1 +7.28618176e-01 nan 99/100 0
2 1 2 2 +1.62925507e+00 nan 99/100 0
2 1 2 3 +nan nan 0/100 0
2 1 3 1 +6.82637628e-01 nan 99/100 0
2 1 3 2 +5.53379353e-01 nan 99/100 0
2 1 3 3 +nan nan 0/100 0
2 1 4 1 +4.91191993e-01 nan 99/100 0
2 1 4 2 -4.14364950e-01 nan 99/100 0
2 1 4 3 +nan nan 0/100 0
2 1 5 1 +1.69561738e-02 nan 99/100 0
2 1 5 2 +2.00908322e-01 nan 99/100 0
2 1 5 3 +nan nan 0/100 0
2 1 6 1 +1.56242778e+00 nan 99/100 0
2 1 6 2 +1.41368333e+00 nan 99/100 0
2 1 6 3 +nan nan 0/100 0
2 1 7 1 +7.29228100e-01 nan 99/100 0
2 1 7 2 +8.56810345e-01 nan 97/100 0
2 1 7 3 +nan nan 0/100 0
2 2 3 1 +6.93025477e-01 3.25917513e-01 100/100 1
2 2 3 2 +6.37089523e-01 9.57187232e-01 100/100 1
2 2 3 3 +nan nan 0/100 1
2 2 4 1 -4.94442973e-01 1.83865979e+00 100/100 0
2 2 4 2 +4.78878372e-02 1.33906371e+00 100/100 0
2 2 4 3 +nan nan 0/100 0
2 2 5 1 -4.45652775e-01 1.17764106e+00 100/100 0
2 2 5 2 +6.40080217e-01 nan 99/100 0
2 2 5 3 +nan nan 0/100 0
2 2 6 1 +2.26075604e+00 2.99275388e+00 100/100 0
2 2 6 2 +8.13520902e-01 nan 99/100 0
2 2 6 3 +nan nan 0/100 0
2 2 7 1 +1.35375086e+00 1.78905821e+00 100/100 0
2 2 7 2 +6.55460438e-01 nan 98/100 0
2 2 7 3 +nan nan 0/100 0
2 3 4 1 +nan nan 0/100 1
2 3 4 2 +nan nan 0/100 1
2 3 4 3 +nan nan 0/100 1
2 3 5 1 +nan nan 0/100 1
2 3 5 2 +nan nan 0/100 1
2 3 5 3 +nan nan 0/100 1
2 3 6 1 +nan nan 0/100 0
2 3 6 2 +nan nan 0/100 0
2 3 6 3 +nan nan 0/100 0
2 3 7 1 +nan nan 0/100 0
2 3 7 2 +nan nan 0/100 0
2 3 7 3 +nan nan 0/100 0
3 1 2 1 +8.64759356e-01 nan 99/100 0
3 1 2 2 +1.81269622e+00 nan 99/100 0
3 1 2 3 +nan nan 0/100 0
3 1 3 1 +8.24473738e-01 nan 99/100 0
3 1 3 2 +8.10916251e-01 nan 99/100 0
3 1 3 3 +nan nan 0/100 0
3 1 4 1 +5.43153264e-01 nan 99/100 0
3 1 4 2 -9.16955310e-01 nan 99/100 0
3 1 4 3 +nan nan 0/100 0
3 1 5 1 +4.12955553e-02 nan 99/100 0
3 1 5 2 +8.07021097e-01 nan 99/100 0
3 1 5 3 +nan nan 0/100 0
3 1 6 1 +1.52605450e+00 nan 99/100 0
3 1 6 2 +nan nan 0/100 0
3 1 6 3 +nan nan 0/100 0
3 1 7 1 -5.86532031e-01 nan 99/100 0
3 1 7 2 +nan nan 0/100 0
3 1 7 3 +nan nan 0/100 0
3 2 3 1 +8.29411181e-01 3.11793710e-01 100/100 1
3 2 3 2 +9.45427100e-01 1.30252764e+00 100/100 1
3 2 3 3 +nan nan 0/100 1
3 2 4 1 -5.89710047e-01 1.90584652e+00 100/100 0
3 2 4 2 +1.25439188e-01 2.66203913e+00 100/100 0
3 2 4 3 +nan nan 0/100 0
3 2 5 1 -6.79460310e-01 1.93637443e+00 100/100 0
3 2 5 2 +7.96218218e-01 nan 99/100 0
3 2 5 3 +nan nan 0/100 0
3 2 6 1 +3.17175653e+00 3.11061700e+00 100/100 0
3 2 6 2 +nan nan 0/100 0
3 2 6 3 +nan nan 0/100 0
3 2 7 1 -1.74124342e+00 1.55738465e+00 100/100 0
3 2 7 2 +nan nan 0/100 0
3 2 7 3 +nan nan 0/100 0
3 3 4 1 +nan nan 0/100 1
3 3 4 2 +nan nan 0/100 1
3 3 4 3 +nan nan 0/100 1
3 3 5 1 +nan nan 0/100 1
3 3 5 2 +nan nan 0/100 1
3 3 5 3 +nan nan 0/100 1
3 3 6 1 +nan nan 0/100 0
3 3 6 2 +nan nan 0/100 0
3 3 6 3 +nan nan 0/100 0
3 3 7 1 +nan nan 0/100 0
3 3 7 2 +nan nan 0/100 0
3 3 7 3 +nan nan 0/100 0
4 1 2 1 +9.64689282e-01 nan 99/100 0
4 1 2 2 +2.22604932e+00 nan 99/100 0
4 1 2 3 +nan nan 0/100 0
4 1 3 1 +9.17317620e-01 nan 99/100 0
4 1 3 2 +5.45044411e-01 nan 99/100 0
4 1 3 3 +nan nan 0/100 0
4 1 4 1 +2.08238488e-01 nan 99/100 0
4 1 4 2 -9.06846825e-01 nan 99/100 0
4 1 4 3 +nan nan 0/100 0
4 1 5 1 -7.51386005e-01 nan 99/100 0
4 1 5 2 +7.23142428e-01 nan 99/100 0
4 1 5 3 +1.15823021e+00 nan 86/100 0
4 1 6 1 +2.26327555e+00 nan 99/100 0
4 1 6 2 +9.84802887e-01 nan 98/100 0
4 1 6 3 +nan nan 0/100 0
4 1 7 1 -3.06783032e-01 nan 99/100 0
4 1 7 2 +1.52269938e+00 nan 98/100 0
4 1 7 3 +nan nan 0/100 0
4 2 3 1 +9.24463728e-01 nan 87/100 1
4 2 3 2 +8.12898214e-01 nan 87/100 1
4 2 3 3 +nan nan 0/100 1
4 2 4 1 -3.54092454e+00 nan 87/100 0
4 2 4 2 +1.54802805e-01 nan 87/100 0
4 2 4 3 +nan nan 0/100 0
4 2 5 1 -7.76414626e-01 nan 87/100 0
4 2 5 2 +3.53291253e-01 nan 87/100 0
4 2 5 3 +1.55311001e+00 nan 74/100 0
4 2 6 1 +2.26703710e+00 nan 87/100 0
4 2 6 2 +1.43066548e+00 nan 86/100 0
4 2 6 3 +nan nan 0/100 0
4 2 7 1 +2.11236592e+00 nan 87/100 0
4 2 7 2 +1.47640162e+00 nan 86/100 0
4 2 7 3 +nan nan 0/100 0
4 3 4 1 +nan nan 0/100 1
4 3 4 2 +nan nan 0/100 1
4 3 4 3 +nan nan 0/100 1
4 3 5 1 +nan nan 0/100 1
4 3 5 2 +nan nan 0/100 1
4 3 5 3 +nan nan 0/100 1
4 3 6 1 +nan nan 0/100 0
4 3 6 2 +nan nan 0/100 0
4 3 6 3 +nan nan 0/100 0
4 3 7 1 +nan nan 0/100 0
4 3 7 2 +nan nan 0/100 0
4 3 7 3 +nan nan 0/100 0
5 1 2 1 +1.05019499e+00 nan 99/100 0
5 1 2 2 +3.25288527e+00 nan 99/100 0
5 1 2 3 +nan nan 0/100 0
5 1 3 1 +1.01927841e+00 nan 99/100 0
5 1 3 2 -1.06845952e+00 nan 99/100 0
5 1 3 3 +nan nan 0/100 0
5 1 4 1 +4.91497363e-01 nan 99/100 0
5 1 4 2 -2.51984599e-01 nan 99/100 0
5 1 4 3 +nan nan 0/100 0
5 1 5 1 -1.19410390e+00 nan 99/100 0
5 1 5 2 +9.04431038e-01 nan 99/100 0
5 1 5 3 +nan nan 0/100 0
5 1 6 1 +8.40799956e-01 nan 99/100 0
5 1 6 2 +7.69923069e-01 nan 99/100 0
5 1 6 3 +nan nan 0/100 0
5 1 7 1 +2.46071591e+00 nan 99/100 0
