radius,tau_ref,antihermitian_residual,diagonal_min,diagonal_max,metric_eval_1,metric_eval_2,metric_eval_3,metric_condition,central_metric_status,central_metric_valid,jackknife_metric_valid,jackknife_total
1,1,0.0006730007520442407,3.7888882242099614e-20,1.0268488085891265e-07,0.0002287437465610331,0.2600863898511621,2.7396848664022766,11977.091866296234,ok,1,99,100
1,2,0.0020258640378918477,1.9201328197793102e-20,6.251070896656368e-08,4.5685642549959495e-05,0.11210258312541965,2.8878517312320304,63211.36291503447,ok,1,100,100
1,3,0.002779752880975023,9.46544135140118e-21,3.8398523433440446e-08,-0.0005002328933806323,0.009649931747549892,2.9908503011458305,inf,non_positive,0,0,100
2,1,0.0009419667209640665,3.0012286670961714e-20,7.524935290765588e-08,0.0002946646917081421,0.2845831490904513,2.7151221862178407,9214.277321380265,ok,1,99,100
2,2,0.002440678111031002,1.1556581910525066e-20,3.645865781825306e-08,4.67728911063506e-05,0.1129362721605642,2.8870169549483284,61724.15017887024,ok,1,100,100
2,3,0.005771072486102171,4.561583200399037e-21,1.7886496003197114e-08,-0.00044768484205646975,0.014521720709263644,2.985925964132793,inf,non_positive,0,0,100
3,1,0.0008223593458081449,2.5619566046580823e-20,5.886078993256933e-08,0.00036343771028341887,0.30418274268550466,2.6954538196042113,7416.549640658426,ok,1,99,100
3,2,0.00703589195135803,8.320089999226028e-21,2.4719029148722942e-08,4.098594431819595e-05,0.11818293445429795,2.8817760796013836,70311.32568835317,ok,1,100,100
3,3,0.0029629422452097866,2.755926188288237e-21,1.0571344778794105e-08,-0.0014615937087981365,0.0029193492339697007,2.998542244474827,inf,non_positive,0,0,100
4,1,0.0005696481990387983,2.2477817820662145e-20,4.627384159111624e-08,0.0004522188957400732,0.3275487325107101,2.671999048593549,5908.64086787157,ok,1,99,100
4,2,0.012023460859681633,6.2196088738889375e-21,1.7464442552262532e-08,9.66452063246821e-06,0.11131349484203774,2.8886768406373315,298894.9944328068,ok,1,87,100
4,3,0.0016602698432053279,1.8570696567759153e-21,6.7276381021410374e-09,-0.017586382353524634,0.0003069085564284016,3.017279473797096,inf,non_positive,0,0,100
5,1,0.0009731232011025832,1.993316747319641e-20,3.597518386014738e-08,0.0005692809806262469,0.3510999112926903,2.6483308077266825,4652.062685834581,ok,1,99,100
5,2,0.01873469529934371,4.7097916559051405e-21,1.2382118387483979e-08,2.2126823553791092e-05,0.11141990283341613,2.8885579703430304,130545.53281544654,ok,1,97,100
5,3,0.00907816507804323,1.2892590748654662e-21,4.36524082585618e-09,-0.014582579295484354,0.0001359194707356617,3.014446659824749,inf,non_positive,0,0,100
6,1,0.0005429974733264576,1.7656737019927492e-20,2.7461691664953258e-08,0.000716662031831741,0.3735288664221777,2.62575447154599,3663.867143672638,ok,1,99,100
6,2,0.020757574506877624,3.524267994025319e-21,8.577854474501981e-09,1.1785379231644771e-05,0.10405925858540929,2.895928956035359,245722.1697422801,ok,1,73,100
6,3,0.01606126459180805,9.593360882659898e-22,2.7685096511971283e-09,-0.003444728838693771,0.0016972486080880866,3.001747480230605,inf,non_positive,0,1,100
