radius,tau_ref,effective_time,state,principal_effective_energy,jackknife_error,jackknife_valid,jackknife_total,reference_time_condition_met,max_central_gevp_residual
1,1,2,1,0.5091839436162869,nan,99,100,0,8.146642490864735e-20
1,1,2,2,1.5688164248254217,nan,99,100,0,8.146642490864735e-20
1,1,2,3,nan,nan,0,100,0,8.146642490864735e-20
1,1,3,1,0.45840378571863044,nan,99,100,0,8.146642490864735e-20
1,1,3,2,0.43051860697216854,nan,99,100,0,8.146642490864735e-20
1,1,3,3,nan,nan,0,100,0,8.146642490864735e-20
1,1,4,1,-0.11553916390614204,nan,99,100,0,8.146642490864735e-20
1,1,4,2,-1.2857801752343736,nan,99,100,0,8.146642490864735e-20
1,1,4,3,nan,nan,0,100,0,8.146642490864735e-20
1,1,5,1,-0.4495392803380417,nan,99,100,0,8.146642490864735e-20
1,1,5,2,0.40660612021943976,nan,99,100,0,8.146642490864735e-20
1,1,5,3,nan,nan,0,100,0,8.146642490864735e-20
1,1,6,1,1.587293084027972,nan,99,100,0,8.146642490864735e-20
1,1,6,2,1.2088111746055605,nan,97,100,0,8.146642490864735e-20
1,1,6,3,nan,nan,0,100,0,8.146642490864735e-20
1,1,7,1,0.8270000320463877,nan,99,100,0,8.146642490864735e-20
1,1,7,2,0.3414693601043951,nan,97,100,0,8.146642490864735e-20
1,1,7,3,nan,nan,0,100,0,8.146642490864735e-20
1,2,3,1,0.4788260136017823,0.2937065236579872,100,100,1,1.4815300718991753e-19
1,2,3,2,0.5708190124582122,1.158064611306376,100,100,1,1.4815300718991753e-19
1,2,3,3,nan,nan,0,100,1,1.4815300718991753e-19
1,2,4,1,-0.98703919704633,1.8512229468602108,100,100,0,1.4815300718991753e-19
1,2,4,2,-0.2904249375406362,2.0693998283599604,100,100,0,1.4815300718991753e-19
1,2,4,3,nan,nan,0,100,0,1.4815300718991753e-19
1,2,5,1,-0.6370493081565627,0.9859361305449327,100,100,0,1.4815300718991753e-19
1,2,5,2,0.4601947944511432,nan,99,100,0,1.4815300718991753e-19
1,2,5,3,nan,nan,0,100,0,1.4815300718991753e-19
1,2,6,1,2.1102913448713445,3.2124920008451094,100,100,0,1.4815300718991753e-19
1,2,6,2,0.771514940689902,nan,97,100,0,1.4815300718991753e-19
1,2,6,3,nan,nan,0,100,0,1.4815300718991753e-19
1,2,7,1,0.9040336852811487,1.691379906963436,100,100,0,1.4815300718991753e-19
1,2,7,2,0.19355093605028492,nan,98,100,0,1.4815300718991753e-19
1,2,7,3,nan,nan,0,100,0,1.4815300718991753e-19
1,3,4,1,nan,nan,0,100,1,0.0
1,3,4,2,nan,nan,0,100,1,0.0
1,3,4,3,nan,nan,0,100,1,0.0
1,3,5,1,nan,nan,0,100,1,0.0
1,3,5,2,nan,nan,0,100,1,0.0
1,3,5,3,nan,nan,0,100,1,0.0
1,3,6,1,nan,nan,0,100,0,0.0
1,3,6,2,nan,nan,0,100,0,0.0
1,3,6,3,nan,nan,0,100,0,0.0
1,3,7,1,nan,nan,0,100,0,0.0
1,3,7,2,nan,nan,0,100,0,0.0
1,3,7,3,nan,nan,0,100,0,0.0
2,1,2,1,0.7286181760749428,nan,99,100,0,5.0049348773951755e-20
2,1,2,2,1.6292550688578684,nan,99,100,0,5.0049348773951755e-20
2,1,2,3,nan,nan,0,100,0,5.0049348773951755e-20
2,1,3,1,0.6826376281907064,nan,99,100,0,5.0049348773951755e-20
2,1,3,2,0.5533793527780844,nan,99,100,0,5.0049348773951755e-20
2,1,3,3,nan,nan,0,100,0,5.0049348773951755e-20
2,1,4,1,0.49119199317141277,nan,99,100,0,5.0049348773951755e-20
2,1,4,2,-0.41436494964948245,nan,99,100,0,5.0049348773951755e-20
2,1,4,3,nan,nan,0,100,0,5.0049348773951755e-20
2,1,5,1,0.016956173770445764,nan,99,100,0,5.0049348773951755e-20
2,1,5,2,0.20090832166451614,nan,99,100,0,5.0049348773951755e-20
2,1,5,3,nan,nan,0,100,0,5.0049348773951755e-20
2,1,6,1,1.5624277779915494,nan,99,100,0,5.0049348773951755e-20
2,1,6,2,1.4136833318829056,nan,99,100,0,5.0049348773951755e-20
2,1,6,3,nan,nan,0,100,0,5.0049348773951755e-20
2,1,7,1,0.7292280997697688,nan,99,100,0,5.0049348773951755e-20
2,1,7,2,0.8568103449693607,nan,97,100,0,5.0049348773951755e-20
2,1,7,3,nan,nan,0,100,0,5.0049348773951755e-20
2,2,3,1,0.6930254768038292,0.3259175128061005,100,100,1,8.317515738110205e-20
2,2,3,2,0.6370895225186505,0.9571872320682904,100,100,1,8.317515738110205e-20
2,2,3,3,nan,nan,0,100,1,8.317515738110205e-20
2,2,4,1,-0.49444297317823527,1.8386597930970567,100,100,0,8.317515738110205e-20
2,2,4,2,0.047887837173367725,1.3390637134853254,100,100,0,8.317515738110205e-20
2,2,4,3,nan,nan,0,100,0,8.317515738110205e-20
2,2,5,1,-0.44565277501086586,1.1776410593762192,100,100,0,8.317515738110205e-20
2,2,5,2,0.6400802171192594,nan,99,100,0,8.317515738110205e-20
2,2,5,3,nan,nan,0,100,0,8.317515738110205e-20
2,2,6,1,2.260756038438951,2.992753878073563,100,100,0,8.317515738110205e-20
2,2,6,2,0.8135209022121145,nan,99,100,0,8.317515738110205e-20
2,2,6,3,nan,nan,0,100,0,8.317515738110205e-20
2,2,7,1,1.3537508585981297,1.7890582124521075,100,100,0,8.317515738110205e-20
2,2,7,2,0.655460437666901,nan,98,100,0,8.317515738110205e-20
2,2,7,3,nan,nan,0,100,0,8.317515738110205e-20
2,3,4,1,nan,nan,0,100,1,0.0
2,3,4,2,nan,nan,0,100,1,0.0
2,3,4,3,nan,nan,0,100,1,0.0
2,3,5,1,nan,nan,0,100,1,0.0
