radius,tau_ref,tau_d,effective_time,state,projected_effective_energy,jackknife_error,jackknife_valid,jackknife_total
1,2,3,1,1,0.5192620462629969,1.035751018761103,100,100
1,2,3,1,2,1.794148578575936,1.43940921195493,100,100
1,2,3,1,3,1.9421457339100334,2.329431508471169,100,100
1,2,3,2,1,0.4830501733587385,0.3957377352943973,100,100
1,2,3,2,2,1.2259688283978967,1.2737687307021444,100,100
1,2,3,2,3,nan,nan,0,100
1,2,3,3,1,0.49511486125613496,0.22682514933414408,100,100
1,2,3,3,2,0.654411804010149,1.3180554669938631,100,100
1,2,3,3,3,nan,nan,0,100
1,2,3,4,1,0.5086051533111652,nan,99,100
1,2,3,4,2,-0.4880036621207679,1.7561596030487345,100,100
1,2,3,4,3,nan,nan,0,100
1,2,3,5,1,0.5191931069506164,nan,99,100
1,2,3,5,2,1.139536743741959,nan,98,100
1,2,3,5,3,-0.8137745171670714,nan,99,100
1,2,3,6,1,0.5018735254648025,nan,99,100
1,2,3,6,2,nan,nan,4,100
1,2,3,6,3,2.6034757204439147,nan,97,100
1,2,3,7,1,0.39234170328741175,nan,99,100
1,2,3,7,2,nan,nan,4,100
1,2,3,7,3,1.0257508161106155,nan,97,100
2,2,3,1,1,0.7528556359024028,0.7679944763662568,100,100
2,2,3,1,2,1.9080828379143966,1.2912549124261994,100,100
2,2,3,1,3,2.560318602508086,2.473103420886695,100,100
2,2,3,2,1,0.7072202202055973,0.383360882347435,100,100
2,2,3,2,2,1.5206959757600873,1.2064875199288794,100,100
2,2,3,2,3,nan,nan,0,100
2,2,3,3,1,0.7118381637974827,0.34839607205038725,100,100
2,2,3,3,2,0.7395559950012381,1.063040361789946,100,100
2,2,3,3,3,nan,nan,0,100
2,2,3,4,1,0.7311995812647998,nan,99,100
2,2,3,4,2,0.15172919826131845,1.1790535259354535,100,100
2,2,3,4,3,nan,nan,0,100
2,2,3,5,1,0.7471013534745781,nan,99,100
2,2,3,5,2,nan,nan,52,100
2,2,3,5,3,-0.4271309875933139,nan,99,100
2,2,3,6,1,0.775924871407536,nan,99,100
2,2,3,6,2,nan,nan,41,100
2,2,3,6,3,nan,nan,0,100
2,2,3,7,1,0.5027862496135315,nan,99,100
2,2,3,7,2,nan,nan,1,100
2,2,3,7,3,nan,nan,0,100
3,2,3,1,1,0.9614669767500774,1.0172829728779216,100,100
3,2,3,1,2,2.322872262019972,1.5699241380025466,100,100
3,2,3,1,3,3.029470268340459,3.361856030644225,100,100
3,2,3,2,1,0.8387226499423732,0.3523043610838265,100,100
3,2,3,2,2,1.4888192215488363,1.062080024090047,100,100
3,2,3,2,3,nan,nan,0,100
3,2,3,3,1,0.8350825319401344,0.7708447426698813,100,100
3,2,3,3,2,1.6467489791469703,nan,97,100
3,2,3,3,3,nan,nan,0,100
3,2,3,4,1,0.9044296073945133,nan,99,100
3,2,3,4,2,nan,nan,2,100
3,2,3,4,3,nan,nan,0,100
3,2,3,5,1,0.889259014296344,nan,99,100
3,2,3,5,2,nan,nan,1,100
3,2,3,5,3,-1.9680788462775112,nan,94,100
3,2,3,6,1,0.5734177332656156,nan,99,100
3,2,3,6,2,nan,nan,1,100
3,2,3,6,3,nan,nan,0,100
3,2,3,7,1,2.6859569331126605,nan,77,100
3,2,3,7,2,nan,nan,0,100
3,2,3,7,3,nan,nan,0,100
4,2,3,1,1,1.0716175326582185,nan,87,100
4,2,3,1,2,2.5459732247360276,nan,87,100
4,2,3,1,3,5.064814816387253,nan,87,100
4,2,3,2,1,0.9457015357964561,nan,87,100
4,2,3,2,2,1.8612734342752508,nan,87,100
4,2,3,2,3,nan,nan,0,100
4,2,3,3,1,0.9600193883368638,nan,86,100
4,2,3,3,2,nan,nan,15,100
4,2,3,3,3,nan,nan,0,100
4,2,3,4,1,0.8560829414720028,nan,86,100
4,2,3,4,2,nan,nan,15,100
4,2,3,4,3,nan,nan,0,100
4,2,3,5,1,0.795250442921682,nan,86,100
4,2,3,5,2,-0.07779222475404578,nan,87,100
4,2,3,5,3,-0.78043613649181,nan,86,100
4,2,3,6,1,0.6516976977162033,nan,86,100
4,2,3,6,2,1.414141867587534,nan,76,100
4,2,3,6,3,2.373033368808406,nan,85,100
4,2,3,7,1,2.335975220845227,nan,75,100
4,2,3,7,2,nan,nan,2,100
4,2,3,7,3,nan,nan,0,100
5,2,3,1,1,1.1109153405897532,nan,97,100
5,2,3,1,2,2.2565645350349515,nan,97,100
5,2,3,1,3,4.60643613878833,nan,97,100
5,2,3,2,1,1.037192623848959,nan,97,100
5,2,3,2,2,3.2298661136773887,nan,97,100
5,2,3,2,3,nan,nan,0,100
5,2,3,3,1,1.0493731401402318,nan,97,100
