basis,basis_profiles,basis_size,radius,tau_ref,effective_time,state,principal_effective_energy,jackknife_error,jackknife_valid,jackknife_total,reference_time_condition_met,max_central_gevp_residual
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,2,1,0.4920487731925842,0.04171446626442881,100,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,2,2,3.4927470186448724,nan,96,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,3,1,0.47075325861390827,0.06432958487774636,100,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,3,2,-1.3657586653386242,nan,95,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,4,1,0.19614611976561536,0.34368613374174123,100,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,4,2,-1.4297751297093897,nan,98,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,5,1,-0.13540893232849935,0.3839945235723418,100,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,5,2,0.4135237214371531,nan,99,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,6,1,1.1267000560577927,1.6226415724238263,100,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,6,2,1.6865939335069617,nan,97,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,7,1,0.6994353182575419,1.1359502434200022,100,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,1,7,2,0.10016215428023961,nan,97,100,0,2.7957475966231383e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,1,0.4787218157984374,0.27442278833124606,100,100,1,2.1684131761578043e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,2,-1.373727222523122,nan,95,100,1,2.1684131761578043e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,4,1,-0.6129108817322141,1.4231687459571831,100,100,0,2.1684131761578043e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,4,2,-0.6207181282115586,nan,98,100,0,2.1684131761578043e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,5,1,-0.23071201699743735,0.5150123950048655,100,100,0,2.1684131761578043e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,5,2,0.5088268061060901,nan,99,100,0,2.1684131761578043e-21
