basis,basis_profiles,basis_size,radius,tau_ref,tau_d,effective_time,state,projected_effective_energy,jackknife_error,jackknife_valid,jackknife_total
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,1,1,0.5181521139777163,0.27926247508277546,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,1,2,1.4594951365860718,1.4303165390005195,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,2,1,0.4835585180671034,0.25685501503580244,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,2,2,3.501237273770342,nan,96,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,3,1,0.4941081599886987,0.27007108934828966,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,3,2,-1.4215275000197602,nan,95,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,4,1,0.5084083350174717,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,4,2,-1.723739443000312,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,5,1,0.5092122328387969,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,5,2,-0.23422671293483902,0.611285875232524,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,6,1,0.49516730996295966,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,6,2,1.9469349216661143,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,7,1,0.4037977434031508,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,7,2,0.7655702825221395,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,1,1,0.7524471201055271,0.35837723504957786,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,1,2,1.8142564374547923,1.4977056075301332,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,2,1,0.7074751969312593,0.31553215249178385,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,2,2,3.2013428069197696,nan,96,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,3,1,0.7120986929804407,0.3708234692507327,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,3,2,-0.7703521822944932,nan,96,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,4,1,0.7299345734050399,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,4,2,-0.6669103867111504,3.5719824646739884,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,5,1,0.7398753177595878,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,5,2,-0.1062242816413946,0.8488225060182332,100,100
