basis,basis_profiles,basis_size,radius,tau_ref,tau_d,state,profile,coefficient_real,coefficient_imag
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,1,sigma=0.0100,1281592559.6800034,1.4901161193847656e-08
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,1,sigma=0.0500,-10777.440866092413,-566.0112055431168
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,2,sigma=0.0100,18192655336.287365,4.507601261138916e-06
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,1,2,3,2,sigma=0.0500,-20880.893692814167,67.77268059150853
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,1,sigma=0.0100,1840262412.5116847,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,1,sigma=0.0500,-14242.977575879677,1478.458975622507
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,2,sigma=0.0100,23437042309.20747,-7.271766662597656e-06
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,2,sigma=0.0500,-27192.356622470423,10.83536913195175
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,3,1,sigma=0.0100,2352994105.983991,-1.1920928955078125e-07
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,3,1,sigma=0.0500,-16846.95332641466,4557.821668644853
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,3,2,sigma=0.0100,27048757560.128937,1.2516975402832031e-06
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,3,2,sigma=0.0500,-32029.323490921863,-115.09858223890149
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,1,sigma=0.0100,1984710676.984567,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,1,sigma=0.0500,-19729.54212473406,-2641.0533727849693
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,2,sigma=0.0100,32392891161.714355,3.993511199951172e-06
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,2,sigma=0.0500,-39985.73870898765,616.6736451825266
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,1,sigma=0.0100,2726347039.8605595,-2.384185791015625e-07
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,1,sigma=0.0500,-21964.369000633364,9270.002512133051
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,2,sigma=0.0100,37289409847.50498,2.384185791015625e-07
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,2,sigma=0.0500,-47261.325423176975,463.68872990937706
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,1,sigma=0.0100,3927745418.651369,2.384185791015625e-07
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,1,sigma=0.0500,-10007.100819088002,24232.656381615994
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,2,sigma=0.0100,44698407205.7623,2.384185791015625e-06
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,2,sigma=0.0500,-60155.68078607962,-485.04927809448463
sigma001_constant,sigma=0.0100|constant,2,1,2,3,1,sigma=0.0100,1168517955.4732425,-1.4901161193847656e-08
sigma001_constant,sigma=0.0100|constant,2,1,2,3,1,constant,-4576.543576428593,-207.12693912254662
sigma001_constant,sigma=0.0100|constant,2,1,2,3,2,sigma=0.0100,17620512559.85809,1.4156103134155273e-07
sigma001_constant,sigma=0.0100|constant,2,1,2,3,2,constant,-8648.784787039984,27.51682390756433
sigma001_constant,sigma=0.0100|constant,2,2,2,3,1,sigma=0.0100,1644776851.5319245,0.0
sigma001_constant,sigma=0.0100|constant,2,2,2,3,1,constant,-6004.346055295459,813.3146456885129
sigma001_constant,sigma=0.0100|constant,2,2,2,3,2,sigma=0.0100,22552395178.403263,1.5795230865478516e-06
sigma001_constant,sigma=0.0100|constant,2,2,2,3,2,constant,-11196.52012073419,1.7348762518715404
sigma001_constant,sigma=0.0100|constant,2,3,2,3,1,sigma=0.0100,2023229646.2849586,0.0
sigma001_constant,sigma=0.0100|constant,2,3,2,3,1,constant,-6906.312527115051,2477.8162332201755
sigma001_constant,sigma=0.0100|constant,2,3,2,3,2,sigma=0.0100,25965315528.244884,1.7285346984863281e-06
