radius,tau_ref,tau_d,state,profile,coefficient_real,coefficient_imag
1,2,3,1,sigma=0.0100,1172332965.9285564,0.0
1,2,3,1,sigma=0.0500,1371.8808268150563,-12667.106552875039
1,2,3,1,constant,-5162.701338683837,5731.239444387765
1,2,3,2,sigma=0.0100,4529646705.6359215,2.384185791015625e-07
1,2,3,2,sigma=0.0500,405862.67759011715,-132067.8694912222
1,2,3,2,constant,-176539.9563091724,56777.97066692372
1,2,3,3,sigma=0.0100,31752350117.98298,0.0
1,2,3,3,sigma=0.0500,-890999.5486537968,-24358.154140690596
1,2,3,3,constant,367146.0645025408,10522.14017330772
2,2,3,1,sigma=0.0100,1811090560.6969657,0.0
2,2,3,1,sigma=0.0500,-9421.086510622768,-10435.368052052978
2,2,3,1,constant,-1963.166387230916,5681.6516467621395
2,2,3,2,sigma=0.0100,7093401094.414664,0.0
2,2,3,2,sigma=0.0500,435829.3145414382,-69174.0289956051
2,2,3,2,constant,-190999.67729480495,29725.347290657002
2,2,3,3,sigma=0.0100,46610363402.68301,0.0
2,2,3,3,sigma=0.0500,-1196609.8286285521,-118838.39428782236
2,2,3,3,constant,491481.11502772087,51343.88361258261
3,2,3,1,sigma=0.0100,4278421294.197072,4.76837158203125e-07
3,2,3,1,sigma=0.0500,-96705.20085414113,-47622.40750081932
3,2,3,1,constant,34166.19144751798,24038.591610292347
3,2,3,2,sigma=0.0100,7975087291.418705,2.384185791015625e-06
3,2,3,2,sigma=0.0500,-726109.8583632994,-459188.9203860938
3,2,3,2,constant,309263.7283799373,198150.89518798818
3,2,3,3,sigma=0.0100,62246559184.15047,4.76837158203125e-07
3,2,3,3,sigma=0.0500,-1386063.2755533624,-287808.04250580777
3,2,3,3,constant,565989.7652981972,124596.91213255399
4,2,3,1,sigma=0.0100,4635661863.507773,0.0
4,2,3,1,sigma=0.0500,-118781.72536364946,-42846.05859120918
4,2,3,1,constant,41862.23119724998,16002.543495512182
4,2,3,2,sigma=0.0100,11971304933.704803,-9.5367431640625e-07
4,2,3,2,sigma=0.0500,-305209.73006847256,-840724.0160678815
4,2,3,2,constant,125641.08879165127,364716.72468394204
4,2,3,3,sigma=0.0100,164962016220.44208,7.62939453125e-06
4,2,3,3,sigma=0.0500,-3801741.285857647,-1112352.1909242526
4,2,3,3,constant,1557984.8801018489,484358.1580194575
5,2,3,1,sigma=0.0100,3296094694.891256,-1.1920928955078125e-07
5,2,3,1,sigma=0.0500,-47684.93310799336,20146.477490171514
5,2,3,1,constant,10193.710605267397,-6621.708811643259
5,2,3,2,sigma=0.0100,10192009413.024357,-4.76837158203125e-07
5,2,3,2,sigma=0.0500,524324.9232174553,269348.4664890742
5,2,3,2,constant,-233643.7655061397,-117624.28337789426
5,2,3,3,sigma=0.0100,138152110086.49036,-9.5367431640625e-07
5,2,3,3,sigma=0.0500,-3061047.265302654,-634819.5307297314
5,2,3,3,constant,1255374.4214654842,279180.6638336299
6,2,3,1,sigma=0.0100,18864534533.573547,1.9073486328125e-06
6,2,3,1,sigma=0.0500,-382711.6871396863,-161723.8005700683
6,2,3,1,constant,150143.42378804545,79883.25756040486
6,2,3,2,sigma=0.0100,58170315753.64979,3.814697265625e-06
6,2,3,2,sigma=0.0500,-1153584.5278408318,-1146995.6187601385
6,2,3,2,constant,471594.1363335562,503024.9814964602
6,2,3,3,sigma=0.0100,240116798246.50104,0.0
6,2,3,3,sigma=0.0500,-4850005.081345188,-972516.6518035326
6,2,3,3,constant,1983947.863533873,430926.14777276514
